median_pnl,worst_dd,sl_soft,sl_hard,tp,gate_pct,dd_limit,cooldown,flip
253.2,508.2,7.9,14.3,9.8,34.5,66.0,30,False
253.2,508.2,7.9,14.3,9.8,34.5,66.0,30,False
343.4,510.0,10.7,18.8,7.6,5.7,3940.0,31,False
361.8,570.0,7.9,14.3,9.8,5.7,1222.0,10,False
575.6,625.0,8.3,19.7,11.0,5.7,1222.0,13,False
575.6,625.0,8.3,19.7,11.0,5.7,1222.0,13,False
880.7,872.3,11.8,24.9,7.7,15.8,734.0,28,True
916.7,963.9,10.6,23.7,7.7,15.8,734.0,28,True
1010.3,1003.5,10.7,25.1,9.8,15.8,734.0,31,True
1071.0,1022.4,5.8,19.6,7.7,15.8,827.0,25,True
1167.3,1109.1,13.6,20.8,7.1,16.5,734.0,18,True
1384.2,1111.5,9.2,23.6,7.7,15.8,734.0,12,True
1518.5,1161.8,11.3,25.1,7.7,15.8,977.0,25,True
1518.5,1161.8,11.3,25.1,7.7,15.8,977.0,25,True
1518.5,1161.8,11.3,25.1,7.7,15.8,977.0,25,True
1518.5,1161.8,11.3,25.1,7.7,15.8,977.0,25,True
1518.5,1161.8,11.3,25.1,7.7,15.8,977.0,25,True
1618.9,1255.1,10.3,23.4,7.7,15.8,1110.0,28,True
1618.9,1255.1,10.3,23.4,7.7,15.8,1110.0,28,True
1646.7,1354.5,11.8,30.5,7.7,15.8,1309.0,28,True
1757.7,1367.5,9.9,27.8,9.8,15.8,1309.0,21,True
1757.7,1367.5,9.9,27.8,9.8,15.8,1309.0,21,True
4045.8,1459.6,6.6,7.1,6.5,98.9,418.0,25,True
9953.8,2332.6,6.6,7.1,7.7,98.9,938.0,10,True
12353.6,2589.5,6.6,7.1,11.0,98.9,938.0,9,True
15756.5,3648.4,5.7,6.3,10.3,97.0,2805.0,34,True
15756.5,3648.4,5.7,6.3,10.3,97.0,2805.0,34,True
22614.5,3901.0,6.6,7.1,7.7,98.9,3940.0,10,True
22614.5,3901.0,6.6,7.1,7.7,98.9,3940.0,10,True
22614.5,3901.0,6.6,7.1,7.7,98.9,3940.0,10,True
22614.5,3901.0,6.6,7.1,7.7,98.9,3940.0,6,True
22614.5,3901.0,6.6,7.1,7.7,98.9,3940.0,10,True
22614.5,3901.0,6.6,7.1,7.7,98.9,3940.0,10,True
22614.5,3901.0,6.6,7.1,7.7,98.9,3940.0,31,True
22614.5,3901.0,6.6,7.1,7.7,98.9,3940.0,10,True
22614.5,3901.0,6.6,7.1,7.7,98.9,4053.0,7,True
22614.5,3901.0,6.6,7.1,7.7,98.9,3940.0,10,True
22953.5,4056.8,6.6,7.1,11.0,98.9,3892.0,31,True
