median_pnl,worst_dd,sl_soft,sl_hard,tp,gate_pct,dd_limit,cooldown,flip
26.1,298.8,6.0,7.5,9.5,24.0,78.0,30,True
26.1,298.8,6.0,7.5,9.5,24.0,78.0,30,True
144.1,340.6,8.4,11.3,5.5,24.0,78.0,23,True
144.1,340.6,8.4,11.3,5.5,24.0,78.0,23,True
297.1,351.6,5.1,8.8,5.4,22.5,78.0,21,False
461.7,421.4,6.9,10.5,17.7,22.5,78.0,30,False
1079.7,535.4,8.4,11.3,14.8,45.7,78.0,23,True
1096.7,761.3,7.7,18.6,12.2,3.9,849.0,12,False
1297.2,1055.5,8.4,11.3,14.8,45.7,285.0,36,True
1297.2,1055.5,8.4,11.3,14.8,45.7,285.0,36,True
1297.2,1055.5,8.4,11.3,14.8,45.7,285.0,36,True
1297.2,1055.5,8.4,11.3,14.8,45.7,285.0,36,True
1297.2,1055.5,8.4,11.3,14.8,45.7,285.0,36,True
1297.2,1055.5,8.4,11.3,14.8,45.7,285.0,36,True
1297.2,1055.5,8.4,11.3,14.8,45.7,285.0,36,True
1297.2,1055.5,8.4,11.3,14.8,45.7,285.0,36,True
1297.2,1055.5,8.4,11.3,14.8,45.7,285.0,36,True
1297.2,1055.5,8.4,11.3,14.8,45.7,285.0,36,True
1297.2,1055.5,8.4,11.3,14.8,45.7,285.0,36,True
1297.2,1055.5,8.4,11.3,14.8,45.7,285.0,36,True
1297.2,1055.5,8.4,11.3,14.8,45.7,285.0,36,True
1297.2,1055.5,8.4,11.3,14.8,45.7,285.0,36,True
1297.2,1055.5,8.4,11.3,14.8,45.7,285.0,36,True
1297.2,1055.5,8.4,11.3,14.8,45.7,285.0,36,True
1297.2,1055.5,8.4,11.3,14.8,45.7,285.0,36,True
1297.2,1055.5,8.4,11.3,14.8,45.7,285.0,36,True
1297.2,1055.5,8.4,11.3,14.8,45.7,285.0,36,True
1297.2,1055.5,8.4,11.3,14.8,45.7,285.0,36,True
1297.2,1055.5,8.4,11.3,14.8,45.7,285.0,36,True
1297.2,1055.5,8.4,11.3,14.8,45.7,285.0,36,True
1297.2,1055.5,8.4,11.3,14.8,45.7,285.0,36,True
1297.2,1055.5,8.4,11.3,14.8,45.7,285.0,36,True
1297.2,1055.5,8.4,11.3,14.8,45.7,285.0,36,True
1297.2,1055.5,8.4,11.3,14.8,45.7,285.0,36,True
1740.1,1346.4,6.5,10.5,16.0,74.4,78.0,30,False
4342.1,1482.9,5.0,6.5,9.5,99.0,285.0,21,True
16444.7,3339.4,5.1,6.6,5.4,94.5,2799.0,21,True
40926.0,3743.2,5.0,6.5,9.5,99.0,3281.0,0,True
