median_pnl,worst_dd,sl_soft,sl_hard,tp,gate_pct,dd_limit,cooldown,flip
-264.9,1592.1,14.9,39.9,26.7,34.9,127.0,4,False
3598.7,1640.0,17.8,42.7,81.2,34.9,127.0,7,False
6156.3,1830.0,14.9,43.9,115.2,34.9,127.0,4,False
6427.1,3965.0,14.9,46.3,86.6,32.8,3769.0,4,False
6737.3,4239.3,14.9,43.9,87.2,34.9,285.0,1,False
9434.8,4470.0,14.9,65.8,89.4,45.7,3840.0,4,False
9897.0,5306.2,45.9,59.8,81.2,70.0,512.0,3,False
9897.0,5306.2,45.9,59.8,81.2,70.0,512.0,3,False
16076.9,6526.2,17.8,31.8,81.2,70.0,4874.0,7,False
16076.9,6526.2,17.8,31.8,81.2,70.0,4874.0,7,False
18846.9,6810.0,18.5,36.0,93.7,70.0,4281.0,4,False
20203.2,7970.6,39.1,53.4,93.7,76.1,3769.0,2,False
21839.5,11796.3,39.1,49.8,87.2,70.0,516.0,0,False
21839.5,11796.3,39.1,49.8,87.2,70.0,4723.0,0,False
23290.9,13744.5,39.1,64.0,87.2,81.3,2623.0,0,False
23290.9,13744.5,39.1,64.0,87.2,81.3,4723.0,0,False
23290.9,13744.5,39.1,64.0,87.2,81.3,2623.0,0,False
23290.9,13744.5,39.1,64.0,87.2,81.3,4723.0,0,False
23397.7,14154.1,39.1,68.1,87.2,81.3,2623.0,0,False
25450.1,18215.8,39.1,53.4,93.7,81.3,4989.0,0,False
27208.3,23423.9,39.1,64.0,87.2,95.7,285.0,1,False
28287.2,24159.4,39.1,64.0,93.7,95.7,4723.0,0,False
29214.0,24857.2,39.1,68.1,93.7,95.7,4723.0,0,False
29214.0,24857.2,39.1,68.1,93.7,95.7,4723.0,0,False
