median_pnl,worst_dd,sl_soft,sl_hard,tp,gate_pct,dd_limit,cooldown,flip
1.8,425.0,14.9,37.6,9.0,18.2,78.0,16,False
1.8,425.0,14.9,37.6,9.0,18.2,78.0,17,False
1.8,425.0,14.9,37.6,9.0,18.2,78.0,17,False
209.1,538.2,14.9,44.2,9.0,24.0,16.0,7,False
278.8,760.6,14.9,19.0,9.0,18.2,78.0,7,False
1616.2,954.1,18.9,42.7,15.8,18.2,688.0,16,False
1616.2,954.1,18.9,33.5,15.8,18.2,688.0,16,False
1616.2,954.1,18.9,33.5,15.8,18.2,688.0,16,False
1616.2,954.1,18.9,33.5,15.8,18.2,688.0,16,False
1644.9,1180.0,14.9,30.7,12.3,18.2,4004.0,7,False
1644.9,1180.0,14.9,30.7,12.3,18.2,1262.0,3,False
1644.9,1180.0,14.9,44.2,12.3,18.2,1262.0,7,False
1644.9,1180.0,14.9,30.7,12.3,18.2,1262.0,3,False
1693.3,1303.3,18.9,52.9,15.8,18.2,4004.0,16,False
1693.3,1303.3,18.9,52.9,15.8,18.2,4004.0,16,False
1693.3,1303.3,18.9,50.3,15.8,18.2,1473.0,16,False
1693.3,1303.3,18.9,52.9,15.8,18.2,3513.0,16,False
1693.3,1303.3,18.9,52.9,15.8,18.2,4004.0,16,False
1693.3,1303.3,18.9,56.8,15.8,18.2,2264.0,2,False
1693.3,1303.3,18.9,52.9,15.8,18.2,4004.0,16,False
1693.3,1303.3,18.9,52.9,15.8,18.2,4004.0,16,False
3739.4,1730.0,24.0,41.0,61.1,34.0,799.0,15,False
5147.8,2854.1,10.0,47.8,57.0,32.8,70.0,2,False
6121.5,4181.8,16.2,32.0,44.2,45.1,3127.0,7,False
6802.4,4522.8,24.6,40.4,44.2,32.8,4877.0,7,False
6802.4,4522.8,24.6,40.4,44.2,32.8,4877.0,7,False
6802.4,4522.8,24.6,40.4,44.2,32.8,4877.0,7,False
8386.1,5172.9,9.2,43.1,9.4,97.0,1262.0,3,False
8386.1,5172.9,9.2,43.1,9.4,97.0,1262.0,3,False
8386.1,5172.9,9.2,43.1,9.4,97.0,1262.0,3,False
8386.1,5172.9,9.2,43.1,9.4,97.0,1262.0,3,False
8386.1,5172.9,9.2,43.1,9.4,97.0,1262.0,3,False
8386.1,5172.9,9.2,43.1,9.4,97.0,1262.0,3,False
8386.1,5172.9,9.2,43.1,9.4,97.0,1262.0,3,False
8386.1,5172.9,9.2,43.1,9.4,97.0,1262.0,3,False
8386.1,5172.9,9.2,43.1,9.4,97.0,1262.0,3,False
8695.1,6384.6,9.2,43.1,22.9,97.0,1262.0,3,False
15584.8,7943.1,24.6,38.3,61.1,85.0,1262.0,3,False
17469.7,14426.4,28.8,62.4,57.0,99.0,70.0,2,False
18503.5,14939.9,35.2,68.1,45.3,97.0,1350.0,3,False
23062.9,14955.0,28.8,66.6,57.0,93.2,70.0,2,False
23062.9,14955.0,28.8,66.6,57.0,93.2,70.0,2,False
23062.9,14955.0,28.8,66.6,57.0,93.2,70.0,2,False
23062.9,14955.0,28.8,66.6,57.0,93.2,70.0,2,False
23062.9,14955.0,28.8,66.6,57.0,93.2,70.0,2,False
23062.9,14955.0,28.8,66.6,57.0,93.2,70.0,2,False
23062.9,14955.0,28.8,66.6,57.0,93.2,70.0,2,False
23062.9,14955.0,28.8,66.6,57.0,93.2,70.0,2,False
