anchor,sl_soft,sl_hard,tp,pnl,n,dd,win
2024Q1,338.87,596.91,297.39,-1572.72,15,28435.0,53.3
2024Q1,289.79,604.65,362.27,41659.21,13,11770.0,69.2
2024Q1,287.69,502.26,359.68,41243.01,13,11775.0,69.2
2024Q1,287.25,522.99,395.58,24259.43,10,11710.0,60.0
2024Q1,308.96,621.92,362.64,39810.84,13,12585.0,69.2
2024Q1,302.99,617.01,331.98,2872.54,14,18985.0,50.0
2024Q1,267.46,486.19,365.24,43432.7,13,11370.0,69.2
2024Q1,270.98,493.26,272.49,4548.56,17,22745.16,52.9
2024Q1,288.37,496.65,408.34,23263.8,8,11765.0,62.5
2024Q1,259.16,428.43,433.29,16624.18,10,16200.0,50.0
2024Q1,295.41,564.26,448.98,33058.37,7,5910.0,71.4
2024Q1,307.08,615.44,353.06,24514.62,13,19125.0,61.5
2024Q1,273.65,521.52,370.76,43862.69,13,11540.0,69.2
2024Q1,271.58,519.76,310.09,11117.06,17,22720.0,52.9
2024Q1,228.68,512.4,389.01,31196.62,12,9390.0,58.3
2024Q1,283.54,551.64,370.8,43588.71,13,11660.0,69.2
2024Q1,254.59,465.13,373.07,45918.12,13,10790.0,69.2
2024Q1,249.11,424.72,376.31,37141.43,15,20240.0,60.0
2024Q1,256.82,491.2,329.78,21030.29,14,10815.0,57.1
2024Q1,284.71,497.11,366.22,42744.18,13,11660.0,69.2
2024Q1,269.01,457.92,341.49,39157.8,13,11400.0,69.2
2024Q1,276.85,490.21,357.36,41284.23,13,11635.0,69.2
2024Q1,282.51,549.49,374.73,44276.9,13,11690.0,69.2
2024Q1,235.76,500.04,370.04,37132.82,15,19695.0,60.0
2024Q1,281.68,526.96,405.12,23196.96,8,11665.0,62.5
2024Q1,257.61,420.68,313.97,7665.41,16,21650.0,50.0
2024Q1,266.92,565.14,390.36,18682.99,11,17260.0,54.5
2024Q1,242.29,442.23,338.46,14257.8,16,19805.0,50.0
2024Q1,220.92,495.6,412.84,18759.03,10,9175.0,50.0
2024Q1,283.3,522.09,375.26,44372.51,13,11690.0,69.2
2024Q1,275.09,530.77,378.54,45261.92,13,11540.0,69.2
2024Q1,281.79,511.64,378.36,44945.22,13,11695.0,69.2
2024Q1,253.81,484.16,379.85,23991.59,15,26340.0,53.3
2024Q1,278.03,533.03,426.91,19806.18,9,17230.0,55.6
2024Q1,297.75,534.94,392.12,22279.08,10,12615.0,60.0
2024Q1,263.52,555.3,372.82,45588.49,13,10955.0,69.2
2024Q1,246.1,526.68,374.31,36981.55,15,20025.0,60.0
2024Q1,267.53,561.37,345.3,39959.5,13,11370.0,69.2
2024Q1,263.76,526.4,296.98,10261.99,17,21760.0,52.9
2024Q1,232.5,478.92,400.38,29035.73,10,9700.0,60.0
2024Q1,117.18,447.3,326.04,-20745.93,26,29778.37,19.2
2024Q1,282.97,466.44,376.02,44508.99,13,11690.0,69.2
2024Q1,274.98,461.1,386.22,17896.07,11,17260.0,54.5
2024Q1,283.6,432.94,410.32,23686.86,8,11665.0,62.5
2024Q1,312.73,582.66,373.72,41459.79,13,12755.0,69.2
2024Q1,293.68,518.96,350.59,26024.62,13,18160.0,61.5
2024Q1,251.14,451.34,395.64,16116.5,12,15795.0,50.0
2024Q1,302.71,432.13,439.84,31749.39,7,6100.0,71.4
2024Q1,261.32,513.01,417.63,14868.02,10,16200.0,50.0
2024Q1,272.3,561.0,336.22,20275.48,14,11540.0,57.1
2024Q1,282.94,520.06,379.46,45127.95,13,11690.0,69.2
2024Q1,280.9,522.06,382.19,30517.03,11,11695.0,63.6
2024Q1,289.08,551.3,365.92,42309.74,13,11775.0,69.2
2024Q1,261.99,487.29,347.97,40975.2,13,10955.0,69.2
2024Q1,304.48,508.28,398.47,20567.23,8,13145.0,62.5
2024Q1,294.3,512.51,375.43,29999.15,13,18160.0,61.5
2024Q1,272.54,453.24,356.35,41608.11,13,11540.0,69.2
2024Q1,244.27,518.17,316.83,42.42,18,30395.0,44.4
2024Q1,252.75,491.78,387.34,15120.31,12,15795.0,50.0
2024Q1,320.45,577.21,430.67,23081.57,8,13370.0,62.5
2024Q1,26.85,326.43,333.62,1569.56,41,14807.61,9.8
2024Q1,283.83,492.39,366.05,42734.6,13,11660.0,69.2
2024Q1,283.86,513.99,354.45,40645.88,13,11660.0,69.2
2024Q1,275.25,463.83,368.05,43374.66,13,11540.0,69.2
2024Q1,263.63,439.87,379.88,46858.88,13,10955.0,69.2
2024Q1,267.07,463.57,408.42,13272.01,10,16790.0,50.0
2024Q1,258.19,426.27,383.85,13677.4,12,16675.0,50.0
2024Q1,274.19,457.5,344.08,39060.0,13,11540.0,69.2
2024Q1,295.9,444.02,400.67,22072.14,8,12065.0,62.5
2024Q1,241.64,378.21,377.74,37822.53,15,19890.0,60.0
2024Q1,263.48,385.47,421.46,14766.45,10,16775.0,50.0
2024Q1,277.47,525.05,369.84,43465.65,13,11635.0,69.2
2024Q1,273.29,489.84,363.4,42537.76,13,11540.0,69.2
2024Q1,254.3,501.43,373.97,46080.46,13,10790.0,69.2
2024Q1,254.37,502.85,393.21,15434.72,12,16085.0,50.0
2024Q1,290.0,363.08,325.76,16770.95,14,11770.0,57.1
2024Q1,265.91,507.17,348.81,40850.61,13,11045.0,69.2
2024Q1,231.82,255.25,384.41,30442.25,12,9370.0,58.3
2024Q1,458.09,722.88,407.51,22305.82,7,9230.0,71.4
2024Q1,250.25,483.84,374.94,36668.77,15,20465.0,60.0
2024Q1,302.18,527.51,357.61,26027.9,13,18985.0,61.5
2024Q1,275.96,465.63,368.13,43388.72,13,11540.0,69.2
2024Q1,280.94,490.3,394.49,24189.25,10,11855.0,60.0
2024Q1,260.39,513.2,338.65,22269.5,14,10955.0,57.1
2024Q1,285.25,463.4,375.99,44407.53,13,11710.0,69.2
2024Q1,290.17,461.44,386.36,22383.73,10,12065.0,60.0
2024Q1,267.36,553.01,352.21,41088.04,13,11370.0,69.2
2024Q1,313.39,534.16,410.62,21587.12,8,13115.0,62.5
2024Q1,298.4,454.49,377.65,29584.47,13,18725.0,61.5
2024Q1,283.72,554.02,86.23,-6667.26,31,23940.95,74.2
2024Q1,249.5,488.56,397.32,30084.76,12,10330.0,58.3
2024Q1,277.45,470.24,368.43,43211.9,13,11635.0,69.2
2024Q1,269.7,473.32,363.35,43148.55,13,11400.0,69.2
2024Q1,257.94,435.21,381.53,26829.37,12,10875.0,58.3
2024Q1,290.73,540.49,340.4,37741.92,13,11780.0,69.2
2024Q1,276.24,506.42,356.15,41231.29,13,11540.0,69.2
2024Q1,265.1,525.93,371.84,44996.21,13,11045.0,69.2
2024Q1,261.54,522.69,392.44,19472.58,11,16675.0,54.5
2024Q1,241.33,525.55,417.41,30159.3,10,9975.0,60.0
2024Q1,287.32,562.5,377.77,44499.41,13,11775.0,69.2
2024Q1,308.39,580.53,378.7,28536.5,13,19175.0,61.5
2024Q1,289.0,546.65,355.32,40458.35,13,11775.0,69.2
2024Q1,267.7,563.39,372.99,44943.28,13,11370.0,69.2
2024Q1,282.47,578.8,399.58,22453.1,8,11855.0,62.5
2024Q1,297.0,620.1,373.49,28833.78,13,18725.0,61.5
2024Q1,268.43,550.69,388.23,18427.21,11,17260.0,54.5
2024Q1,250.12,543.48,338.2,13241.77,16,20465.0,50.0
2024Q1,286.1,593.3,404.68,23012.73,8,11710.0,62.5
2024Q1,255.67,498.85,373.23,45945.96,13,10790.0,69.2
2024Q1,257.97,517.76,348.31,41306.65,13,10875.0,69.2
2024Q1,244.79,523.12,384.43,28745.35,12,10065.0,58.3
2024Q1,274.14,516.97,371.91,44068.93,13,11540.0,69.2
2024Q1,268.81,512.43,358.17,42161.36,13,11400.0,69.2
2024Q1,258.2,495.06,372.67,45690.12,13,10875.0,69.2
2024Q1,235.35,470.56,380.47,18901.25,14,19695.0,50.0
2024Q1,253.06,522.44,395.59,16156.27,12,15650.0,50.0
2024Q1,259.73,472.98,366.31,44465.93,13,10955.0,69.2
2024Q1,260.81,483.55,323.88,20687.55,16,16330.0,56.2
2024Q1,245.88,447.33,359.08,34239.91,15,20025.0,60.0
2024Q1,442.28,655.79,345.68,23676.3,8,8955.0,75.0
2024Q1,265.19,497.37,384.62,18044.98,11,17260.0,54.5
2024Q1,271.63,517.76,369.18,43917.16,13,11540.0,69.2
2024Q1,272.06,520.07,372.75,44560.34,13,11540.0,69.2
2024Q1,255.72,508.17,372.58,45829.2,13,10790.0,69.2
2024Q1,259.73,514.57,407.98,14093.03,10,16200.0,50.0
2024Q1,222.83,449.5,387.46,26234.7,13,13960.0,53.8
2024Q1,254.71,491.75,357.8,43169.14,13,10790.0,69.2
2024Q1,237.86,447.01,375.69,37643.73,15,20175.0,60.0
2024Q1,250.33,511.38,399.16,35178.05,11,10410.0,63.6
2024Q1,263.3,478.78,363.22,43859.51,13,10955.0,69.2
2024Q1,274.42,441.97,420.13,19592.86,9,16830.0,55.6
2024Q1,270.59,518.37,372.77,44683.74,13,11540.0,69.2
2024Q1,267.25,512.74,379.15,45937.37,13,11370.0,69.2
2024Q1,254.37,506.45,387.03,14693.62,12,16085.0,50.0
2024Q1,268.15,544.19,347.96,40437.27,13,11370.0,69.2
2024Q1,260.23,444.35,377.09,46406.3,13,10955.0,69.2
2024Q1,263.54,421.3,392.1,19002.56,11,17245.0,54.5
2024Q1,281.18,461.96,376.61,44629.36,13,11695.0,69.2
2024Q1,242.56,415.71,382.14,18650.05,14,19805.0,50.0
2024Q1,279.81,509.98,406.28,17747.61,9,17230.0,55.6
2024Q1,256.21,438.15,363.01,44012.28,13,10815.0,69.2
2024Q1,288.31,478.98,378.9,44701.72,13,11775.0,69.2
2024Q1,291.09,484.66,377.0,44189.53,13,11825.0,69.2
2024Q1,269.9,453.81,393.64,19046.46,11,17260.0,54.5
2024Q1,281.03,484.35,375.02,44343.69,13,11695.0,69.2
2024Q1,297.04,463.92,351.96,25388.03,13,18725.0,61.5
2024Q1,266.94,485.23,365.33,43449.51,13,11370.0,69.2
2024Q1,287.5,479.74,672.63,-8434.74,8,29535.0,25.0
2024Q1,277.94,458.13,389.12,17944.11,11,17420.0,54.5
2024Q1,259.99,501.24,402.24,13043.57,10,16675.0,50.0
2024Q1,249.56,509.95,377.66,37423.49,15,20200.0,60.0
2024Q1,282.17,483.33,375.62,44456.62,13,11690.0,69.2
2024Q1,277.53,482.83,359.74,41647.56,13,11635.0,69.2
2024Q1,291.5,519.37,383.47,29976.02,11,11825.0,63.6
2024Q1,270.6,464.31,369.68,44126.88,13,11540.0,69.2
2024Q1,263.4,477.63,345.68,40703.26,13,10955.0,69.2
2024Q1,283.08,442.95,396.33,24354.39,10,11855.0,60.0
