i,time,layer,decision,datetime,reason,box_cause,event_type,direction,box_dir,entry_price,exit_time,exit_price,exit_reason,pnl,equity,dd,in_position,position_owner,l2_reason
30,1704243600,L1,nonentry,2024-01-03 01:00,open_trade,,NOENTRY,,,,,,,0.0,0.0,0.0,True,L1,
31,1704247200,L1,nonentry,2024-01-03 02:00,open_trade,,NOENTRY,,,,,,,0.0,0.0,0.0,True,L1,
32,1704250800,L1,nonentry,2024-01-03 03:00,open_trade,,NOENTRY,,,,,,,0.0,0.0,0.0,True,L1,
33,1704254400,L1,nonentry,2024-01-03 04:00,open_trade,,NOENTRY,,,,,,,0.0,0.0,0.0,True,L1,
34,1704258000,,nonentry,2024-01-03 05:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
35,1704261600,,nonentry,2024-01-03 06:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
36,1704265200,,nonentry,2024-01-03 07:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
37,1704268800,,nonentry,2024-01-03 08:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
38,1704272400,,nonentry,2024-01-03 09:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
39,1704276000,,nonentry,2024-01-03 10:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
40,1704279600,,nonentry,2024-01-03 11:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
41,1704283200,,nonentry,2024-01-03 12:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
42,1704286800,,nonentry,2024-01-03 13:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
43,1704290400,,nonentry,2024-01-03 14:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
44,1704294000,,nonentry,2024-01-03 15:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
45,1704297600,,nonentry,2024-01-03 16:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
46,1704304800,,nonentry,2024-01-03 18:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
47,1704308400,,nonentry,2024-01-03 19:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
48,1704312000,,nonentry,2024-01-03 20:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
49,1704315600,,nonentry,2024-01-03 21:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
50,1704319200,,nonentry,2024-01-03 22:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
