title,et,unverified,jump_pct,res_pct,pred,abs_fp
Non Farm Payrolls,2016-09-02 08:30:00,False,1.3875123885034721,1.3029564157269056,0.3568289597188286,95.0
Retail Sales MoM,2016-09-15 08:30:00,False,0.19607843137254216,0.0,0.1891239378777279,0.2
Durable Goods Orders MoM,2016-09-28 08:30:00,False,0.03762510346903453,0.045146726862295636,0.08586283229267505,5.0
Non Farm Payrolls,2016-10-07 08:30:00,False,0.2704422526248698,0.31809145129224653,0.3807209396516845,8.0
Retail Sales MoM,2016-10-14 08:30:00,False,0.25575447570332843,0.17583120204603944,0.19607843137254216,0.8
Inflation Rate MoM,2016-10-18 08:30:00,False,0.15065017443703327,0.1585791309863622,0.11946504998515382,0.09999999999999998
Durable Goods Orders MoM,2016-10-27 08:30:00,False,0.10226557583385418,0.031468806545518924,0.08105698305909054,0.19999999999999998
Non Farm Payrolls,2016-11-04 08:30:00,False,0.07668711656441718,0.20708697653014616,0.3568289597188286,16.0
Retail Sales MoM,2016-11-15 08:30:00,False,0.18777043023921802,0.13877551020408535,0.19848923175827365,0.4
Inflation Rate MoM,2016-11-17 08:30:00,False,0.1467830057897704,0.2609050142682467,0.12130033964095101,0.10000000000000003
Durable Goods Orders MoM,2016-11-23 08:30:00,False,0.49068529607452516,0.6652806652806653,0.08586283229267505,1.1
Non Farm Payrolls,2016-12-02 08:30:00,False,0.03411222923416882,0.00852951211189944,0.3329369797859727,33.0
Retail Sales MoM,2016-12-14 08:30:00,False,0.00860363073216115,0.18066070199586276,0.19607843137254216,0.3
Inflation Rate MoM,2016-12-15 08:30:00,False,0.026527544433653006,0.053050397877976045,0.13133819998069993,0.2
Durable Goods Orders MoM,2016-12-22 08:30:00,False,0.0972504641499345,0.10609141543628488,0.09066868152625958,9.5
Non Farm Payrolls,2017-01-06 08:30:00,False,0.06784835891781482,0.16960651289009496,0.30168961620542123,26.0
Retail Sales MoM,2017-01-13 08:30:00,False,0.15011258443832495,0.0750625521267799,0.1919244308058801,0.2
Inflation Rate MoM,2017-01-18 08:30:00,False,0.0,0.016497566608928933,0.12130033964095101,0.09999999999999998
Durable Goods Orders MoM,2017-01-27 08:30:00,False,0.19440453047081246,0.14373890251120702,0.09395957283809704,7.4
Fed Interest Rate Decision,2017-02-01 14:00:00,False,0.21560660087900396,0.3482587064676655,0.2653618975770866,0.0
Non Farm Payrolls,2017-02-03 08:30:00,False,0.3464488987874326,0.37919380100569916,0.2704422526248698,18.0
Inflation Rate MoM,2017-02-15 08:30:00,False,0.3345027331320989,0.5221506078159494,0.11946504998515382,0.0
Durable Goods Orders MoM,2017-02-27 08:30:00,False,0.047763095048551904,0.015922299179987113,0.0972504641499345,2.5
Non Farm Payrolls,2017-03-10 08:30:00,False,0.10852324901913196,0.2837826558718046,0.30168961620542123,48.0
Retail Sales MoM,2017-03-15 08:30:00,False,0.07501875468867975,0.041677085938151205,0.18777043023921802,0.5
Fed Interest Rate Decision,2017-03-15 14:00:00,False,0.799267338273261,0.7323568575233175,0.21560660087900396,0.25
Durable Goods Orders MoM,2017-03-24 08:30:00,False,0.0,0.04818503051717869,0.09395957283809704,1.0999999999999999
Non Farm Payrolls,2017-04-07 08:30:00,False,0.5692149577041519,0.4267425320056791,0.2704422526248698,39.0
Durable Goods Orders MoM,2017-04-27 08:30:00,False,0.03161555485299485,0.007903888713239729,0.09066868152625958,1.0999999999999999
Fed Interest Rate Decision,2017-05-03 14:00:00,False,0.0,0.21600000000000363,0.26762430091896494,0.0
Non Farm Payrolls,2017-05-05 08:30:00,False,0.23538961038961775,0.04058112166220275,0.30168961620542123,106.0
Retail Sales MoM,2017-05-12 08:30:00,False,0.10589768654286266,0.20361622414073957,0.18255913692533435,0.5
Durable Goods Orders MoM,2017-05-26 08:30:00,False,0.1185021330383947,0.12641226198940578,0.08586283229267505,3.5
Non Farm Payrolls,2017-06-02 08:30:00,False,0.28456248517904803,0.7588332938107768,0.2704422526248698,11.0
Inflation Rate MoM,2017-06-14 08:30:00,False,0.3313609467455657,0.6548323471400359,0.12130033964095101,0.1
Fed Interest Rate Decision,2017-06-14 14:00:00,False,0.03131360576171058,0.32091421415152704,0.21560660087900396,0.25
Durable Goods Orders MoM,2017-06-26 08:30:00,False,0.1210556048745057,0.37126715092816054,0.09066868152625958,0.30000000000000004
Non Farm Payrolls,2017-07-07 08:30:00,False,0.1799885461834284,0.10636557028309233,0.2775023689019589,27.0
Retail Sales MoM,2017-07-14 08:30:00,False,0.49127978383689513,0.7451686865378242,0.17734784361145067,0.2
Fed Interest Rate Decision,2017-07-26 14:00:00,False,0.03998400639744103,0.3278688524590091,0.21334419753712558,0.0
Durable Goods Orders MoM,2017-07-27 08:30:00,False,0.03166561114628432,0.09499683343888897,0.09395957283809704,3.1
Non Farm Payrolls,2017-08-04 08:30:00,False,0.4789196828138601,0.37685483237810746,0.2704422526248698,48.0
Inflation Rate MoM,2017-08-11 08:30:00,False,0.2552204176334072,0.24748646558391688,0.13133819998069993,0.2
Retail Sales MoM,2017-08-15 08:30:00,False,0.2659366445052867,0.3754987092231835,0.18255913692533435,0.10000000000000003
Durable Goods Orders MoM,2017-08-25 08:30:00,False,0.007746533426284689,0.054225733984028045,0.09066868152625958,12.4
Non Farm Payrolls,2017-09-01 08:30:00,False,0.5583641439674105,0.4527618472683369,0.2775023689019589,9.0
Inflation Rate MoM,2017-09-14 08:30:00,False,0.47457627118643725,0.015065913371001542,0.14137606032044883,0.19999999999999998
Retail Sales MoM,2017-09-15 08:30:00,False,0.08285628201266469,0.0075318219477394305,0.18777043023921802,0.19999999999999998
Fed Interest Rate Decision,2017-09-20 14:00:00,False,0.15945330296126872,0.6757269759319615,0.21108179419524722,0.0
Durable Goods Orders MoM,2017-09-27 08:30:00,False,0.05427618826083938,0.1705823059626305,0.08586283229267505,7.8
Non Farm Payrolls,2017-10-06 08:30:00,False,0.15738117721120556,0.3934839065082238,0.28456248517904803,79.0
Retail Sales MoM,2017-10-13 08:30:00,False,0.3247255296118616,0.8427400649450953,0.18255913692533435,1.8
