anchor,tier,clock,n_moments,n_filled,gross_mean,net_stressed_mean,t,p,alpha,half1_gross,half2_gross,mde_usd,jump_ratio,jump_ok,ctrl_mean_net,ctrl_p,floor_ok,noise_p,noise_ok,verdict,t2_fdr_pass
Fed Dudley Speech,2,08:30,47,43,8.143313953488262,-44.35668604651173,-3.1767081373664516,0.0014895685997344244,0.05,13.19404761904783,3.3221590909086767,39.11880809042698,0.500000000000222,False,-52.5405764248705,1.1678069383662254e-12,True,0.341,False,VOID-TIMESTAMP,True
Fed Evans Speech,2,13:00,133,129,15.091763565891156,-37.408236434108844,-3.910717965642998,9.202217476826878e-05,0.05,26.15234374999985,4.201346153845674,26.798752346155098,0.500000000000222,False,-51.13051948051948,4.127511821952869e-16,True,0.099,False,VOID-TIMESTAMP,True
Fed Goolsbee Speech,2,12:45,43,41,0.2701219512226078,-52.22987804877739,-2.2527808338627544,0.024272971238096627,0.05,73.91625000000234,-69.86904761904381,64.9537017201652,2.999999999999112,True,-44.17350649350614,1.0271537078573667e-13,False,0.65,False,SIGNIFICANT-NEGATIVE (p=0.024),True
Fed Harker Speech,2,09:00,100,90,-4.4201388888880855,-56.92013888888808,-5.194845922709233,2.048894604349111e-07,0.05,18.207777777778933,-27.048055555555102,30.69708363605344,0.333333333333432,False,-44.80149350649345,1.1192939463209129e-07,False,0.765,False,VOID-TIMESTAMP,True
Fed Kaplan Speech,2,13:00,109,94,3.800000000000139,-48.69999999999987,-5.0113662921115765,5.404492929036296e-07,0.05,-0.4154255319153243,8.015425531915602,27.225549322268883,0.500000000000222,False,-51.13051948051948,4.127511821952869e-16,True,0.402,False,VOID-TIMESTAMP,True
Fed Kashkari Speech,2,13:00,151,134,-13.042257462686253,-65.54225746268625,-6.729496292143562,1.7025142514892982e-11,0.05,-12.157462686566541,-13.927052238805967,27.286175925482894,0.500000000000222,False,-51.13051948051948,4.127511821952869e-16,False,0.906,False,VOID-TIMESTAMP,True
Fed Logan Speech,2,13:30,44,43,10.413662790698627,-42.08633720930137,-1.8998481784053671,0.05745304630108707,0.05,9.71845238095633,11.077272727270808,62.06204347336193,2.0,True,-58.87751377410491,2.2630936802033877e-39,True,0.092,False,POWERED-NULL,True
Fed Mester Speech,2,12:00,118,103,-28.30412621359182,-80.80412621359183,-9.380363103276151,6.574591901377251e-21,0.05,-15.304411764704978,-41.053846153846216,24.133356366851803,0.5000000000004441,False,-44.71380076142102,3.736203733577546e-12,False,1.0,False,VOID-TIMESTAMP,True
Fed Press Conference,2,14:30,68,68,2.201102941175723,-50.29889705882429,-2.1858805816420817,0.02882434326504668,0.05,-2.361764705882674,6.763970588234117,64.4667635129637,2.0000000000017764,True,-61.46396857923482,2.5251939602059563e-45,True,0.138,False,SIGNIFICANT-NEGATIVE (p=0.029),True
Fed Quarles Speech,2,13:15,48,44,12.99403409090864,-39.50596590909135,-2.260311750643364,0.023801909202178728,0.05,-5.883522727274055,31.871590909091335,48.966400371839526,1.0,False,-57.457901907356806,1.282391335988843e-42,True,0.072,False,VOID-TIMESTAMP,True
Fed Rosengren Speech,2,11:00,40,35,12.54428571428545,-39.955714285714556,-2.3101914866155466,0.020877555169066725,0.05,-12.102205882352779,35.82152777777711,48.454571493256005,0.5,False,-46.88599869451669,6.874085782344033e-11,True,0.374,False,VOID-TIMESTAMP,True
Fed Waller Speech,2,11:00,88,77,7.676623376623953,-44.82337662337604,-2.2404448361721028,0.025062058255433388,0.05,-1.346381578946532,16.468269230769543,56.04981090335927,1.9999999999991118,True,-46.88599869451669,6.874085782344033e-11,True,0.448,False,SIGNIFICANT-NEGATIVE (p=0.025),True
Fed Williams Speech,2,09:00,267,241,-5.502956431535181,-58.00295643153518,-6.9012952697390055,5.153049720593242e-12,0.05,-11.370833333332792,0.31642561983434825,23.546337178259893,0.666666666666272,False,-44.80149350649345,1.1192939463209129e-07,False,0.897,False,VOID-TIMESTAMP,True
House Price Index MoM,2,09:00,67,67,-14.69944029850771,-67.19944029850771,-4.788075471122707,1.6838832667231937e-06,0.05,-22.499242424243377,-7.129044117646631,39.319547026883804,1.0,False,-44.80149350649345,1.1192939463209129e-07,False,0.874,False,VOID-TIMESTAMP,True
