instrument,release,n,pearson_r,pearson_p,spearman_r,spearman_p,passes_alpha,rule_accuracy,rule_ci_lo,rule_ci_hi,tradeable,provenance_verified,perm_p,control_spearman_p
CL,ADP Employment Change,101,0.22346031964678567,0.0246860731265317,0.1547744547672799,0.12224201397745281,False,0.5567010309278351,0.45755805318635734,0.6515240657005025,False,True,,
CL,API Crude Oil Stock Change,262,-0.27962836466467356,4.295206570448815e-06,-0.24734746706600844,5.174627915356746e-05,True,0.5742971887550201,0.5122118792349866,0.6341248812484876,False,False,0.000999000999000999,
CL,Average Hourly Earnings MoM,100,-0.26159512869024065,0.008563376117800716,-0.01680773119638887,0.8681759382403192,False,0.5204081632653061,0.4226080629859069,0.6166686721104722,False,True,,
CL,Average Hourly Earnings YoY,80,-0.3184841080263032,0.003987476374786136,-0.10609532404849346,0.3489347429458934,False,0.5769230769230769,0.4662155558081298,0.6804093965406102,False,True,,
CL,Average Weekly Hours,100,-0.11431956454370786,0.2574073373604499,-0.002424249697729776,0.9809022704616539,False,0.5204081632653061,0.4226080629859069,0.6166686721104722,False,True,,
CL,Balance of Trade,104,-0.06304808025703314,0.5248880273952493,-0.08681318681318682,0.38087785812328306,False,0.5048543689320388,0.40987543920771663,0.5994842233335949,False,True,,
CL,Building Permits,57,-0.014553583324901677,0.9144331795206436,0.11806647114706631,0.38173768443857176,False,0.5272727272727273,0.3979154435234906,0.6530690164140153,False,True,,
CL,Business Inventories MoM,103,-0.055981969623650374,0.5743464654120671,0.002602915375057518,0.9791820826258993,False,0.5445544554455446,0.44757998086651596,0.6382639219280599,False,True,,
CL,CB Consumer Confidence,103,0.0589760934797041,0.5540162261982425,0.08578708636336882,0.3889031813257957,False,0.51,0.41348011931837525,0.6057800107171506,False,True,,
CL,CB Leading Index MoM,100,0.08141870947595542,0.42065297205844554,0.056766357836165286,0.5748116510944976,False,0.5154639175257731,0.4173312640173833,0.6124184047699422,False,True,,
CL,CPI,38,-0.2972175044246952,0.06996065179678629,-0.20910384068278803,0.20769583673769257,False,0.5526315789473684,0.3970629711857063,0.6985359900495867,False,True,,
CL,Capacity Utilization,101,-0.06335465358559773,0.5290781224086417,-0.07666860803727431,0.44603504526979676,False,0.55,0.45244602995194905,0.6438546202256804,False,True,,
CL,Chicago PMI,102,-0.07686500442299192,0.44256564134698734,-0.09617727968011387,0.33624905018044854,False,0.51,0.41348011931837525,0.6057800107171506,False,True,,
CL,Construction Spending MoM,101,0.08463073152368787,0.4000944446631774,0.19476964329152144,0.05096419183184669,False,0.5104166666666666,0.41196037087654813,0.6080713877093885,False,True,,
CL,Consumer Credit Change,103,0.04186967585938715,0.6745372628739703,0.01372917286549696,0.8905234602763668,False,0.5102040816326531,0.4127304709807342,0.6069078965674553,False,True,,
CL,Continuing Jobless Claims,507,0.042507792937221116,0.33947512254648154,0.07033204289313955,0.11371967094688987,False,0.5030674846625767,0.45890113171417907,0.5471860185169877,False,True,,
CL,Core Inflation Rate MoM,99,-0.12153291754613507,0.2307895646131829,-0.2424188077278371,0.015624046865590557,False,0.6391752577319587,0.5399919511887663,0.7277550678971623,False,True,,
CL,Core Inflation Rate YoY,100,-0.05562680826156371,0.5825249369339413,-0.16545504187005722,0.09994750711042077,False,0.6020408163265306,0.5030495272059645,0.6933341482759303,False,True,,
CL,Core PCE Price Index MoM,100,-0.05298827301981894,0.6005645338998751,-0.10976297629762975,0.27698446971823953,False,0.5252525252525253,0.4277930823555662,0.6208254422866207,False,True,,
CL,Core PCE Price Index YoY,91,-0.14431236883621412,0.17232300803480208,-0.040563784042044915,0.7026380341097331,False,0.5666666666666667,0.46364097521342595,0.6642342747088736,False,True,,
CL,Core PPI MoM,102,0.10764163820474625,0.2815422356701109,0.06752596119348109,0.5000926494859403,False,0.55,0.4524460299519491,0.6438546202256804,False,True,,
CL,Durable Goods Orders Ex Transp MoM,102,0.21519048583335307,0.029852138368462997,-0.02576891109689438,0.7971105116175022,False,0.5567010309278351,0.45755805318635734,0.6515240657005025,False,True,,
CL,Durable Goods Orders MoM,103,0.07344121101056246,0.46097221330888016,0.16364075721843138,0.09860436326545391,False,0.5510204081632653,0.4524754605581002,0.645716377182847,False,True,,
CL,EIA Crude Oil Stocks Change,524,0.0037312019468294455,0.9320964749081224,0.1035828192829413,0.017699765766101834,False,0.5029239766081871,0.45979680692739683,0.5460076809843019,False,False,,
CL,EIA Distillate Stocks Change,309,-0.01429806210243071,0.8023312613381302,-0.0258800881327953,0.6504316763005368,False,0.5382059800664452,0.48175836133350713,0.593690693689525,False,False,,
CL,EIA Gasoline Stocks Change,516,0.019967710026920802,0.6508913296999366,-0.025860540436025474,0.5578002955087162,False,0.504950495049505,0.4614715305413638,0.5483547128067517,False,False,,
CL,EIA Natural Gas Stocks Change,516,-0.01382921668979729,0.7539824382246506,-0.02885475725975738,0.5131113710952272,False,0.5059055118110236,0.46254798717401446,0.549174392669547,False,False,,
CL,Existing Home Sales,103,0.08535910357322277,0.39128249282249405,0.11089847257233457,0.26476272503479364,False,0.5148514851485149,0.418639265935981,0.6099753683288778,False,True,,
CL,Existing Home Sales MoM,48,0.07798205721297372,0.5983064702381233,0.17933130699088146,0.22261291410267245,False,0.5319148936170213,0.39232383217113287,0.6666831292631152,False,True,,
CL,Export Prices MoM,100,-0.02061758900934783,0.8386618913963478,0.02339040921225413,0.8173187403522403,False,0.5816326530612245,0.48269880397872866,0.674408136406787,False,True,,
CL,Factory Orders MoM,104,-0.055259398454253386,0.5774232746085443,0.015896724634588712,0.8727501838178197,False,0.5048543689320388,0.40987543920771663,0.5994842233335949,False,True,,
CL,Fed Interest Rate Decision,33,0.12196457070103618,0.4989460735500447,0.12778378456324455,0.4785285720745295,False,,,,False,True,,
CL,Goods Trade Balance Adv,36,-0.2533217440770213,0.1360331741230082,-0.10710607976007096,0.5341067004397243,False,0.5151515151515151,0.3521837544545501,0.674959578951926,False,True,,
CL,House Price Index MoM,57,-0.07910429422104247,0.5586076731711754,-0.0746382330638742,0.5810904139816719,False,0.5454545454545454,0.41522690238938087,0.6697471975064623,False,True,,
CL,Housing Starts,99,-0.03656632819055112,0.719348341555675,-0.029845761854625005,0.7693269123409381,False,0.5520833333333333,0.45251638595454613,0.6476424069751374,False,True,,
CL,IBD/TIPP Economic Optimism,28,,,,,False,,,,False,True,,
CL,ISM Manufacturing Employment,51,-0.020883606270093804,0.8843498738713089,-0.06235294117647059,0.6637996399904726,False,0.5,0.36644514313918053,0.6335548568608195,False,True,,
CL,ISM Manufacturing PMI,104,0.16898246963084396,0.08637880483600673,0.17619631926912893,0.07358823341611632,False,0.5959595959595959,0.49746896180270117,0.687281431837608,False,True,,
CL,ISM Manufacturing Prices,101,0.10468691229328206,0.2974762391980481,0.03838313245487818,0.7031403961075979,False,0.5416666666666666,0.44231552915449246,0.6378115051892541,False,True,,
CL,ISM Non-Manufacturing Business Activity,49,0.0345099261569191,0.8138956789122043,0.05581632653061224,0.7032588332360743,False,0.5416666666666666,0.4029107454256628,0.6742475770994771,False,True,,
CL,ISM Non-Manufacturing PMI,63,-0.025127028669479152,0.8450198115337926,-0.01708909370199693,0.8942456221908277,False,0.5,0.3792274119189726,0.6207725880810274,False,True,,
CL,Import Prices MoM,100,-0.1703228360784899,0.09022391171735619,-0.039454063768745745,0.6967346639787942,False,0.5,0.4028918256032012,0.5971081743967988,False,True,,
CL,Industrial Production MoM,101,-0.06340323660530173,0.5287616278955541,-0.03439720442632498,0.7327378670689011,False,0.5,0.4038315303442626,0.5961684696557374,False,True,,
CL,Inflation Rate MoM,99,-0.13228992223676683,0.19179198420606658,-0.19980272047937347,0.047389196187261215,False,0.6391752577319587,0.5399919511887663,0.7277550678971623,False,True,,
