title,n,pred_med,realized_med,realized_mean,instrument,unverified
Non Farm Payrolls,116,0.2649497446655177,0.28778234839792816,0.32574951455090667,GC,False
Fed Interest Rate Decision,76,0.15183558375360243,0.15300814459549658,0.21131340935839482,GC,False
Inflation Rate MoM,108,0.12690085949112448,0.1704038695234289,0.2586130029784151,GC,False
Retail Sales MoM,112,0.10445162894801836,0.0867269094678864,0.12148083292614972,GC,False
Durable Goods Orders MoM,119,0.048349372334655874,0.04517221908525999,0.07159837847800787,GC,False
