anchor,tier,clock,n_moments,n_filled,gross_mean,net_stressed_mean,t,p,alpha,half1_gross,half2_gross,mde_usd,jump_ratio,jump_ok,ctrl_mean_net,ctrl_p,floor_ok,noise_p,noise_ok,verdict,t2_fdr_pass
Fed Kashkari Speech,2,13:00,151,140,-0.5323928571428951,-23.032392857142895,-1.6252465880096654,0.1041100272375409,0.05,21.65807142857154,-22.72285714285733,39.70302836461683,0.8,False,-11.723090909091026,0.1446085670207184,False,0.806,False,VOID-TIMESTAMP,False
Fed Logan Speech,2,13:30,44,44,-15.300795454545964,-37.80079545454596,-1.2632866793646769,0.20648617162956412,0.05,-16.39590909090905,-14.205681818182876,83.83065501756684,1.375,True,-26.444916201117575,0.0027041465868157155,False,0.669,False,POWERED-NULL,False
Fed Mester Speech,2,12:00,118,106,-7.276650943396027,-29.776650943396028,-2.1885114218968496,0.028632370190369193,0.05,15.757641509433872,-30.310943396225927,38.118067063810486,1.25,True,-17.607931472080978,0.03532572107980505,False,0.793,False,SIGNIFICANT-NEGATIVE (p=0.029),True
Fed Press Conference,2,14:30,68,67,6.539552238805503,-15.960447761194496,-0.41299211976206285,0.6796123872687323,0.05,-23.710151515150013,35.89955882352703,108.2697523616204,2.4,True,-21.048403693931963,0.012273213450688452,True,0.403,False,VOID-TIMESTAMP (fuzz flip),False
Fed Quarles Speech,2,13:15,48,45,22.93544444444463,0.435444444444632,0.016182003722416224,0.987089192534233,0.05,6.398409090909561,38.753478260869485,75.38835981696886,1.0,False,-29.749275956284265,4.770865003155473e-05,True,0.056,False,VOID-TIMESTAMP,False
Fed Rosengren Speech,2,11:00,40,34,-10.938529411764916,-33.43852941176492,-1.7671698726223752,0.07719978357060656,0.05,-19.48470588235282,-2.39235294117701,53.01181917557148,0.3333333333333333,False,-8.537251308900466,0.39465948397941664,False,0.762,False,VOID-TIMESTAMP,False
Fed Waller Speech,2,11:00,88,80,38.447937499998716,15.947937499998716,0.5550180757370071,0.5788822967829494,0.05,15.009999999999309,61.88587499999812,80.50099253390874,1.3333333333333333,True,-8.537251308900466,0.39465948397941664,True,0.129,False,VOID-TIMESTAMP (fuzz flip),False
Fed Williams Speech,2,09:00,267,246,9.535934959349328,-12.964065040650672,-1.0860687216174465,0.2774485893713866,0.05,0.9286585365851174,18.143211382113538,33.44165269759869,1.6666666666666667,True,-22.277454545454493,0.0008672772956950247,True,0.148,False,POWERED-NULL,False
Foreign Bond Investment,2,16:00,125,124,6.165120967741807,-16.334879032258193,-1.0004406531988814,0.3170973045000465,0.05,23.541048387096453,-11.21080645161284,45.74339867347212,1.0,False,-28.3068880208337,0.0004950909434278083,True,0.186,False,VOID-TIMESTAMP,False
IBD/TIPP Economic Optimism,2,10:00,40,40,-19.657125000000633,-42.15712500000063,-1.4191500950564548,0.1558552617389229,0.05,-25.43224999999984,-13.882000000001426,83.22359888534615,1.0,False,-18.169404761904545,0.10243495114040067,False,0.743,False,VOID-TIMESTAMP,False
ISM New York Index,2,09:45,62,62,-17.40491935483885,-39.904919354838846,-2.188417372302805,0.02863921398726554,0.05,-30.723387096773994,-4.086451612903705,51.085790872766665,0.8571428571428571,False,-2.5801165803109685,0.8325388155631601,False,0.905,False,VOID-TIMESTAMP,True
Kansas Fed Manufacturing Index,2,11:00,116,116,18.2947844827584,-4.2052155172416015,-0.1985703089383952,0.8425988811041452,0.05,-1.9361206896560204,38.52568965517282,59.33046938464688,1.3333333333333333,True,-8.537251308900466,0.39465948397941664,True,0.397,False,POWERED-NULL,False
LMI Logistics Managers Index,2,06:00,63,63,-7.464920634921284,-29.964920634921285,-1.4305230654413919,0.15256695066953035,0.05,12.84306451612851,-27.138281250000773,58.68432377132666,1.3333333333333333,True,-23.366176470588172,2.6015577304086186e-05,False,0.685,False,POWERED-NULL,False
MBA 30-Year Mortgage Rate,2,07:00,543,540,6.799250000000147,-15.700749999999854,-3.1410897835077423,0.00168320423268955,0.05,11.254518518518596,2.343981481481697,14.00373505901102,1.0,False,-19.442760814249354,0.001292311615204318,True,0.214,False,VOID-TIMESTAMP,True
Manufacturing Production YoY,2,09:15,91,90,8.01277777777735,-14.48722222222265,-0.7571276180269026,0.4489734093573346,0.05,-10.54222222222193,26.56777777777663,53.60679847566451,1.6666666666666667,True,-4.790321336761251,0.5193362042305646,False,0.766,False,POWERED-NULL,False
Michigan Consumer Sentiment Final,2,10:00,90,89,0.21983146067357032,-22.28016853932643,-0.8321201885881411,0.40534110744260765,0.05,5.656022727272433,-5.0955555555564285,75.01295090448464,1.125,False,-18.169404761904545,0.10243495114040067,False,0.578,False,VOID-TIMESTAMP,False
Monthly Budget Statement,2,14:00,116,115,-12.731173913043122,-35.23117391304312,-2.2172840624856947,0.02660368628388154,0.05,-15.736578947368814,-9.77758620689546,44.51533195379196,1.0,False,-33.04730563002715,5.722924054674227e-05,False,0.572,False,VOID-TIMESTAMP,True
NAHB Housing Market Index,2,10:00,124,124,-25.342379032257696,-47.842379032257696,-2.624034052410396,0.008689509698578702,0.05,7.958870967741243,-58.64362903225664,51.07955889829934,1.125,False,-18.169404761904545,0.10243495114040067,False,0.953,False,VOID-TIMESTAMP,True
NFIB Business Optimism Index,2,06:00,127,127,-22.526614173228324,-45.026614173228324,-4.638593610575481,3.507880445560435e-06,0.05,-8.214206349206332,-36.615390624999975,27.194858466332597,1.0,False,-23.366176470588172,2.6015577304086186e-05,False,0.988,False,VOID-TIMESTAMP,True
NY Empire State Manufacturing Index,2,08:30,65,62,-12.736209677418481,-35.23620967741848,-2.086259051496315,0.03695516375437914,0.05,-7.2367741935475705,-18.235645161289394,47.31782667624152,1.3333333333333333,True,-29.964261658031134,1.263042525826587e-06,False,0.611,False,SIGNIFICANT-NEGATIVE (p=0.037),False
New Home Sales,2,10:00,78,78,-5.979038461538762,-28.47903846153876,-1.2126740974680144,0.2252544468742334,0.05,2.3878205128205128,-14.345897435898037,65.79381333155041,1.0,False,-18.169404761904545,0.10243495114040067,False,0.666,False,VOID-TIMESTAMP,False
Pending Home Sales MoM,2,10:00,119,119,-28.390168067226266,-50.89016806722627,-2.6417462241219636,0.008247983085449261,0.05,-29.247203389830215,-27.547416666665715,53.96928037217437,1.125,False,-18.169404761904545,0.10243495114040067,False,0.953,False,VOID-TIMESTAMP,True
Redbook YoY,2,08:55,553,553,-2.8046202531644813,-25.30462025316448,-4.471379936456963,7.771648719195203e-06,0.05,-4.883768115942141,-0.7329783393499173,15.854848184959124,1.0,False,-26.854496124030966,3.756804721820981e-05,True,0.407,False,VOID-TIMESTAMP,True
Richmond Fed Manufacturing Index,2,10:00,125,125,0.5570400000012887,-21.94295999999871,-1.0425971469697,0.29713491118431357,0.05,20.854032258064823,-19.41777777777552,58.963399787175774,1.0,False,-18.169404761904545,0.10243495114040067,False,0.559,False,VOID-TIMESTAMP,False
S&P Global Manufacturing PMI Final,2,09:45,128,128,21.256601562498858,-1.243398437501142,-0.05289629384042807,0.9578145373510469,0.05,29.36406249999962,13.149140624998097,65.85502368368256,1.6428571428571428,True,-2.5801165803109685,0.8325388155631601,True,0.485,False,POWERED-NULL,False
S&P Global Manufacturing PMI Flash,2,09:45,126,126,35.817261904761665,13.317261904761661,0.5295137579696179,0.5964491030540233,0.05,-16.680476190476405,88.31499999999973,70.45982006388728,1.4285714285714286,True,-2.5801165803109685,0.8325388155631601,True,0.225,False,POWERED-NULL,False
S&P Global Services PMI Final,2,09:45,127,125,-0.8498000000010506,-23.34980000000105,-1.1305337564127729,0.25825138277494075,0.05,42.57048387096699,-43.58087301587436,57.86333594372378,1.4285714285714286,True,-2.5801165803109685,0.8325388155631601,False,0.826,False,POWERED-NULL,False
S&P/Case-Shiller Home Price MoM,2,09:00,57,57,-4.759824561403085,-27.259824561403086,-1.2449603330076437,0.2131463315406084,0.05,-20.37999999999946,10.321724137931346,61.34389950809406,1.6666666666666667,True,-22.277454545454493,0.0008672772956950247,False,0.577,False,POWERED-NULL,False
S&P/Case-Shiller Home Price YoY,2,09:00,68,68,-5.162867647059102,-27.6628676470591,-2.4702663318818954,0.013501249179389106,0.05,-1.2208823529416644,-9.104852941176539,31.373087229778843,1.0,False,-22.277454545454493,0.0008672772956950247,False,0.639,False,VOID-TIMESTAMP,True
Total Vehicle Sales,2,19:00,117,107,-6.340841121495304,-28.840841121495306,-2.1619493774089795,0.030622078387696317,0.05,-32.57754716981099,19.40999999999972,37.3737123678292,3.0,True,-23.012414383561694,8.520946237770462e-05,False,0.716,False,SIGNIFICANT-NEGATIVE (p=0.031),True
WASDE Report,2,12:00,110,110,-15.68059090909066,-38.18059090909066,-2.5396993557315923,0.011094779492885565,0.05,-25.673181818182375,-5.687999999998945,42.11765416105028,1.25,True,-17.607931472080978,0.03532572107980505,False,0.895,False,SIGNIFICANT-NEGATIVE (p=0.011),True
Wholesale Inventories MoM,2,10:00,97,97,19.57293814433009,-2.927061855669908,-0.1191202543053014,0.9051800843780585,0.05,-5.84874999999973,44.47581632653073,68.84146845823334,1.5,True,-18.169404761904545,0.10243495114040067,True,0.253,False,POWERED-NULL,False
Wholesale Inventories MoM Adv,2,08:30,49,49,-30.32428571428533,-52.82428571428533,-2.5347072732704645,0.011254132576580743,0.05,-34.01104166666679,-26.784999999999126,58.386125930168234,1.3333333333333333,True,-29.964261658031134,1.263042525826587e-06,False,0.91,False,SIGNIFICANT-NEGATIVE (p=0.011),True
