anchor,confirmatory,clock,n_filled,gross_mean,net_stressed_mean,t,p,alpha,half1_gross,half2_gross,mde_usd,jump_ratio,jump_ok,ctrl_mean_net,ctrl_p,floor_ok,noise_p,noise_ok,verdict
Retail Sales MoM,True,08:30,101,-32.41465346534695,-54.91465346534696,-4.304860569278816,1.6709093992451245e-05,0.00625,-22.14940000000138,-42.47862745097987,45.61686718408303,3.3333333333338384,True,-25.64481072555156,3.077645485731066e-05,False,0.999,False,CONFIRMED-NEGATIVE
Durable Goods Orders MoM,True,08:30,108,10.780833333333712,-11.719166666666288,-0.765181453154053,0.44416350216952816,0.00625,3.1466666666671226,18.4150000000003,54.76821594326749,2.0,True,-25.64481072555156,3.077645485731066e-05,True,0.08,False,POWERED-NULL
