anchor,confirmatory,clock,n_filled,gross_mean,net_stressed_mean,t,p,alpha,half1_gross,half2_gross,mde_usd,jump_ratio,jump_ok,ctrl_mean_net,ctrl_p,floor_ok,noise_p,noise_ok,verdict
Retail Sales MoM,True,08:30,113,-86.09893805309571,-108.59893805309571,-3.3813979484741545,0.0007211801558774753,0.00625,-26.833392857142503,-144.32473684210237,114.84856995775053,4.166666666666667,True,-50.42838082901517,0.0001902879604288516,False,0.988,False,CONFIRMED-NEGATIVE
Durable Goods Orders MoM,True,08:30,127,9.47468503937048,-13.02531496062952,-0.34924867227412765,0.7269026286924491,0.00625,6.453968253967942,12.4482031250011,133.36742563642574,2.1666666666666665,True,-50.42838082901517,0.0001902879604288516,True,0.048,False,POWERED-NULL
