i,ref_month,release,tv_actual,tv_forecast,tv_previous,prev_pit,prev_first,prev_today,first,current,revision,prior_actual
0,2015-12-01,2016-01-15 08:30:00,-0.1,0.0,0.4,0.3694099062714562,,0.3669992454860216,-0.1101252842302336,0.41925673910920835,0.529382023339442,
1,2016-01-01,2016-02-12 08:30:00,0.2,0.1,0.2,0.16347886595178274,-0.1101252842302336,0.41925673910920835,0.17701716064473239,-0.6068090168698803,-0.7838261775146127,-0.1
2,2016-02-01,2016-03-15 08:30:00,-0.1,-0.1,-0.4,-0.3962254082322425,0.17701716064473239,-0.6068090168698803,-0.14599452632142462,0.8307809932964094,0.976775519617834,0.2
3,2016-03-01,2016-04-13 08:30:00,-0.3,0.1,0.0,0.028787317512946053,-0.14599452632142462,0.8307809932964094,-0.3025144843310401,-0.28457495424458745,0.01793953008645266,-0.1
4,2016-04-01,2016-05-13 08:30:00,1.3,0.7,-0.3,-0.3298508326396554,-0.3025144843310401,-0.28457495424458745,1.2563307816673142,0.542710747392805,-0.7136200342745092,-0.3
5,2016-05-01,2016-06-14 08:30:00,0.5,0.3,1.3,1.271246039914531,1.2563307816673142,0.542710747392805,0.4503958324606927,0.27821921693444995,-0.17217661552624275,1.3
6,2016-06-01,2016-07-15 08:30:00,0.6,0.1,0.2,0.2121760840940734,0.4503958324606927,0.27821921693444995,0.5764164460261512,1.0655682506902409,0.4891518046640897,0.5
7,2016-07-01,2016-08-12 08:30:00,0.0,0.4,0.8,0.8292688297532713,0.5764164460261512,1.0655682506902409,-0.03799948023699429,-0.09950315056292958,-0.06150367032593529,0.6
8,2016-08-01,2016-09-15 08:30:00,-0.3,-0.1,0.1,0.05684190735206762,-0.03799948023699429,-0.09950315056292958,-0.29453600746390807,0.03490525557539037,0.32944126303929844,0.0
9,2016-09-01,2016-10-14 08:30:00,0.6,0.6,-0.2,-0.19067421791900685,-0.29453600746390807,0.03490525557539037,0.6225709884107644,0.6911940543976369,0.06862306598687251,-0.3
10,2016-10-01,2016-11-15 08:30:00,0.8,0.6,1.0,0.9577866040959337,0.6225709884107644,0.6911940543976369,0.8240533557235752,0.1745921034044251,-0.6494612523191501,0.6
11,2016-11-01,2016-12-14 08:30:00,0.1,0.3,0.6,0.6167204575542318,0.8240533557235752,0.1745921034044251,0.08126672901416221,0.009915235751245532,-0.07135149326291668,0.8
12,2016-12-01,2017-01-13 08:30:00,0.6,0.4,0.2,0.18180997633892026,0.08126672901416221,0.009915235751245532,0.6274575420396555,1.1925744450221654,0.5651169029825098,0.1
13,2017-01-01,2017-02-15 08:30:00,0.4,0.1,1.0,0.9512303981735082,0.6274575420396555,1.1925744450221654,0.3573091074499324,1.111897323129507,0.7545882156795747,0.6
14,2017-02-01,2017-03-15 08:30:00,0.1,0.1,0.6,0.6370374147925295,0.3573091074499324,1.111897323129507,0.07960068747967508,-0.027561733977587988,-0.10716242145726307,0.4
15,2017-03-01,2017-04-14 08:30:00,-0.2,-0.1,-0.3,-0.26188744969393163,0.07960068747967508,-0.027561733977587988,-0.21637544636707862,-0.13138510049883756,0.08499034586824106,0.1
16,2017-04-01,2017-05-12 08:30:00,0.4,0.6,0.1,0.12465265505923195,-0.21637544636707862,-0.13138510049883756,0.39019069883450275,0.3455013651832983,-0.04468933365120442,-0.2
17,2017-05-01,2017-06-14 08:30:00,-0.3,0.1,0.4,0.42664659581259645,0.39019069883450275,0.3455013651832983,-0.2528373146614027,-0.5420438621377421,-0.28920654747633945,0.4
18,2017-06-01,2017-07-14 08:30:00,-0.2,0.1,-0.1,-0.0627967303554744,-0.2528373146614027,-0.5420438621377421,-0.15519273630518748,0.5134477497763301,0.6686404860815176,-0.3
19,2017-07-01,2017-08-15 08:30:00,0.6,0.4,0.3,0.2630802932007681,-0.15519273630518748,0.5134477497763301,0.6016692961687609,-0.00881473996516835,-0.6104840361339292,-0.2
20,2017-08-01,2017-09-15 08:30:00,-0.2,0.1,0.3,0.282831178027676,0.6016692961687609,-0.00881473996516835,-0.2078473404367065,0.20017674036583166,0.40802408080253816,0.6
21,2017-09-01,2017-10-13 08:30:00,1.6,1.7,-0.1,-0.05726247608819346,-0.2078473404367065,0.20017674036583166,1.5564169669597172,2.0823140637740822,0.525897096814365,-0.2
22,2017-10-01,2017-11-15 08:30:00,0.2,0.0,1.9,1.8689941302755697,1.5564169669597172,2.0823140637740822,0.23361261096084274,0.08050886648560684,-0.1531037444752359,1.6
23,2017-11-01,2017-12-14 08:30:00,0.8,0.3,0.5,0.5450286191442943,0.23361261096084274,0.08050886648560684,0.7883599290598786,1.0169982797984423,0.22863835073856364,0.2
24,2017-12-01,2018-01-12 08:30:00,0.4,0.4,0.9,0.8529668946693159,0.7883599290598786,1.0169982797984423,0.35207629805344975,0.5482909830356153,0.19621468498216554,0.8
25,2018-01-01,2018-02-14 08:30:00,-0.3,0.2,0.0,0.026765726892263864,0.35207629805344975,0.5482909830356153,-0.262923170484497,-0.449144516177058,-0.186221345692561,0.4
26,2018-02-01,2018-03-14 08:30:00,-0.1,0.3,-0.1,-0.1160443484170659,-0.262923170484497,-0.449144516177058,-0.06804199511316611,0.5436069578367064,0.6116489529498725,-0.3
27,2018-03-01,2018-04-16 08:30:00,0.6,0.4,-0.1,-0.07599015785227925,-0.06804199511316611,0.5436069578367064,0.5612094470256901,0.016321268679075907,-0.5448881783466142,-0.1
28,2018-04-01,2018-05-15 08:30:00,0.3,0.3,0.8,0.7522660389659208,0.5612094470256901,0.016321268679075907,0.2975308567316315,0.009088843444682304,-0.2884420132869492,0.6
29,2018-05-01,2018-06-14 08:30:00,0.8,0.4,0.4,0.35780735651924633,0.2975308567316315,0.009088843444682304,0.8273543141335216,1.6122969137918997,0.7849425996583781,0.3
30,2018-06-01,2018-07-16 08:30:00,0.5,0.5,1.3,1.3186654238050766,0.8273543141335216,1.6122969137918997,0.48518856327079973,-0.3520611431823695,-0.8372497064531692,0.8
31,2018-07-01,2018-08-15 08:30:00,0.5,0.1,0.2,0.19704140250618174,0.48518856327079973,-0.3520611431823695,0.5119339021047775,0.5944172915459678,0.08248338944119027,0.5
32,2018-08-01,2018-09-14 08:30:00,0.1,0.4,0.7,0.676408640293924,0.5119339021047775,0.5944172915459678,0.0865145452579208,0.06144274874173572,-0.025071796516185074,0.5
33,2018-09-01,2018-10-15 08:30:00,0.1,0.6,0.1,0.05588021171516466,0.0865145452579208,0.06144274874173572,0.10363529814321204,-0.3927489385848526,-0.49638423672806464,0.1
34,2018-10-01,2018-11-15 08:30:00,0.8,0.5,-0.1,-0.05237540167600807,0.10363529814321204,-0.3927489385848526,0.764766373919934,0.9987650226751521,0.23399864875521814,0.1
35,2018-11-01,2018-12-14 08:30:00,0.2,0.2,1.1,1.1064649362899637,0.764766373919934,0.9987650226751521,0.22933272958645112,0.4911203506736239,0.2617876210871728,0.8
