block,n_filled,gross_mean,net_stressed_mean,t,p,half1_gross,half2_gross,mde_usd,jump_ratio,jump_ok,ctrl_mean_net,ctrl_p,floor_ok,noise_p,noise_ok,verdict
CPI-alone,116,203.86594827586165,151.3659482758617,3.0013660442944428,0.002687712641194312,29.925431034481836,377.8064655172415,172.35006790683119,20.5,True,-65.16483160621756,3.1040307604564956e-17,True,0.0,True,PASS
Retail-falsifier,113,-66.38329646017664,-118.88329646017664,-5.947486396240834,2.7229138828188843e-09,-26.59218750000016,-105.47631578947284,68.31083898619661,6.0,True,-65.16483160621756,3.1040307604564956e-17,False,1.0,False,SIGNIFICANT-NEGATIVE (p=2.7e-09)
