set,instrument,group,n,accuracy,ci_lo,ci_hi,beats_half,beats_break_even
RELEASES,RTY,ALL,407,0.48157248157248156,0.4334290496533636,0.5300605162656725,False,False
RELEASES,RTY,FOMC,60,0.48333333333333334,0.36175049539732795,0.6069218996740751,False,False
RELEASES,RTY,NON_FOMC,347,0.4812680115273775,0.4291900538794994,0.5337561724767079,False,False
CONTROL,RTY,ALL,389,0.5115681233933161,0.4620245819236118,0.5608854236216732,False,False
CONTROL,RTY,FOMC,0,,,,False,False
CONTROL,RTY,NON_FOMC,389,0.5115681233933161,0.4620245819236118,0.5608854236216732,False,False
