anchor,confirmatory,clock,n_filled,gross_mean,net_stressed_mean,t,p,alpha,half1_gross,half2_gross,mde_usd,jump_ratio,jump_ok,ctrl_mean_net,ctrl_p,floor_ok,noise_p,noise_ok,verdict
EIA Crude Oil Stocks Change,True,10:30,551,-1.4112341197821017,-43.9112341197821,-7.847438932831502,4.2461905526278254e-15,0.00625,-5.667927272727301,2.8300362318843115,20.009857533773925,5.333333333333254,True,-28.381485411140464,5.197952303002478e-05,False,0.997,False,COST-DRAG-NEGATIVE (p=4.2e-15)
API Crude Oil Stock Change,True,16:30,433,5.273302540415966,-37.22669745958404,-6.321018901885036,2.598442355296802e-10,0.00625,3.486111111111557,7.052258064516208,21.060259543755947,7.999999999995737,True,-37.03205333333366,1.4824694989370616e-19,False,0.498,False,COST-DRAG-NEGATIVE (p=2.6e-10)
