anchor,tier,clock,n_moments,n_filled,gross_mean,net_stressed_mean,t,p,alpha,half1_gross,half2_gross,mde_usd,jump_ratio,jump_ok,ctrl_mean_net,ctrl_p,floor_ok,noise_p,noise_ok,verdict,t2_fdr_pass
IBD/TIPP Economic Optimism,2,10:00,40,40,-19.0262499999998,-121.5262499999998,-4.368600373619683,1.250453432815057e-05,0.05,-57.48874999999964,19.436250000000054,77.93483417659984,0.7499999999999112,False,-98.0238095238095,3.490234439350519e-10,False,0.671,False,VOID-TIMESTAMP,True
ISM New York Index,2,09:45,62,62,-0.1395161290324177,-102.63951612903242,-4.916241262932461,8.822166358183056e-07,0.05,7.753225806452049,-8.03225806451689,58.4904881346619,0.5,False,-93.35057989690635,1.191544709725091e-10,False,0.57,False,VOID-TIMESTAMP,True
Imports,2,08:30,61,61,58.51598360655744,-43.98401639344256,-1.1152297085321397,0.26475199825213414,0.05,41.737499999999386,74.75322580645233,110.49290495997704,1.0,False,-99.44883116883057,1.0113886370470851e-11,True,0.077,False,VOID-TIMESTAMP,False
Kansas Fed Manufacturing Index,2,11:00,116,116,-1.099999999999545,-103.59999999999957,-4.174866264533121,2.9816115762388638e-05,0.05,15.184051724138428,-17.384051724137525,69.52180268341768,1.0,False,-105.18125000000052,2.8559150836685814e-14,True,0.458,False,VOID-TIMESTAMP,True
LMI Logistics Managers Index,2,06:00,63,62,-16.54717741935285,-119.04717741935285,-3.021209244126188,0.0025176730980455957,0.05,-5.116129032257486,-27.97822580644821,110.39315242792989,1.0000000000007105,False,-93.49786666666623,8.611472564254036e-14,False,0.78,False,VOID-TIMESTAMP,True
MBA 30-Year Mortgage Rate,2,07:00,543,523,-16.680162523900016,-119.18016252390001,-10.281863139917215,8.50670212199166e-25,0.05,-26.578927203064634,-6.819179389312363,32.47401537669248,1.0000000000001776,False,-139.342098445596,2.797936448386517e-37,True,0.027,False,VOID-TIMESTAMP,True
Michigan Consumer Sentiment Final,2,10:00,90,89,32.86601123595467,-69.63398876404534,-1.9916886624894845,0.04640522843928617,0.05,1.0965909090927928,63.92944444444184,97.94982384789498,1.4999999999998224,True,-98.0238095238095,3.490234439350519e-10,True,0.188,False,SIGNIFICANT-NEGATIVE (p=0.046),True
Monthly Budget Statement,2,14:00,116,112,-10.224330357142305,-112.72433035714229,-5.355614831898446,8.526597344249252e-08,0.05,7.060714285715181,-27.50937499999979,58.967425336864366,1.0,False,-80.96543715847008,1.6328450730748083e-09,False,0.908,False,VOID-TIMESTAMP,True
NAHB Housing Market Index,2,10:00,124,124,-3.9419354838701484,-106.44193548387017,-3.920293355102397,8.844124457897261e-05,0.05,-1.1157258064507751,-6.768145161289526,76.06730571040845,1.0,False,-98.0238095238095,3.490234439350519e-10,False,0.623,False,VOID-TIMESTAMP,True
NFIB Business Optimism Index,2,06:00,127,124,-42.47036290322507,-144.97036290322504,-7.492125517220044,6.776706658883893e-14,0.05,-6.0487903225804285,-78.89193548386974,54.2098266969818,1.0,False,-93.49786666666623,8.611472564254036e-14,False,1.0,False,VOID-TIMESTAMP,True
