title,n,pred_med,realized_med,realized_mean,instrument,unverified
Non Farm Payrolls,82,0.21255349079877972,0.30058824281397445,0.4070335651577224,RTY,False
Inflation Rate MoM,80,0.10285279870250116,0.4023532490800157,0.6308677587759532,RTY,False
Fed Interest Rate Decision,52,0.09142557668602397,0.21787220671253982,0.2953533194255775,RTY,False
Retail Sales MoM,81,0.052508044453575375,0.06894357233772709,0.11970524476301042,RTY,False
Durable Goods Orders MoM,83,0.03533710238839924,0.03853352416601443,0.06140391416143534,RTY,False
