set,instrument,group,n,accuracy,ci_lo,ci_hi,beats_half,beats_break_even
RELEASES,ES,ALL,535,0.48785046728971965,0.4457324370884937,0.5301417281465798,False,False
RELEASES,ES,FOMC,83,0.43373493975903615,0.332391654462867,0.5409407359716114,False,False
RELEASES,ES,NON_FOMC,452,0.497787610619469,0.45190685901627303,0.5437056506374689,False,False
CONTROL,ES,ALL,493,0.4563894523326572,0.4129276800916349,0.5005255971327235,False,False
CONTROL,ES,FOMC,0,,,,False,False
CONTROL,ES,NON_FOMC,493,0.4563894523326572,0.4129276800916349,0.5005255971327235,False,False
