anchor,tier,clock,n_moments,n_filled,gross_mean,net_stressed_mean,t,p,alpha,half1_gross,half2_gross,mde_usd,jump_ratio,jump_ok,ctrl_mean_net,ctrl_p,floor_ok,noise_p,noise_ok,verdict
POSCTRL Fed Interest Rate Decision,1,14:00,84,84,-4.318095238095772,-26.818095238095772,-0.48062279106222866,0.6307846142842732,0.0025,68.22821428571409,-76.86440476190563,215.65963776725894,6.2,True,-29.825949197860982,0.07551974618159696,True,0.463,False,UNDERPOWERED
POSCTRL Inflation Rate MoM,1,08:30,118,116,331.5150431034491,309.0150431034491,4.192355168671657,2.760733307445078e-05,0.0025,27.009224137931096,636.0208620689672,284.8832120748365,12.0,True,-50.42838082901517,0.0001902879604288516,True,0.0,True,CONFIRMED
POSCTRL Non Farm Payrolls,1,08:30,127,127,100.59594488188829,78.09594488188829,1.3893164428562583,0.16473654603771815,0.0025,39.42285714285592,160.81320312499827,217.25641651835474,11.666666666666666,True,-50.42838082901517,0.0001902879604288516,True,0.0,True,UNDERPOWERED
POSCTRL DEPLOYED-SET,1,08:30,329,327,155.56180428134513,133.06180428134513,3.5370113326442096,0.0004046823012038328,0.0025,51.005368098158776,259.4807012195121,145.39928154572274,10.833333333333334,True,-50.42838082901517,0.0001902879604288516,True,0.0,True,CONFIRMED
