set,instrument,group,n,accuracy,ci_lo,ci_hi,beats_half,beats_break_even
RELEASES,GC,ALL,558,0.4874551971326165,0.44621001769359103,0.5288719208493815,False,False
RELEASES,GC,FOMC,80,0.4625,0.3574799356278525,0.5709564240873121,False,False
RELEASES,GC,NON_FOMC,478,0.4916317991631799,0.4470604179482583,0.5363366105690054,False,False
CONTROL,GC,ALL,514,0.48443579766536965,0.44150744322980656,0.5275950692719202,False,False
CONTROL,GC,FOMC,0,,,,False,False
CONTROL,GC,NON_FOMC,514,0.48443579766536965,0.44150744322980656,0.5275950692719202,False,False
