release,instrument,n,mde_r,bonferroni_alpha
Wholesale Inventories MoM Adv,HG,65,0.5432034742215733,7.776049766718508e-05
CPI,HG,62,0.5538875788154687,7.776049766718508e-05
Goods Trade Balance Adv,HG,60,0.561365383042495,7.776049766718508e-05
PCE Price Index MoM,HG,54,0.5857221316794382,7.776049766718508e-05
IBD/TIPP Economic Optimism,HG,52,0.5945590651599607,7.776049766718508e-05
Non Defense Goods Orders Ex Air,HG,52,0.5945590651599607,7.776049766718508e-05
PCE Price Index YoY,HG,50,0.603799213960116,7.776049766718508e-05
EIA Crude Oil Stocks Change,NG,498,0.21214968038405457,7.776049766718508e-05
Initial Jobless Claims,NG,496,0.21256651289853143,7.776049766718508e-05
EIA Natural Gas Stocks Change,NG,495,0.21277585246076325,7.776049766718508e-05
EIA Gasoline Stocks Change,NG,492,0.21340760091952635,7.776049766718508e-05
Continuing Jobless Claims,NG,480,0.215992050007558,7.776049766718508e-05
EIA Distillate Stocks Change,NG,334,0.25750768600986784,7.776049766718508e-05
API Crude Oil Stock Change,NG,288,0.2765127887644907,7.776049766718508e-05
Balance of Trade,NG,116,0.42261440904575215,7.776049766718508e-05
Factory Orders MoM,NG,116,0.42261440904575215,7.776049766718508e-05
ISM Manufacturing PMI,NG,116,0.42261440904575215,7.776049766718508e-05
Business Inventories MoM,NG,115,0.42426265442766153,7.776049766718508e-05
CB Consumer Confidence,NG,115,0.42426265442766153,7.776049766718508e-05
Chicago PMI,NG,115,0.42426265442766153,7.776049766718508e-05
Consumer Credit Change,NG,115,0.42426265442766153,7.776049766718508e-05
Durable Goods Orders Ex Transp MoM,NG,115,0.42426265442766153,7.776049766718508e-05
Durable Goods Orders MoM,NG,115,0.42426265442766153,7.776049766718508e-05
Existing Home Sales,NG,115,0.42426265442766153,7.776049766718508e-05
Michigan Consumer Sentiment Final,NG,115,0.42426265442766153,7.776049766718508e-05
Michigan Consumer Sentiment Prel,NG,115,0.42426265442766153,7.776049766718508e-05
NAHB Housing Market Index,NG,115,0.42426265442766153,7.776049766718508e-05
NY Empire State Manufacturing Index,NG,115,0.42426265442766153,7.776049766718508e-05
Pending Home Sales MoM,NG,115,0.42426265442766153,7.776049766718508e-05
Philadelphia Fed Manufacturing Index,NG,115,0.42426265442766153,7.776049766718508e-05
Retail Sales Ex Autos MoM,NG,115,0.42426265442766153,7.776049766718508e-05
Retail Sales MoM,NG,115,0.42426265442766153,7.776049766718508e-05
S&P/Case-Shiller Home Price YoY,NG,115,0.42426265442766153,7.776049766718508e-05
Wholesale Inventories MoM,NG,115,0.42426265442766153,7.776049766718508e-05
Average Hourly Earnings MoM,NG,114,0.425930260057537,7.776049766718508e-05
Average Weekly Hours,NG,114,0.425930260057537,7.776049766718508e-05
Capacity Utilization,NG,114,0.425930260057537,7.776049766718508e-05
Core PPI MoM,NG,114,0.425930260057537,7.776049766718508e-05
Core PPI YoY,NG,114,0.425930260057537,7.776049766718508e-05
Industrial Production MoM,NG,114,0.425930260057537,7.776049766718508e-05
Manufacturing Payrolls,NG,114,0.425930260057537,7.776049766718508e-05
Non Farm Payrolls,NG,114,0.425930260057537,7.776049766718508e-05
Nonfarm Payrolls Private,NG,114,0.425930260057537,7.776049766718508e-05
PPI MoM,NG,114,0.425930260057537,7.776049766718508e-05
PPI YoY,NG,114,0.425930260057537,7.776049766718508e-05
Personal Spending MoM,NG,114,0.425930260057537,7.776049766718508e-05
Unemployment Rate,NG,114,0.425930260057537,7.776049766718508e-05
ADP Employment Change,NG,113,0.42761760619278244,7.776049766718508e-05
CB Leading Index MoM,NG,113,0.42761760619278244,7.776049766718508e-05
Construction Spending MoM,NG,113,0.42761760619278244,7.776049766718508e-05
Core Inflation Rate YoY,NG,113,0.42761760619278244,7.776049766718508e-05
Core PCE Price Index MoM,NG,113,0.42761760619278244,7.776049766718508e-05
ISM Manufacturing Prices,NG,113,0.42761760619278244,7.776049766718508e-05
