set,instrument,lead_min,stop_pct,direction,n,gross_mean,gross_ci_lo,gross_ci_hi,gross_sd,mde_usd,stopped_pre_release,stopped_total,net_optimistic,net_realistic,net_stressed
RELEASES,RTY,5,0.1,long,418,56.62460526315772,22.247724304304462,91.00148622201098,358.59030184493525,49.10982994121894,0.22966507177033493,0.6818181818181818,49.12460526315772,44.12460526315772,34.12460526315772
RELEASES,RTY,5,0.1,short,418,-19.148696172249355,-40.97379768051077,2.6764053360120634,227.66084412984753,31.178716440373453,0.2511961722488038,0.7464114832535885,-26.648696172249355,-31.648696172249355,-41.64869617224936
RELEASES,RTY,5,0.2,long,418,69.53538277511952,27.206023751245482,111.86474179899355,441.54377028683064,60.47051289124862,0.04784688995215311,0.5047846889952153,62.035382775119515,57.035382775119515,47.035382775119515
RELEASES,RTY,5,0.2,short,418,-11.105191387559408,-44.745375110400495,22.53499233528168,350.9057046138447,48.05740531834441,0.06937799043062201,0.5239234449760766,-18.605191387559408,-23.605191387559408,-33.60519138755941
RELEASES,RTY,5,0.4,long,418,92.04296650717691,42.292859809490416,141.79307320486342,518.9506808047614,71.07158099669499,0.007177033492822967,0.22966507177033493,84.54296650717691,79.54296650717691,69.54296650717691
RELEASES,RTY,5,0.4,short,418,-33.41799043062186,-77.51466755521486,10.678686693971137,459.9789253537309,62.995253035132855,0.014354066985645933,0.34210526315789475,-40.91799043062186,-45.91799043062186,-55.91799043062186
RELEASES,RTY,15,0.1,long,418,44.737081339712645,10.335277844700997,79.1388848347243,358.85027248550836,49.14543356430235,0.3803827751196172,0.7081339712918661,37.237081339712645,32.237081339712645,22.237081339712645
RELEASES,RTY,15,0.1,short,418,-13.80748803827742,-40.385780686432355,12.77080460987752,277.2420800663246,37.9689894973642,0.42105263157894735,0.7511961722488039,-21.30748803827742,-26.30748803827742,-36.30748803827742
RELEASES,RTY,15,0.2,long,418,68.9156459330137,26.432391944171528,111.39889992185589,443.14907130312696,60.69036284120311,0.11244019138755981,0.5095693779904307,61.41564593301371,56.41564593301371,46.41564593301371
RELEASES,RTY,15,0.2,short,418,-10.501315789473704,-48.176032768367406,27.173401189419994,392.99051445517347,53.82102425556242,0.16507177033492823,0.562200956937799,-18.001315789473704,-23.001315789473704,-33.00131578947371
RELEASES,RTY,15,0.4,long,418,95.67435406698544,45.425554885499025,145.92315324847186,524.1526154569382,71.78399883069488,0.023923444976076555,0.24162679425837322,88.17435406698544,83.17435406698544,73.17435406698544
RELEASES,RTY,15,0.4,short,418,-40.43598086124388,-86.63479682482108,5.762835102333327,481.9066447909178,65.998308519396,0.03588516746411483,0.3684210526315789,-47.93598086124388,-52.93598086124388,-62.93598086124388
RELEASES,RTY,30,0.1,long,418,45.17035885167455,10.928220597343554,79.41249710600555,357.1847808744937,48.91734036332999,0.47368421052631576,0.7416267942583732,37.67035885167455,32.67035885167455,22.67035885167455
RELEASES,RTY,30,0.1,short,418,-22.62177033492814,-43.40867380483138,-1.8348668650248996,216.8312476811388,29.695576385576054,0.5358851674641149,0.7655502392344498,-30.12177033492814,-35.121770334928144,-45.121770334928144
RELEASES,RTY,30,0.2,long,418,72.9870334928228,26.940184855477227,119.03388213016838,480.32145125782233,65.7812123390651,0.19617224880382775,0.5358851674641149,65.4870334928228,60.4870334928228,50.4870334928228
RELEASES,RTY,30,0.2,short,418,-37.00354066985647,-66.44844078511974,-7.558640554593193,307.1440842106707,42.06414302180468,0.22488038277511962,0.583732057416268,-44.50354066985647,-49.50354066985647,-59.50354066985647
RELEASES,RTY,30,0.4,long,418,101.65425837320562,49.7673979497893,153.54111879662196,541.2394732171638,74.12408631916617,0.03827751196172249,0.25598086124401914,94.15425837320562,89.15425837320562,79.15425837320562
RELEASES,RTY,30,0.4,short,418,-46.63076555023896,-91.91051681355346,-1.3510142869244675,472.3197457154404,64.68535894759214,0.06698564593301436,0.3875598086124402,-54.13076555023896,-59.13076555023896,-69.13076555023896
CONTROL,RTY,5,0.1,long,400,-0.6983874999996544,-11.58424526209984,10.18747026210053,111.08018124592027,15.551225374428837,0.11,0.3925,-8.198387499999654,-13.198387499999654,-23.198387499999654
CONTROL,RTY,5,0.1,short,400,0.9602375000000052,-10.58648191204552,12.50695691204553,117.82366746985228,16.49531344577932,0.1325,0.425,-6.539762499999995,-11.539762499999995,-21.539762499999995
CONTROL,RTY,5,0.2,long,400,2.9385750000001565,-10.561215512531565,16.438365512531877,137.75296441358898,19.28541501790246,0.02,0.1425,-4.5614249999998435,-9.561424999999844,-19.561424999999844
CONTROL,RTY,5,0.2,short,400,-3.66279999999972,-16.859544102867385,9.533944102867945,134.66065411089454,18.852491575525235,0.025,0.165,-11.16279999999972,-16.16279999999972,-26.16279999999972
CONTROL,RTY,5,0.4,long,400,0.3359500000000253,-14.817753028029113,15.489653028029164,154.62962273499122,21.648147182898768,0.0025,0.0375,-7.164049999999975,-12.164049999999975,-22.164049999999975
CONTROL,RTY,5,0.4,short,400,-5.471299999999957,-20.107949015622474,9.165349015622558,149.3535613839032,20.90949859374645,0.0125,0.045,-12.971299999999957,-17.971299999999957,-27.971299999999957
CONTROL,RTY,15,0.1,long,400,-13.668275000000817,-25.242596899299055,-2.093953100702578,118.10532550304325,16.534745570426054,0.3375,0.5275,-21.16827500000082,-26.16827500000082,-36.16827500000082
CONTROL,RTY,15,0.1,short,400,-3.046250000000242,-16.238620630303934,10.146120630303452,134.6160268398336,18.846243757576705,0.3425,0.495,-10.546250000000242,-15.546250000000242,-25.546250000000242
CONTROL,RTY,15,0.2,long,400,-8.81980000000047,-23.770812498802528,6.13121249880159,152.56135202859244,21.358589284002942,0.1275,0.23,-16.31980000000047,-21.31980000000047,-31.31980000000047
CONTROL,RTY,15,0.2,short,400,3.330974999999654,-12.401976801982718,19.063926801982028,160.54032451002422,22.475645431403386,0.1,0.215,-4.169025000000346,-9.169025000000346,-19.169025000000346
CONTROL,RTY,15,0.4,long,400,-9.567400000000333,-26.16910758372681,7.034307583726143,169.40517942578037,23.71672511960925,0.03,0.0525,-17.067400000000333,-22.067400000000333,-32.06740000000033
CONTROL,RTY,15,0.4,short,400,6.271800000000212,-10.469925245418342,23.013525245418766,170.83393107569952,23.916750350597933,0.01,0.035,-1.228199999999788,-6.228199999999788,-16.228199999999788
CONTROL,RTY,30,0.1,long,400,-5.634249999999895,-20.169432427001574,8.900932427001784,148.3181880306294,20.764546324288112,0.47,0.57,-13.134249999999895,-18.134249999999895,-28.134249999999895
CONTROL,RTY,30,0.1,short,400,-4.79893749999971,-19.44446828652557,9.84659328652615,149.44419169924348,20.922186837894085,0.4725,0.5675,-12.29893749999971,-17.29893749999971,-27.29893749999971
CONTROL,RTY,30,0.2,long,400,0.8713249999999846,-17.38416228037535,19.12681228037532,186.28048245280954,26.079267543393335,0.195,0.27,-6.628675000000015,-11.628675000000015,-21.628675000000015
CONTROL,RTY,30,0.2,short,400,-4.0161499999997545,-22.918706454042063,14.886406454042554,192.8832291228807,27.003652077203295,0.2125,0.305,-11.516149999999755,-16.516149999999755,-26.516149999999755
CONTROL,RTY,30,0.4,long,400,2.373499999999808,-17.954715552787828,22.701715552787444,207.4307709468126,29.040307932553763,0.065,0.09,-5.126500000000192,-10.126500000000192,-20.126500000000192
CONTROL,RTY,30,0.4,short,400,-7.203499999999906,-28.27060496250487,13.863604962505057,214.97045880107106,30.095864232149946,0.05,0.0825,-14.703499999999906,-19.703499999999906,-29.703499999999906
