set,instrument,group,n,accuracy,ci_lo,ci_hi,beats_half,beats_break_even
RELEASES,CL,ALL,1351,0.5055514433752776,0.4789133056469802,0.532158100459131,False,False
RELEASES,CL,FOMC,82,0.47560975609756095,0.3710497992478591,0.5823526702004385,False,False
RELEASES,CL,NON_FOMC,1269,0.5074862096138691,0.4799984391145455,0.5349287930779097,False,False
CONTROL,CL,ALL,1269,0.4743892828999212,0.44703427793214695,0.501898875093664,False,False
CONTROL,CL,FOMC,0,,,,False,False
CONTROL,CL,NON_FOMC,1269,0.4743892828999212,0.44703427793214695,0.501898875093664,False,False
