set,instrument,group,n,accuracy,ci_lo,ci_hi,beats_half,beats_break_even
RELEASES,NQ,ALL,566,0.4840989399293286,0.44317412001897666,0.5252381467240371,False,False
RELEASES,NQ,FOMC,82,0.3902439024390244,0.29184681359884235,0.49846429891849675,False,False
RELEASES,NQ,NON_FOMC,484,0.5,0.4556310917517261,0.5443689082482739,False,False
CONTROL,NQ,ALL,527,0.46110056925996207,0.41897610336508995,0.5037880302218294,False,False
CONTROL,NQ,FOMC,0,,,,False,False
CONTROL,NQ,NON_FOMC,527,0.46110056925996207,0.41897610336508995,0.5037880302218294,False,False
