n,mde_r,grid,judge_at_r,at_mde_rate,min_hits_required,pass_,smallest_detected,reason,instrument,release,n_matrix
127,0.40566222334560903,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.406, 0.507]",0.406,0.76,17,True,0.507,detection at its MDE (0.406) is 76% — consistent with the nominal 80% power,CL,Durable Goods Orders MoM,127
548,0.20246528041501022,"[0.05, 0.1, 0.15, 0.2, 0.202, 0.253, 0.3, 0.4]",0.253,1.0,17,True,0.202,detection at its MDE (0.202) is 100% — consistent with the nominal 80% power,CL,EIA Crude Oil Stocks Change,549
333,0.25788004564153333,"[0.05, 0.1, 0.15, 0.2, 0.258, 0.3, 0.322, 0.4]",0.258,0.8,17,True,0.258,detection at its MDE (0.258) is 80% — consistent with the nominal 80% power,CL,EIA Distillate Stocks Change,334
540,0.20392597012249197,"[0.05, 0.1, 0.15, 0.2, 0.204, 0.255, 0.3, 0.4]",0.204,0.8,17,True,0.204,detection at its MDE (0.204) is 80% — consistent with the nominal 80% power,CL,EIA Gasoline Stocks Change,541
540,0.20392597012249197,"[0.05, 0.1, 0.15, 0.2, 0.204, 0.255, 0.3, 0.4]",0.204,0.84,17,True,0.204,detection at its MDE (0.204) is 84% — consistent with the nominal 80% power,CL,EIA Natural Gas Stocks Change,540
127,0.40566222334560903,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.406, 0.507]",0.406,0.84,17,True,0.406,detection at its MDE (0.406) is 84% — consistent with the nominal 80% power,CL,Existing Home Sales,127
72,0.5204726554299641,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.52, 0.651]",0.651,1.0,17,True,0.52,detection at its MDE (0.520) is 100% — consistent with the nominal 80% power,CL,Existing Home Sales MoM,72
124,0.4100829737335035,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.41, 0.513]",0.513,1.0,17,True,0.41,detection at its MDE (0.410) is 100% — consistent with the nominal 80% power,CL,Export Prices MoM,124
128,0.4042200102428221,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.404, 0.505]",0.505,1.0,17,True,0.4,detection at its MDE (0.404) is 100% — consistent with the nominal 80% power,CL,Factory Orders MoM,128
84,0.48731695017867094,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.487, 0.609]",0.609,1.0,17,True,0.487,detection at its MDE (0.487) is 100% — consistent with the nominal 80% power,CL,Fed Interest Rate Decision,84
60,0.561365383042495,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.561, 0.702]",0.702,1.0,17,True,0.702,detection at its MDE (0.561) is 100% — consistent with the nominal 80% power,CL,Goods Trade Balance Adv,60
81,0.49501400145984564,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.495, 0.619]",0.619,1.0,17,True,0.619,detection at its MDE (0.495) is 100% — consistent with the nominal 80% power,CL,House Price Index MoM,81
123,0.4115888797617477,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.412, 0.514]",0.412,0.88,17,True,0.412,detection at its MDE (0.412) is 88% — consistent with the nominal 80% power,CL,Housing Starts,124
52,0.5945590651599607,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.595, 0.743]",0.595,0.76,17,True,0.743,detection at its MDE (0.595) is 76% — consistent with the nominal 80% power,CL,IBD/TIPP Economic Optimism,52
75,0.5115591836472961,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.512, 0.639]",0.512,0.96,17,True,0.512,detection at its MDE (0.512) is 96% — consistent with the nominal 80% power,CL,ISM Manufacturing Employment,75
128,0.4042200102428221,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.404, 0.505]",0.505,1.0,17,True,0.4,detection at its MDE (0.404) is 100% — consistent with the nominal 80% power,CL,ISM Manufacturing PMI,128
125,0.4085934230131286,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.409, 0.511]",0.409,0.84,17,True,0.4,detection at its MDE (0.409) is 84% — consistent with the nominal 80% power,CL,ISM Manufacturing Prices,125
