n,mde_r,grid,judge_at_r,at_mde_rate,min_hits_required,pass_,smallest_detected,reason,instrument,release,n_matrix
60,0.561365383042495,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.561, 0.702]",0.702,1.0,17,True,0.561,detection at its MDE (0.561) is 100% — consistent with the nominal 80% power,ES,Goods Trade Balance Adv,60
81,0.49501400145984564,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.495, 0.619]",0.619,1.0,17,True,0.619,detection at its MDE (0.495) is 100% — consistent with the nominal 80% power,ES,House Price Index MoM,81
123,0.4115888797617477,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.412, 0.514]",0.412,0.8,17,True,0.4,detection at its MDE (0.412) is 80% — consistent with the nominal 80% power,ES,Housing Starts,124
52,0.5945590651599607,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.595, 0.743]",0.595,0.76,17,True,0.743,detection at its MDE (0.595) is 76% — consistent with the nominal 80% power,ES,IBD/TIPP Economic Optimism,52
75,0.5115591836472961,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.512, 0.639]",0.512,0.8,17,True,0.512,detection at its MDE (0.512) is 80% — consistent with the nominal 80% power,ES,ISM Manufacturing Employment,75
128,0.4042200102428221,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.404, 0.505]",0.505,1.0,17,True,0.4,detection at its MDE (0.404) is 100% — consistent with the nominal 80% power,ES,ISM Manufacturing PMI,128
125,0.4085934230131286,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.409, 0.511]",0.409,0.84,17,True,0.409,detection at its MDE (0.409) is 84% — consistent with the nominal 80% power,ES,ISM Manufacturing Prices,125
73,0.5174504535373323,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.517, 0.647]",0.647,0.96,17,True,0.647,detection at its MDE (0.517) is 96% — consistent with the nominal 80% power,ES,ISM Non-Manufacturing Business Activity,73
87,0.4799656186678168,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.48, 0.6]",0.48,0.84,17,True,0.48,detection at its MDE (0.480) is 84% — consistent with the nominal 80% power,ES,ISM Non-Manufacturing PMI,87
124,0.4100829737335035,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.41, 0.513]",0.513,0.96,17,True,0.513,detection at its MDE (0.410) is 96% — consistent with the nominal 80% power,ES,Import Prices MoM,124
125,0.4085934230131286,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.409, 0.511]",0.409,0.88,17,True,0.409,detection at its MDE (0.409) is 88% — consistent with the nominal 80% power,ES,Industrial Production MoM,126
122,0.4131114414473481,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.413, 0.516]",0.516,1.0,17,True,0.4,detection at its MDE (0.413) is 100% — consistent with the nominal 80% power,ES,Inflation Rate MoM,124
123,0.4115888797617477,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.412, 0.514]",0.412,0.8,17,True,0.4,detection at its MDE (0.412) is 80% — consistent with the nominal 80% power,ES,Inflation Rate YoY,125
547,0.20264615191443142,"[0.05, 0.1, 0.15, 0.2, 0.203, 0.253, 0.3, 0.4]",0.203,0.72,17,True,0.253,detection at its MDE (0.203) is 72% — consistent with the nominal 80% power,ES,Initial Jobless Claims,548
124,0.4100829737335035,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.41, 0.513]",0.513,1.0,17,True,0.4,detection at its MDE (0.410) is 100% — consistent with the nominal 80% power,ES,JOLTs Job Openings,124
127,0.40566222334560903,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.406, 0.507]",0.406,0.76,17,True,0.507,detection at its MDE (0.406) is 76% — consistent with the nominal 80% power,ES,Manufacturing Payrolls,126
88,0.4775876205624139,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.478, 0.597]",0.478,0.64,17,False,0.597,detection at its MDE is only 64% (<17/25) — significantly BELOW nominal power,ES,Manufacturing Production MoM,89
69,0.5298635577926925,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.53, 0.662]",0.53,0.88,17,True,0.53,detection at its MDE (0.530) is 88% — consistent with the nominal 80% power,ES,Michigan Consumer Expectations Final,69
94,0.46402146418032153,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.464, 0.58]",0.58,1.0,17,True,0.464,detection at its MDE (0.464) is 100% — consistent with the nominal 80% power,ES,Michigan Consumer Expectations Prel,94
127,0.40566222334560903,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.406, 0.507]",0.406,0.76,17,True,0.507,detection at its MDE (0.406) is 76% — consistent with the nominal 80% power,ES,Michigan Consumer Sentiment Final,127
127,0.40566222334560903,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.406, 0.507]",0.406,0.8,17,True,0.406,detection at its MDE (0.406) is 80% — consistent with the nominal 80% power,ES,Michigan Consumer Sentiment Prel,127
72,0.5204726554299641,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.52, 0.651]",0.651,0.96,17,True,0.651,detection at its MDE (0.520) is 96% — consistent with the nominal 80% power,ES,Michigan Current Conditions Final,72
96,0.4597485116306709,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.46, 0.575]",0.46,0.84,17,True,0.46,detection at its MDE (0.460) is 84% — consistent with the nominal 80% power,ES,Michigan Current Conditions Prel,96
123,0.4115888797617477,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.412, 0.514]",0.412,0.64,17,False,0.514,detection at its MDE is only 64% (<17/25) — significantly BELOW nominal power,ES,Monthly Budget Statement,124
127,0.40566222334560903,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.406, 0.507]",0.406,0.88,17,True,0.4,detection at its MDE (0.406) is 88% — consistent with the nominal 80% power,ES,NAHB Housing Market Index,127
89,0.47524438558718884,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.475, 0.594]",0.594,1.0,17,True,0.475,detection at its MDE (0.475) is 100% — consistent with the nominal 80% power,ES,NFIB Business Optimism Index,89
125,0.4085934230131286,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.409, 0.511]",0.409,0.88,17,True,0.4,detection at its MDE (0.409) is 88% — consistent with the nominal 80% power,ES,NY Empire State Manufacturing Index,127
67,0.536410675208352,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.536, 0.671]",0.671,1.0,17,True,0.536,detection at its MDE (0.536) is 100% — consistent with the nominal 80% power,ES,Net Long-term TIC Flows,67
123,0.4115888797617477,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.412, 0.514]",0.412,0.76,17,True,0.514,detection at its MDE (0.412) is 76% — consistent with the nominal 80% power,ES,New Home Sales,123
70,0.5266776297218603,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.527, 0.658]",0.527,0.8,17,True,0.527,detection at its MDE (0.527) is 80% — consistent with the nominal 80% power,ES,New Home Sales MoM,70
52,0.5945590651599607,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.595, 0.743]",0.595,0.76,17,True,0.743,detection at its MDE (0.595) is 76% — consistent with the nominal 80% power,ES,Non Defense Goods Orders Ex Air,52
127,0.40566222334560903,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.406, 0.507]",0.406,0.72,17,True,0.507,detection at its MDE (0.406) is 72% — consistent with the nominal 80% power,ES,Non Farm Payrolls,126
127,0.40566222334560903,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.406, 0.507]",0.406,0.84,17,True,0.406,detection at its MDE (0.406) is 84% — consistent with the nominal 80% power,ES,Nonfarm Payrolls Private,126
53,0.5900919933378066,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.59, 0.738]",0.738,1.0,17,True,0.59,detection at its MDE (0.590) is 100% — consistent with the nominal 80% power,ES,PCE Price Index MoM,54
49,0.6085799284185589,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.609, 0.761]",0.609,0.88,17,True,0.609,detection at its MDE (0.609) is 88% — consistent with the nominal 80% power,ES,PCE Price Index YoY,50
126,0.40711993474820624,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.407, 0.509]",0.509,1.0,17,True,0.4,detection at its MDE (0.407) is 100% — consistent with the nominal 80% power,ES,PPI MoM,126
125,0.4085934230131286,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.409, 0.511]",0.409,0.76,17,True,0.511,detection at its MDE (0.409) is 76% — consistent with the nominal 80% power,ES,PPI YoY,125
127,0.40566222334560903,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.406, 0.507]",0.406,0.76,17,True,0.507,detection at its MDE (0.406) is 76% — consistent with the nominal 80% power,ES,Pending Home Sales MoM,127
109,0.4345723757557835,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.435, 0.543]",0.435,0.68,17,True,0.4,detection at its MDE (0.435) is 68% — consistent with the nominal 80% power,ES,Personal Income MoM,111
124,0.4100829737335035,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.41, 0.513]",0.513,1.0,17,True,0.41,detection at its MDE (0.410) is 100% — consistent with the nominal 80% power,ES,Personal Spending MoM,126
127,0.40566222334560903,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.406, 0.507]",0.406,0.72,17,True,0.4,detection at its MDE (0.406) is 72% — consistent with the nominal 80% power,ES,Philadelphia Fed Manufacturing Index,127
126,0.40711993474820624,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.407, 0.509]",0.509,1.0,17,True,0.509,detection at its MDE (0.407) is 100% — consistent with the nominal 80% power,ES,Retail Sales Ex Autos MoM,127
126,0.40711993474820624,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.407, 0.509]",0.509,1.0,17,True,0.4,detection at its MDE (0.407) is 100% — consistent with the nominal 80% power,ES,Retail Sales MoM,127
87,0.4799656186678168,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.48, 0.6]",0.48,0.8,17,True,0.48,detection at its MDE (0.480) is 80% — consistent with the nominal 80% power,ES,Richmond Fed Manufacturing Index,87
127,0.40566222334560903,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.406, 0.507]",0.406,0.68,17,True,0.507,detection at its MDE (0.406) is 68% — consistent with the nominal 80% power,ES,S&P/Case-Shiller Home Price YoY,127
60,0.561365383042495,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.561, 0.702]",0.702,1.0,17,True,0.561,detection at its MDE (0.561) is 100% — consistent with the nominal 80% power,ES,Total Vehicle Sales,67
127,0.40566222334560903,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.406, 0.507]",0.406,0.68,17,True,0.507,detection at its MDE (0.406) is 68% — consistent with the nominal 80% power,ES,Unemployment Rate,126
127,0.40566222334560903,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.406, 0.507]",0.406,0.84,17,True,0.4,detection at its MDE (0.406) is 84% — consistent with the nominal 80% power,ES,Wholesale Inventories MoM,127
65,0.5432034742215733,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.543, 0.679]",0.679,1.0,17,True,0.679,detection at its MDE (0.543) is 100% — consistent with the nominal 80% power,ES,Wholesale Inventories MoM Adv,65
125,0.4085934230131286,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.409, 0.511]",0.409,0.8,17,True,0.409,detection at its MDE (0.409) is 80% — consistent with the nominal 80% power,GC,ADP Employment Change,125
286,0.2774373861772326,"[0.05, 0.1, 0.15, 0.2, 0.277, 0.3, 0.347, 0.4]",0.3,0.92,17,True,0.3,detection at its MDE (0.277) is 92% — consistent with the nominal 80% power,GC,API Crude Oil Stock Change,288
124,0.4100829737335035,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.41, 0.513]",0.513,0.96,17,True,0.513,detection at its MDE (0.410) is 96% — consistent with the nominal 80% power,GC,Average Hourly Earnings MoM,126
104,0.4437602858410957,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.444, 0.555]",0.444,0.88,17,True,0.444,detection at its MDE (0.444) is 88% — consistent with the nominal 80% power,GC,Average Hourly Earnings YoY,106
124,0.4100829737335035,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.41, 0.513]",0.513,1.0,17,True,0.513,detection at its MDE (0.410) is 100% — consistent with the nominal 80% power,GC,Average Weekly Hours,126
128,0.4042200102428221,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.404, 0.505]",0.505,1.0,17,True,0.505,detection at its MDE (0.404) is 100% — consistent with the nominal 80% power,GC,Balance of Trade,128
81,0.49501400145984564,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.495, 0.619]",0.619,1.0,17,True,0.495,detection at its MDE (0.495) is 100% — consistent with the nominal 80% power,GC,Building Permits,82
126,0.40711993474820624,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.407, 0.509]",0.509,1.0,17,True,0.407,detection at its MDE (0.407) is 100% — consistent with the nominal 80% power,GC,Business Inventories MoM,127
127,0.40566222334560903,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.406, 0.507]",0.406,0.92,17,True,0.406,detection at its MDE (0.406) is 92% — consistent with the nominal 80% power,GC,CB Consumer Confidence,127
124,0.4100829737335035,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.41, 0.513]",0.513,0.96,17,True,0.513,detection at its MDE (0.410) is 96% — consistent with the nominal 80% power,GC,CB Leading Index MoM,125
62,0.5538875788154687,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.554, 0.692]",0.554,0.52,17,False,0.692,detection at its MDE is only 52% (<17/25) — significantly BELOW nominal power,GC,CPI,62
125,0.4085934230131286,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.409, 0.511]",0.409,0.76,17,True,0.511,detection at its MDE (0.409) is 76% — consistent with the nominal 80% power,GC,Capacity Utilization,126
126,0.40711993474820624,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.407, 0.509]",0.509,1.0,17,True,0.4,detection at its MDE (0.407) is 100% — consistent with the nominal 80% power,GC,Chicago PMI,127
125,0.4085934230131286,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.409, 0.511]",0.409,0.96,17,True,0.409,detection at its MDE (0.409) is 96% — consistent with the nominal 80% power,GC,Construction Spending MoM,125
127,0.40566222334560903,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.406, 0.507]",0.406,0.96,17,True,0.406,detection at its MDE (0.406) is 96% — consistent with the nominal 80% power,GC,Consumer Credit Change,127
531,0.20560764108408877,"[0.05, 0.1, 0.15, 0.2, 0.206, 0.257, 0.3, 0.4]",0.206,0.72,17,True,0.257,detection at its MDE (0.206) is 72% — consistent with the nominal 80% power,GC,Continuing Jobless Claims,531
122,0.4131114414473481,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.413, 0.516]",0.516,1.0,17,True,0.516,detection at its MDE (0.413) is 100% — consistent with the nominal 80% power,GC,Core Inflation Rate MoM,124
123,0.4115888797617477,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.412, 0.514]",0.412,0.76,17,True,0.4,detection at its MDE (0.412) is 76% — consistent with the nominal 80% power,GC,Core Inflation Rate YoY,125
124,0.4100829737335035,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.41, 0.513]",0.513,1.0,17,True,0.41,detection at its MDE (0.410) is 100% — consistent with the nominal 80% power,GC,Core PCE Price Index MoM,125
115,0.42426265442766153,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.424, 0.53]",0.53,0.92,17,True,0.424,detection at its MDE (0.424) is 92% — consistent with the nominal 80% power,GC,Core PCE Price Index YoY,116
126,0.40711993474820624,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.407, 0.509]",0.509,0.96,17,True,0.407,detection at its MDE (0.407) is 96% — consistent with the nominal 80% power,GC,Core PPI MoM,126
125,0.4085934230131286,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.409, 0.511]",0.409,0.72,17,True,0.4,detection at its MDE (0.409) is 72% — consistent with the nominal 80% power,GC,Core PPI YoY,125
126,0.40711993474820624,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.407, 0.509]",0.509,1.0,17,True,0.509,detection at its MDE (0.407) is 100% — consistent with the nominal 80% power,GC,Durable Goods Orders Ex Transp MoM,126
127,0.40566222334560903,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.406, 0.507]",0.406,0.72,17,True,0.507,detection at its MDE (0.406) is 72% — consistent with the nominal 80% power,GC,Durable Goods Orders MoM,127
548,0.20246528041501022,"[0.05, 0.1, 0.15, 0.2, 0.202, 0.253, 0.3, 0.4]",0.253,0.92,17,True,0.2,detection at its MDE (0.202) is 92% — consistent with the nominal 80% power,GC,EIA Crude Oil Stocks Change,549
333,0.25788004564153333,"[0.05, 0.1, 0.15, 0.2, 0.258, 0.3, 0.322, 0.4]",0.258,0.76,17,True,0.3,detection at its MDE (0.258) is 76% — consistent with the nominal 80% power,GC,EIA Distillate Stocks Change,334
540,0.20392597012249197,"[0.05, 0.1, 0.15, 0.2, 0.204, 0.255, 0.3, 0.4]",0.204,0.8,17,True,0.2,detection at its MDE (0.204) is 80% — consistent with the nominal 80% power,GC,EIA Gasoline Stocks Change,541
540,0.20392597012249197,"[0.05, 0.1, 0.15, 0.2, 0.204, 0.255, 0.3, 0.4]",0.204,0.76,17,True,0.255,detection at its MDE (0.204) is 76% — consistent with the nominal 80% power,GC,EIA Natural Gas Stocks Change,540
127,0.40566222334560903,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.406, 0.507]",0.406,0.88,17,True,0.4,detection at its MDE (0.406) is 88% — consistent with the nominal 80% power,GC,Existing Home Sales,127
72,0.5204726554299641,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.52, 0.651]",0.651,1.0,17,True,0.52,detection at its MDE (0.520) is 100% — consistent with the nominal 80% power,GC,Existing Home Sales MoM,72
124,0.4100829737335035,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.41, 0.513]",0.513,1.0,17,True,0.4,detection at its MDE (0.410) is 100% — consistent with the nominal 80% power,GC,Export Prices MoM,124
128,0.4042200102428221,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.404, 0.505]",0.505,1.0,17,True,0.4,detection at its MDE (0.404) is 100% — consistent with the nominal 80% power,GC,Factory Orders MoM,128
84,0.48731695017867094,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.487, 0.609]",0.609,1.0,17,True,0.487,detection at its MDE (0.487) is 100% — consistent with the nominal 80% power,GC,Fed Interest Rate Decision,84
60,0.561365383042495,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.561, 0.702]",0.702,1.0,17,True,0.561,detection at its MDE (0.561) is 100% — consistent with the nominal 80% power,GC,Goods Trade Balance Adv,60
81,0.49501400145984564,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.495, 0.619]",0.619,1.0,17,True,0.495,detection at its MDE (0.495) is 100% — consistent with the nominal 80% power,GC,House Price Index MoM,81
123,0.4115888797617477,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.412, 0.514]",0.412,0.76,17,True,0.514,detection at its MDE (0.412) is 76% — consistent with the nominal 80% power,GC,Housing Starts,124
52,0.5945590651599607,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.595, 0.743]",0.595,0.88,17,True,0.595,detection at its MDE (0.595) is 88% — consistent with the nominal 80% power,GC,IBD/TIPP Economic Optimism,52
75,0.5115591836472961,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.512, 0.639]",0.512,0.6,17,False,0.639,detection at its MDE is only 60% (<17/25) — significantly BELOW nominal power,GC,ISM Manufacturing Employment,75
128,0.4042200102428221,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.404, 0.505]",0.505,1.0,17,True,0.4,detection at its MDE (0.404) is 100% — consistent with the nominal 80% power,GC,ISM Manufacturing PMI,128
125,0.4085934230131286,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.409, 0.511]",0.409,0.84,17,True,0.4,detection at its MDE (0.409) is 84% — consistent with the nominal 80% power,GC,ISM Manufacturing Prices,125
73,0.5174504535373323,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.517, 0.647]",0.647,1.0,17,True,0.517,detection at its MDE (0.517) is 100% — consistent with the nominal 80% power,GC,ISM Non-Manufacturing Business Activity,73
87,0.4799656186678168,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.48, 0.6]",0.48,0.64,17,False,0.6,detection at its MDE is only 64% (<17/25) — significantly BELOW nominal power,GC,ISM Non-Manufacturing PMI,87
124,0.4100829737335035,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.41, 0.513]",0.513,1.0,17,True,0.4,detection at its MDE (0.410) is 100% — consistent with the nominal 80% power,GC,Import Prices MoM,124
125,0.4085934230131286,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.409, 0.511]",0.409,0.72,17,True,0.511,detection at its MDE (0.409) is 72% — consistent with the nominal 80% power,GC,Industrial Production MoM,126
122,0.4131114414473481,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.413, 0.516]",0.516,1.0,17,True,0.516,detection at its MDE (0.413) is 100% — consistent with the nominal 80% power,GC,Inflation Rate MoM,124
123,0.4115888797617477,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.412, 0.514]",0.412,0.6,17,False,0.514,detection at its MDE is only 60% (<17/25) — significantly BELOW nominal power,GC,Inflation Rate YoY,125
547,0.20264615191443142,"[0.05, 0.1, 0.15, 0.2, 0.203, 0.253, 0.3, 0.4]",0.203,0.8,17,True,0.203,detection at its MDE (0.203) is 80% — consistent with the nominal 80% power,GC,Initial Jobless Claims,548
124,0.4100829737335035,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.41, 0.513]",0.513,1.0,17,True,0.513,detection at its MDE (0.410) is 100% — consistent with the nominal 80% power,GC,JOLTs Job Openings,124
124,0.4100829737335035,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.41, 0.513]",0.513,0.96,17,True,0.4,detection at its MDE (0.410) is 96% — consistent with the nominal 80% power,GC,Manufacturing Payrolls,126
88,0.4775876205624139,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.478, 0.597]",0.478,0.72,17,True,0.597,detection at its MDE (0.478) is 72% — consistent with the nominal 80% power,GC,Manufacturing Production MoM,89
69,0.5298635577926925,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.53, 0.662]",0.53,0.76,17,True,0.662,detection at its MDE (0.530) is 76% — consistent with the nominal 80% power,GC,Michigan Consumer Expectations Final,69
94,0.46402146418032153,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.464, 0.58]",0.58,1.0,17,True,0.58,detection at its MDE (0.464) is 100% — consistent with the nominal 80% power,GC,Michigan Consumer Expectations Prel,94
126,0.40711993474820624,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.407, 0.509]",0.509,0.96,17,True,0.509,detection at its MDE (0.407) is 96% — consistent with the nominal 80% power,GC,Michigan Consumer Sentiment Final,127
127,0.40566222334560903,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.406, 0.507]",0.406,0.68,17,True,0.507,detection at its MDE (0.406) is 68% — consistent with the nominal 80% power,GC,Michigan Consumer Sentiment Prel,127
71,0.5235478653387513,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.524, 0.654]",0.524,0.8,17,True,0.524,detection at its MDE (0.524) is 80% — consistent with the nominal 80% power,GC,Michigan Current Conditions Final,72
96,0.4597485116306709,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.46, 0.575]",0.46,0.8,17,True,0.46,detection at its MDE (0.460) is 80% — consistent with the nominal 80% power,GC,Michigan Current Conditions Prel,96
123,0.4115888797617477,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.412, 0.514]",0.412,0.8,17,True,0.412,detection at its MDE (0.412) is 80% — consistent with the nominal 80% power,GC,Monthly Budget Statement,124
127,0.40566222334560903,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.406, 0.507]",0.406,0.8,17,True,0.4,detection at its MDE (0.406) is 80% — consistent with the nominal 80% power,GC,NAHB Housing Market Index,127
89,0.47524438558718884,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.475, 0.594]",0.594,1.0,17,True,0.475,detection at its MDE (0.475) is 100% — consistent with the nominal 80% power,GC,NFIB Business Optimism Index,89
125,0.4085934230131286,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.409, 0.511]",0.409,0.56,17,False,0.4,detection at its MDE is only 56% (<17/25) — significantly BELOW nominal power,GC,NY Empire State Manufacturing Index,127
67,0.536410675208352,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.536, 0.671]",0.671,1.0,17,True,0.536,detection at its MDE (0.536) is 100% — consistent with the nominal 80% power,GC,Net Long-term TIC Flows,67
123,0.4115888797617477,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.412, 0.514]",0.412,0.76,17,True,0.514,detection at its MDE (0.412) is 76% — consistent with the nominal 80% power,GC,New Home Sales,123
70,0.5266776297218603,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.527, 0.658]",0.527,0.8,17,True,0.527,detection at its MDE (0.527) is 80% — consistent with the nominal 80% power,GC,New Home Sales MoM,70
52,0.5945590651599607,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.595, 0.743]",0.595,0.84,17,True,0.595,detection at its MDE (0.595) is 84% — consistent with the nominal 80% power,GC,Non Defense Goods Orders Ex Air,52
124,0.4100829737335035,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.41, 0.513]",0.513,1.0,17,True,0.4,detection at its MDE (0.410) is 100% — consistent with the nominal 80% power,GC,Non Farm Payrolls,126
124,0.4100829737335035,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.41, 0.513]",0.513,1.0,17,True,0.4,detection at its MDE (0.410) is 100% — consistent with the nominal 80% power,GC,Nonfarm Payrolls Private,126
53,0.5900919933378066,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.59, 0.738]",0.738,1.0,17,True,0.59,detection at its MDE (0.590) is 100% — consistent with the nominal 80% power,GC,PCE Price Index MoM,54
49,0.6085799284185589,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.609, 0.761]",0.609,0.76,17,True,0.761,detection at its MDE (0.609) is 76% — consistent with the nominal 80% power,GC,PCE Price Index YoY,50
126,0.40711993474820624,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.407, 0.509]",0.509,0.96,17,True,0.407,detection at its MDE (0.407) is 96% — consistent with the nominal 80% power,GC,PPI MoM,126
125,0.4085934230131286,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.409, 0.511]",0.409,0.8,17,True,0.4,detection at its MDE (0.409) is 80% — consistent with the nominal 80% power,GC,PPI YoY,125
127,0.40566222334560903,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.406, 0.507]",0.406,0.8,17,True,0.4,detection at its MDE (0.406) is 80% — consistent with the nominal 80% power,GC,Pending Home Sales MoM,127
