set,instrument,lead_min,stop_pct,direction,n,gross_mean,gross_ci_lo,gross_ci_hi,gross_sd,mde_usd,stopped_pre_release,stopped_total,net_optimistic,net_realistic,net_stressed
RELEASES,NQ,5,0.1,long,574,83.0961672473868,19.276246825370137,146.91608766940345,780.1105175815188,91.17131488859523,0.11672473867595819,0.6045296167247387,75.5961672473868,70.5961672473868,60.5961672473868
RELEASES,NQ,5,0.1,short,574,-37.50917247386758,-85.73322199678654,10.714877049051388,589.4725030121299,68.89149931845566,0.1602787456445993,0.6480836236933798,-45.00917247386758,-50.00917247386758,-60.00917247386758
RELEASES,NQ,5,0.2,long,574,84.24210801393758,11.197923244055815,157.28629278381936,892.8644286979501,104.34883538554537,0.027874564459930314,0.3797909407665505,76.74210801393758,71.74210801393758,61.74210801393758
RELEASES,NQ,5,0.2,short,574,-29.658013937282337,-97.1481403147644,37.83211244019974,824.97372406338,96.41446625354581,0.047038327526132406,0.4355400696864111,-37.158013937282334,-42.158013937282334,-52.158013937282334
RELEASES,NQ,5,0.4,long,574,103.27742160278748,21.018920894111858,185.5359223114631,1005.4967342326391,117.5121438695366,0.005226480836236934,0.16376306620209058,95.77742160278748,90.77742160278748,80.77742160278748
RELEASES,NQ,5,0.4,short,574,-85.44386759581869,-168.25581761464056,-2.6319175769968126,1012.2618888260375,118.30278574117409,0.020905923344947737,0.23519163763066203,-92.94386759581869,-97.94386759581869,-107.94386759581869
RELEASES,NQ,15,0.1,long,574,52.71196864111519,-7.007799343347088,112.43173662557747,729.9918082651682,85.31395426351753,0.2456445993031359,0.6358885017421603,45.21196864111519,40.21196864111519,30.21196864111519
RELEASES,NQ,15,0.1,short,574,-53.624390243902276,-102.12269424642636,-5.126086241378189,592.8248858201785,69.28329143217726,0.30662020905923343,0.7020905923344948,-61.124390243902276,-66.12439024390227,-76.12439024390227
RELEASES,NQ,15,0.2,long,574,99.80287456445983,25.934538348452904,173.67121078046677,902.9385435973547,105.5261945942956,0.050522648083623695,0.37630662020905925,92.30287456445983,87.30287456445983,77.30287456445983
RELEASES,NQ,15,0.2,short,574,-59.33221254355442,-126.19526907884975,7.530843991740909,817.3086599907006,95.51865219327902,0.09407665505226481,0.44773519163763065,-66.83221254355442,-71.83221254355442,-81.83221254355442
RELEASES,NQ,15,0.4,long,574,122.24296167247411,39.220610678151004,205.26531266679723,1014.8337506023065,118.60335856331871,0.006968641114982578,0.1672473867595819,114.74296167247411,109.74296167247411,99.74296167247411
RELEASES,NQ,15,0.4,short,574,-102.41787456445917,-185.2581399778436,-19.577609151074753,1012.6080054767892,118.34323630483487,0.02264808362369338,0.2456445993031359,-109.91787456445917,-114.91787456445917,-124.91787456445917
RELEASES,NQ,30,0.1,long,574,63.33587108013912,1.6436095770930805,125.02813258318517,754.1028214023411,88.13180214720863,0.34494773519163763,0.6550522648083623,55.83587108013912,50.83587108013912,40.83587108013912
RELEASES,NQ,30,0.1,short,574,-67.02222125435544,-113.58848113377385,-20.455961374937033,569.2083107618,66.52322839916916,0.42334494773519166,0.7177700348432056,-74.52222125435544,-79.52222125435544,-89.52222125435544
RELEASES,NQ,30,0.2,long,574,102.32000000000045,25.650799466723342,178.98920053327754,937.1752474003805,109.52742933325301,0.12195121951219512,0.40418118466898956,94.82000000000045,89.82000000000045,79.82000000000045
RELEASES,NQ,30,0.2,short,574,-80.15472125435524,-143.89286557508942,-16.41657693362106,779.1109175150281,91.05449188676312,0.15505226480836237,0.47038327526132406,-87.65472125435524,-92.65472125435524,-102.65472125435524
RELEASES,NQ,30,0.4,long,574,136.77292682926844,50.18254861162151,223.36330504691537,1058.4479629912626,123.70054031092418,0.0313588850174216,0.17421602787456447,129.27292682926844,124.27292682926844,114.27292682926844
RELEASES,NQ,30,0.4,short,574,-118.55090592334474,-200.511665436854,-36.590146409835484,1001.857258715737,117.08679930501322,0.041811846689895474,0.259581881533101,-126.05090592334474,-131.05090592334474,-141.05090592334474
CONTROL,NQ,5,0.1,long,542,4.670415129150999,-18.58847352784282,27.929303786144818,276.2692391192245,33.22698379570545,0.07749077490774908,0.29704797047970477,-2.8295848708490006,-7.829584870849001,-17.829584870849
CONTROL,NQ,5,0.1,short,542,-15.273597785977703,-38.21680097087487,7.669605398919462,272.51952491476226,32.77600454985309,0.07749077490774908,0.2952029520295203,-22.773597785977703,-27.773597785977703,-37.7735977859777
CONTROL,NQ,5,0.2,long,542,4.5333763837637004,-21.233301425588905,30.30005419311631,306.05677588467006,36.80953972764658,0.016605166051660517,0.08671586715867159,-2.9666236162362996,-7.9666236162362996,-17.966623616236298
CONTROL,NQ,5,0.2,short,542,-12.240110701107074,-38.22461412852884,13.744392726314693,308.6441100712734,37.120719182031095,0.012915129151291513,0.0940959409594096,-19.740110701107074,-24.740110701107074,-34.74011070110707
CONTROL,NQ,5,0.4,long,542,5.100147601475979,-21.60217623702415,31.802471439976106,317.1703858412568,38.14617691214304,0.0018450184501845018,0.00922509225092251,-2.399852398524021,-7.399852398524021,-17.399852398524022
