cell,tok,arm,N,rule,n,ticks,conf_n,conf_raw,conf_25,conf_t25,conf_mean25,expl_25,expl_t25,fresh_25,fresh_n,yrs_pos,yrs,maxyr_share
NG_globex_15_R2,NG,globex,15,R2,1167,1.19,728,14661.29,-3538.71,-0.178,-4.86,-9324.93,-1.285,-2477.71,184,3,7,
NG_globex_15_R3,NG,globex,15,R3,1167,-0.48,728,6105.0,-12095.0,-1.541,-16.61,-10435.0,-1.811,-12245.0,184,1,7,
NG_globex_30_R1,NG,globex,30,R1,488,-4.39,323,-14100.0,-22175.0,-1.445,-68.65,-7005.0,-1.494,-4430.0,96,2,7,
NG_globex_30_R2,NG,globex,30,R2,488,0.92,323,2506.79,-5568.21,-0.419,-17.24,-5074.07,-1.773,2939.21,96,2,7,
NG_globex_30_R3,NG,globex,30,R3,488,-0.6,323,3935.0,-4140.0,-0.582,-12.82,-4415.0,-1.395,-6595.0,96,3,7,
NG_globex_60_R1,NG,globex,60,R1,204,-2.18,148,-2640.0,-6340.0,-0.486,-42.84,-3580.0,-1.675,380.0,44,2,7,
NG_globex_60_R2,NG,globex,60,R2,204,1.22,148,-2019.43,-5719.43,-0.689,-38.64,-1639.71,-13.771,4745.0,44,3,7,
NG_globex_60_R3,NG,globex,60,R3,204,6.92,148,13475.0,9775.0,1.781,66.05,-2365.0,-1.156,1615.0,44,4,7,0.4
NG_cash_0_C1,NG,cash,0,C1,543,2.61,290,5760.0,-1490.0,-0.098,-5.14,2250.0,0.28,-155.0,59,1,7,
RTY_cash_5_R1,RTY,cash,5,R1,2340,-0.41,1804,-7535.0,-52635.0,-1.777,-29.18,-3020.0,-0.947,-7695.0,412,1,7,
RTY_cash_5_R2,RTY,cash,5,R2,2326,2.17,1804,29130.0,-15970.0,-0.762,-8.85,-2455.29,-1.304,-14501.36,412,2,7,
RTY_cash_5_R3,RTY,cash,5,R3,2340,-1.55,1804,-14212.5,-59312.5,-4.137,-32.88,-4312.5,-2.995,-13035.0,412,0,7,
RTY_cash_15_R1,RTY,cash,15,R1,2326,2.1,1793,20470.0,-24355.0,-0.75,-13.58,-1215.0,-0.342,-8165.0,412,1,7,
RTY_cash_15_R2,RTY,cash,15,R2,2313,4.29,1793,35155.75,-9669.25,-0.466,-5.39,-789.43,-0.36,2230.07,412,2,7,
RTY_cash_15_R3,RTY,cash,15,R3,2326,1.68,1793,3327.5,-41497.5,-2.13,-23.14,-4147.5,-2.062,7052.5,412,2,7,
RTY_cash_30_R1,RTY,cash,30,R1,2300,1.6,1774,16590.0,-27760.0,-0.875,-15.65,-1750.0,-0.489,-9560.0,411,1,7,
RTY_cash_30_R2,RTY,cash,30,R2,2289,0.57,1774,7867.5,-36482.5,-1.963,-20.57,-2231.46,-1.021,-11948.57,411,1,7,
RTY_cash_30_R3,RTY,cash,30,R3,2300,2.22,1774,28685.0,-15665.0,-0.712,-8.83,-4432.5,-1.939,-11912.5,411,2,7,
RTY_cash_60_R1,RTY,cash,60,R1,2159,2.22,1663,25115.0,-16460.0,-0.572,-9.9,-4155.0,-1.391,-9440.0,387,2,7,
RTY_cash_60_R2,RTY,cash,60,R2,2150,-0.16,1663,-6502.89,-48077.89,-2.986,-28.91,-4329.46,-3.235,-3034.43,387,1,7,
RTY_cash_60_R3,RTY,cash,60,R3,2159,4.35,1663,44225.0,2650.0,0.118,1.59,-3862.5,-1.555,-5817.5,387,5,7,2.29
RTY_globex_5_R1,RTY,globex,5,R1,2153,-2.34,1703,-8445.0,-51020.0,-2.242,-29.96,-1135.0,-0.681,-26825.0,404,1,7,
RTY_globex_5_R2,RTY,globex,5,R2,2154,0.31,1703,6842.61,-35732.39,-1.412,-20.98,763.54,0.352,-15591.64,404,2,7,
RTY_globex_5_R3,RTY,globex,5,R3,2153,-0.86,1703,-8752.5,-51327.5,-6.655,-30.14,-1125.0,-1.992,-10667.5,404,0,7,
RTY_globex_15_R1,RTY,globex,15,R1,1614,-1.72,1257,-525.0,-31950.0,-1.349,-25.42,-590.0,-0.666,-21670.0,349,1,7,
RTY_globex_15_R2,RTY,globex,15,R2,1614,1.13,1257,8353.14,-23071.86,-0.991,-18.35,-99.29,-0.126,-8027.71,349,2,7,
RTY_globex_15_R3,RTY,globex,15,R3,1614,-1.72,1257,-10380.0,-41805.0,-4.989,-33.26,-410.0,-1.099,-12032.5,349,0,7,
RTY_globex_30_R1,RTY,globex,30,R1,1083,-8.07,811,-28855.0,-49130.0,-2.311,-60.58,-330.0,,-21330.0,271,1,7,
RTY_globex_30_R2,RTY,globex,30,R2,1083,-2.93,811,-13491.54,-33766.54,-1.828,-41.64,-120.82,,-9030.57,271,1,7,
RTY_globex_30_R3,RTY,globex,30,R3,1083,-4.31,811,-14290.0,-34565.0,-3.978,-42.62,110.0,,-15940.0,271,0,7,
RTY_globex_60_R1,RTY,globex,60,R1,625,-4.57,449,3420.0,-7805.0,-0.352,-17.38,0.0,,-22090.0,176,2,7,
RTY_globex_60_R2,RTY,globex,60,R2,625,1.7,449,15353.0,4128.0,0.234,9.19,0.0,,-14450.39,176,2,7,7.85
RTY_globex_60_R3,RTY,globex,60,R3,625,-4.85,449,-9500.0,-20725.0,-2.372,-46.16,0.0,,-10045.0,176,0,7,
RTY_cash_0_C1,RTY,cash,0,C1,350,-11.28,279,-21190.0,-28165.0,-1.736,-100.95,-1155.0,-0.996,825.0,55,2,7,
YM_cash_5_R1,YM,cash,5,R1,3596,-0.94,1801,-21790.0,-66815.0,-1.931,-37.1,-32020.0,-2.883,-7920.0,411,1,7,
YM_cash_5_R2,YM,cash,5,R2,3583,-0.45,1801,-10594.96,-55619.96,-2.304,-30.88,-28339.07,-3.442,-13616.5,411,1,7,
YM_cash_5_R3,YM,cash,5,R3,3596,-1.44,1801,-26775.0,-71800.0,-4.793,-39.87,-30017.5,-6.753,-14000.0,411,0,7,
YM_cash_15_R1,YM,cash,15,R1,3575,0.18,1795,-2190.0,-47065.0,-1.262,-26.22,-55760.0,-4.641,16635.0,409,1,7,
YM_cash_15_R2,YM,cash,15,R2,3562,-0.76,1795,-1315.36,-46190.36,-1.958,-25.73,-46846.75,-6.331,-9509.29,409,1,7,
YM_cash_15_R3,YM,cash,15,R3,3575,-0.81,1795,-11052.5,-55927.5,-2.699,-31.16,-41502.5,-6.099,-6422.5,409,1,7,
YM_cash_30_R1,YM,cash,30,R1,3533,0.63,1776,14195.0,-30205.0,-0.801,-17.01,-65135.0,-5.382,18140.0,403,3,7,
YM_cash_30_R2,YM,cash,30,R2,3520,0.18,1776,20314.93,-24085.07,-1.016,-13.56,-47789.75,-6.74,-12909.93,403,3,7,
YM_cash_30_R3,YM,cash,30,R3,3533,1.71,1776,32072.5,-12327.5,-0.517,-6.94,-46110.0,-5.834,317.5,403,3,7,
YM_cash_60_R1,YM,cash,60,R1,3382,1.32,1711,9240.0,-33535.0,-0.947,-19.6,-36880.0,-3.131,8200.0,384,2,7,
YM_cash_60_R2,YM,cash,60,R2,3369,2.17,1711,15631.29,-27143.71,-1.294,-15.86,-25805.39,-3.518,5331.46,384,2,7,
YM_cash_60_R3,YM,cash,60,R3,3382,1.46,1711,29157.5,-13617.5,-0.518,-7.96,-28710.0,-3.323,-17467.5,384,2,7,
YM_globex_5_R1,YM,globex,5,R1,3711,-1.13,1794,14610.0,-30240.0,-0.948,-16.86,-80050.0,-8.206,-3480.0,395,1,7,
YM_globex_5_R2,YM,globex,5,R2,3703,-3.8,1794,-8176.04,-53026.04,-1.738,-29.56,-91961.82,-9.961,-17890.21,395,1,7,
YM_globex_5_R3,YM,globex,5,R3,3711,-1.32,1794,-17197.5,-62047.5,-6.081,-34.59,-54110.0,-13.958,-1125.0,395,0,7,
YM_globex_15_R1,YM,globex,15,R1,2690,2.46,1674,42505.0,655.0,0.019,0.39,-28665.0,-2.994,-6095.0,319,1,7,95.55
YM_globex_15_R2,YM,globex,15,R2,2688,-0.68,1674,6396.25,-35453.75,-1.132,-21.18,-32291.14,-4.442,-8620.61,319,1,7,
YM_globex_15_R3,YM,globex,15,R3,2690,-0.75,1674,-6565.0,-48415.0,-4.322,-28.92,-27740.0,-7.775,-1170.0,319,0,7,
YM_globex_30_R1,YM,globex,30,R1,1835,2.74,1363,27875.0,-6200.0,-0.178,-4.55,-1890.0,-0.227,-12620.0,220,1,7,
YM_globex_30_R2,YM,globex,30,R2,1836,0.56,1363,7253.68,-26821.32,-0.972,-19.68,-2554.79,-0.407,-11421.07,220,1,7,
YM_globex_30_R3,YM,globex,30,R3,1835,-0.87,1363,-10037.5,-44112.5,-3.669,-32.36,-6600.0,-2.449,-3165.0,220,0,7,
YM_globex_60_R1,YM,globex,60,R1,1394,7.06,1129,46745.0,18520.0,0.496,16.4,4195.0,0.681,-8335.0,159,3,7,3.79
YM_globex_60_R2,YM,globex,60,R2,1394,1.77,1129,26562.5,-1662.5,-0.056,-1.47,-2017.93,-0.694,-18806.43,159,2,7,
YM_globex_60_R3,YM,globex,60,R3,1394,1.42,1129,3800.0,-24425.0,-1.866,-21.63,-1122.5,-0.569,620.0,159,2,7,
YM_cash_0_C1,YM,cash,0,C1,543,-16.85,286,-51670.0,-58820.0,-2.541,-205.66,-10215.0,-1.418,9715.0,62,1,7,
