cell,tok,arm,N,rule,n,ticks,conf_n,conf_raw,conf_25,conf_t25,conf_mean25,expl_25,expl_t25,fresh_25,fresh_n,yrs_pos,yrs,maxyr_share
ES_globex_5_R3,ES,globex,5,R3,4121,-0.35,1807,-8337.5,-53512.5,-4.448,-29.61,-65487.5,-15.286,-2125.0,414,0,7,
ES_globex_15_R1,ES,globex,15,R1,3920,-0.51,1802,46900.0,1850.0,0.043,1.03,-110662.5,-9.13,-14212.5,414,2,7,37.0
ES_globex_15_R2,ES,globex,15,R2,3908,-0.86,1802,26024.02,-19025.98,-0.486,-10.56,-105063.75,-9.478,-15675.36,414,3,7,
ES_globex_15_R3,ES,globex,15,R3,3920,-0.58,1802,-9987.5,-55037.5,-4.023,-30.54,-67275.0,-14.089,-4181.25,414,0,7,
ES_globex_30_R1,ES,globex,30,R1,3407,-0.05,1747,22237.5,-21437.5,-0.488,-12.27,-51450.0,-3.581,-14212.5,414,2,7,
ES_globex_30_R2,ES,globex,30,R2,3401,0.59,1747,54110.0,10435.0,0.253,5.97,-57028.21,-5.043,-13467.68,414,2,7,1.75
ES_globex_30_R3,ES,globex,30,R3,3407,-1.27,1747,-19287.5,-62962.5,-4.023,-36.04,-48956.25,-10.511,-27356.25,414,0,7,
ES_globex_60_R1,ES,globex,60,R1,2708,0.89,1657,48362.5,6937.5,0.141,4.19,-15675.0,-1.258,-28987.5,410,2,7,10.3
ES_globex_60_R2,ES,globex,60,R2,2704,1.91,1657,69107.5,27682.5,0.642,16.71,-20596.88,-2.411,-10296.43,410,4,7,1.07
ES_globex_60_R3,ES,globex,60,R3,2708,-0.66,1657,-16631.25,-58056.25,-3.332,-35.04,-20237.5,-4.468,-11668.75,410,1,7,
ES_cash_0_C1,ES,cash,0,C1,534,-2.89,285,-38887.5,-46012.5,-1.636,-161.45,-10000.0,-1.17,23350.0,60,2,7,
GC_cash_5_R1,GC,cash,5,R1,4128,0.75,1806,59340.0,14190.0,0.449,7.86,-55290.0,-2.218,-31000.0,412,4,7,0.79
GC_cash_5_R2,GC,cash,5,R2,4115,1.35,1807,73884.0,28709.0,1.029,15.89,-55951.71,-2.392,-20242.07,412,6,7,0.4
GC_cash_5_R3,GC,cash,5,R3,4128,-0.45,1806,-14510.0,-59660.0,-5.77,-33.03,-44845.0,-4.817,-17410.0,412,0,7,
GC_cash_15_R1,GC,cash,15,R1,4094,-1.85,1798,32580.0,-12370.0,-0.344,-6.88,-88195.0,-3.17,-77415.0,411,5,7,
GC_cash_15_R2,GC,cash,15,R2,4080,-1.59,1798,12389.07,-32560.93,-1.284,-18.11,-100785.64,-5.529,-33656.36,411,2,7,
GC_cash_15_R3,GC,cash,15,R3,4094,-1.15,1798,415.0,-44535.0,-2.364,-24.77,-29170.0,-1.929,-75665.0,411,0,7,
GC_cash_30_R1,GC,cash,30,R1,4017,-2.45,1773,22470.0,-21855.0,-0.623,-12.33,-62840.0,-2.139,-114300.0,408,4,7,
GC_cash_30_R2,GC,cash,30,R2,4003,-2.7,1773,-16109.36,-60434.36,-2.65,-34.09,-77590.79,-4.108,-70061.14,408,0,7,
GC_cash_30_R3,GC,cash,30,R3,4017,-2.69,1773,-4420.0,-48745.0,-2.243,-27.49,-51250.0,-2.955,-108355.0,408,1,7,
GC_cash_60_R1,GC,cash,60,R1,3828,-0.4,1702,40260.0,-2290.0,-0.069,-1.35,-52845.0,-1.819,-55855.0,395,2,7,
GC_cash_60_R2,GC,cash,60,R2,3814,0.41,1702,6469.5,-36080.5,-1.625,-21.2,-42114.64,-2.115,-1685.93,395,3,7,
GC_cash_60_R3,GC,cash,60,R3,3828,-0.78,1702,14325.0,-28225.0,-1.202,-16.58,-41195.0,-2.2,-56300.0,395,3,7,
GC_globex_5_R1,GC,globex,5,R1,3980,-0.12,1795,-32860.0,-77735.0,-2.729,-43.31,-99070.0,-4.415,72415.0,413,0,7,
GC_globex_5_R2,GC,globex,5,R2,3966,0.73,1795,-37585.71,-82460.71,-2.357,-45.94,-127484.86,-5.181,139708.07,413,1,7,
GC_globex_5_R3,GC,globex,5,R3,3980,-0.23,1795,-14220.0,-59095.0,-6.042,-32.92,-50135.0,-6.968,570.0,413,0,7,
GC_globex_15_R1,GC,globex,15,R1,3150,-0.17,1614,-41840.0,-82190.0,-2.611,-50.92,-56940.0,-2.481,54920.0,404,1,7,
GC_globex_15_R2,GC,globex,15,R2,3144,-0.96,1614,-51647.43,-91997.43,-2.807,-57.0,-57771.14,-2.738,40859.36,404,0,7,
GC_globex_15_R3,GC,globex,15,R3,3150,-1.35,1614,-29385.0,-69735.0,-5.821,-43.21,-34955.0,-4.205,-16715.0,404,0,7,
GC_globex_30_R1,GC,globex,30,R1,2349,5.08,1322,-25870.0,-58920.0,-1.806,-44.57,-13555.0,-0.602,133000.0,380,1,7,
GC_globex_30_R2,GC,globex,30,R2,2348,0.92,1322,-10508.93,-43558.93,-1.349,-32.95,-25461.93,-1.522,31827.57,380,3,7,
GC_globex_30_R3,GC,globex,30,R3,2349,0.51,1322,-6465.0,-39515.0,-2.976,-29.89,-23040.0,-2.59,15910.0,380,0,7,
GC_globex_60_R1,GC,globex,60,R1,1832,8.91,1092,-14280.0,-41580.0,-1.226,-38.08,14230.0,0.71,144690.0,342,2,7,
GC_globex_60_R2,GC,globex,60,R2,1832,4.09,1092,28055.14,755.14,0.024,0.69,-10009.5,-0.798,38432.0,342,2,7,32.33
GC_globex_60_R3,GC,globex,60,R3,1832,2.28,1092,6670.0,-20630.0,-1.483,-18.89,7080.0,0.838,9510.0,342,3,7,
GC_cash_0_C1,GC,cash,0,C1,552,13.01,248,16840.0,10640.0,0.612,42.9,18730.0,1.253,28630.0,58,4,7,0.99
SI_cash_5_R1,SI,cash,5,R1,4040,-0.78,1765,-76850.0,-120975.0,-4.604,-68.54,-43575.0,-1.076,-14850.0,408,0,7,
SI_cash_5_R2,SI,cash,5,R2,4026,-0.03,1765,-65414.29,-109539.29,-3.563,-62.06,-26530.89,-0.593,32351.96,408,0,7,
SI_cash_5_R3,SI,cash,5,R3,4040,-0.42,1765,-12487.5,-56612.5,-6.766,-32.08,-35000.0,-3.144,-51950.0,408,0,7,
SI_cash_15_R1,SI,cash,15,R1,3560,-1.69,1575,-71400.0,-110775.0,-3.433,-70.33,-23425.0,-0.489,-104950.0,386,0,7,
SI_cash_15_R2,SI,cash,15,R2,3550,-0.76,1575,-46587.5,-85962.5,-2.87,-54.58,-40641.96,-0.981,-29346.07,386,0,7,
SI_cash_15_R3,SI,cash,15,R3,3560,-0.37,1575,-362.5,-39737.5,-3.459,-25.23,-38000.0,-2.256,-44337.5,386,1,7,
SI_cash_30_R1,SI,cash,30,R1,2957,-0.37,1381,-81400.0,-115925.0,-3.317,-83.94,2000.0,0.04,12725.0,351,1,7,
SI_cash_30_R2,SI,cash,30,R2,2952,0.42,1381,-33635.36,-68160.36,-2.409,-49.36,-26435.71,-0.706,51836.25,351,1,7,
SI_cash_30_R3,SI,cash,30,R3,2957,-0.59,1381,-6100.0,-40625.0,-2.73,-29.42,-42537.5,-2.023,-34300.0,351,2,7,
SI_cash_60_R1,SI,cash,60,R1,2478,-1.0,1195,-60825.0,-90700.0,-2.285,-75.9,-27750.0,-0.61,-5175.0,322,2,7,
SI_cash_60_R2,SI,cash,60,R2,2475,-4.03,1195,-46633.39,-76508.39,-2.947,-64.02,-75273.93,-2.899,-159692.5,322,2,7,
SI_cash_60_R3,SI,cash,60,R3,2478,0.08,1195,-20025.0,-49900.0,-2.524,-41.76,-13312.5,-0.523,6525.0,322,1,7,
