cell,tok,arm,N,rule,n_conf,mean25,t25,mde,expl_mean25,yrs_pos,max_year_share,loyo_min,ticks,verdict
RTY_globex_5_R3,RTY,globex,5,R3,1703,-30.14,-6.655,12.68,-24.46,0/7,,-46570.0,-0.86,NEGATIVE
RTY_globex_15_R1,RTY,globex,15,R1,1257,-25.42,-1.349,52.77,-73.75,1/7,,-64975.0,-1.72,UNDERPOWERED
RTY_globex_15_R2,RTY,globex,15,R2,1257,-18.35,-0.991,51.87,-12.41,2/7,,-40699.0,1.13,UNDERPOWERED
RTY_globex_15_R3,RTY,globex,15,R3,1257,-33.26,-4.989,18.66,-51.25,0/7,,-38750.0,-1.72,NEGATIVE
RTY_globex_30_R1,RTY,globex,30,R1,811,-60.58,-2.311,73.38,-330.0,1/7,,-73070.0,-8.07,NEGATIVE (t) but UNDERPOWERED vs $25
RTY_globex_30_R2,RTY,globex,30,R2,811,-41.64,-1.828,63.79,-120.82,1/7,,-54782.0,-2.93,UNDERPOWERED
RTY_globex_30_R3,RTY,globex,30,R3,811,-42.62,-3.978,30.0,110.0,0/7,,-32998.0,-4.31,NEGATIVE (t) but UNDERPOWERED vs $25
RTY_globex_60_R1,RTY,globex,60,R1,449,-17.38,-0.352,138.36,,2/7,,-45300.0,-4.57,UNDERPOWERED
RTY_globex_60_R2,RTY,globex,60,R2,449,9.19,0.234,110.03,,2/7,7.85,-28270.0,1.7,UNDERPOWERED
RTY_globex_60_R3,RTY,globex,60,R3,449,-46.16,-2.372,54.49,,0/7,,-19770.0,-4.85,NEGATIVE (t) but UNDERPOWERED vs $25
RTY_cash_0_C1,RTY,cash,0,C1,279,-100.95,-1.736,162.85,-72.19,2/7,,-32735.0,-11.28,UNDERPOWERED
YM_cash_5_R1,YM,cash,5,R1,1801,-37.1,-1.931,53.79,-23.14,1/7,,-69280.0,-0.94,UNDERPOWERED
YM_cash_5_R2,YM,cash,5,R2,1801,-30.88,-2.304,37.53,-20.67,1/7,,-56408.0,-0.45,NEGATIVE (t) but UNDERPOWERED vs $25
YM_cash_5_R3,YM,cash,5,R3,1801,-39.87,-4.793,23.29,-21.69,0/7,,-68415.0,-1.44,NEGATIVE
YM_cash_15_R1,YM,cash,15,R1,1795,-26.22,-1.262,58.2,-40.67,1/7,,-50245.0,0.18,UNDERPOWERED
YM_cash_15_R2,YM,cash,15,R2,1795,-25.73,-1.958,36.8,-34.5,1/7,,-46998.0,-0.76,UNDERPOWERED
YM_cash_15_R3,YM,cash,15,R3,1795,-31.16,-2.699,32.33,-30.27,1/7,,-60148.0,-0.81,NEGATIVE (t) but UNDERPOWERED vs $25
YM_cash_30_R1,YM,cash,30,R1,1776,-17.01,-0.801,59.42,-48.11,3/7,,-35565.0,0.63,UNDERPOWERED
YM_cash_30_R2,YM,cash,30,R2,1776,-13.56,-1.016,37.39,-35.64,3/7,,-29457.0,0.18,UNDERPOWERED
YM_cash_30_R3,YM,cash,30,R3,1776,-6.94,-0.517,37.6,-34.05,3/7,,-20960.0,1.71,UNDERPOWERED
YM_cash_60_R1,YM,cash,60,R1,1711,-19.6,-0.947,57.92,-28.66,2/7,,-46280.0,1.32,UNDERPOWERED
YM_cash_60_R2,YM,cash,60,R2,1711,-15.86,-1.294,34.32,-20.26,2/7,,-34598.0,2.17,UNDERPOWERED
YM_cash_60_R3,YM,cash,60,R3,1711,-7.96,-0.518,43.02,-22.31,2/7,,-16998.0,1.46,UNDERPOWERED
YM_globex_5_R1,YM,globex,5,R1,1794,-16.86,-0.948,49.77,-52.6,1/7,,-83865.0,-1.13,UNDERPOWERED
YM_globex_5_R2,YM,globex,5,R2,1794,-29.56,-1.738,47.63,-60.74,1/7,,-75536.0,-3.8,UNDERPOWERED
YM_globex_5_R3,YM,globex,5,R3,1794,-34.59,-6.081,15.93,-35.55,0/7,,-56550.0,-1.32,NEGATIVE
YM_globex_15_R1,YM,globex,15,R1,1674,0.39,0.019,58.09,-41.13,1/7,95.55,-61930.0,2.46,UNDERPOWERED
YM_globex_15_R2,YM,globex,15,R2,1674,-21.18,-1.132,52.41,-46.46,1/7,,-74779.0,-0.68,UNDERPOWERED
YM_globex_15_R3,YM,globex,15,R3,1674,-28.92,-4.322,18.74,-39.8,0/7,,-45930.0,-0.75,NEGATIVE
YM_globex_30_R1,YM,globex,30,R1,1363,-4.55,-0.178,71.5,-7.5,1/7,,-67425.0,2.74,UNDERPOWERED
YM_globex_30_R2,YM,globex,30,R2,1363,-19.68,-0.972,56.68,-10.1,1/7,,-47613.0,0.56,UNDERPOWERED
YM_globex_30_R3,YM,globex,30,R3,1363,-32.36,-3.669,24.7,-26.19,0/7,,-42062.0,-0.87,NEGATIVE
YM_globex_60_R1,YM,globex,60,R1,1129,16.4,0.496,92.58,39.58,3/7,3.79,-51735.0,7.06,UNDERPOWERED
YM_globex_60_R2,YM,globex,60,R2,1129,-1.47,-0.056,74.04,-19.04,2/7,,-31119.0,1.77,UNDERPOWERED
YM_globex_60_R3,YM,globex,60,R3,1129,-21.63,-1.866,32.47,-10.59,2/7,,-33390.0,1.42,UNDERPOWERED
YM_cash_0_C1,YM,cash,0,C1,286,-205.66,-2.541,226.59,-52.38,1/7,,-59510.0,-16.85,NEGATIVE (t) but UNDERPOWERED vs $25
