window,horizon,vs,diff_points,diff_dollars,ci90_lo,ci90_hi,real_beats_control
champion_2025_2026,1,control_location,-3.300187799870599,-66.00375599741197,-15.987981403471428,9.131711342075851,False
champion_2025_2026,1,control_date,30.38196850751525,607.639370150305,16.484625969938996,59.133913355903694,True
champion_2025_2026,3,control_location,-3.4362609760216145,-68.72521952043229,-23.58910914809186,14.647304647922994,False
champion_2025_2026,3,control_date,26.948906002754917,538.9781200550983,11.540957446808513,82.4149762929317,True
champion_2025_2026,6,control_location,5.594484983079527,111.88969966159053,-23.38283171178793,32.7351741398759,False
champion_2025_2026,6,control_date,45.79896766098215,915.979353219643,15.398520219015573,139.12950265214164,True
extended_2024_2026,1,control_location,-1.081427881087297,-21.62855762174594,-9.57035144990581,7.548963164146131,False
extended_2024_2026,1,control_date,8.265970679786328,165.31941359572656,-6.283017979826928,28.293236567871162,False
extended_2024_2026,3,control_location,-4.631863549292569,-92.63727098585137,-18.157891528847244,7.294661054318545,False
extended_2024_2026,3,control_date,8.615135302088316,172.30270604176633,-14.099631456241031,25.25719586920133,False
extended_2024_2026,6,control_location,-4.674036858083551,-93.48073716167102,-21.616618545203174,10.346413623665569,False
extended_2024_2026,6,control_date,23.87120232708468,477.42404654169366,-4.480982905982906,42.190102707749766,False
