tf,arm,n_trades,n_walled,mean_walled_points,mean_clear_points,diff_points,ci90_lo,ci90_hi,thesis_holds,pnl_removed_dollars,total_pnl_dollars
4h,real,248,166,23.917669879518144,41.33176097560983,-17.41409109609169,-34.81921779312372,14.061748045841911,False,79406.66400000024,147190.75200000036
4h,control_location,248,95,42.6808589473685,21.600366013071966,21.080492934296533,0.6693138328173323,37.77462261025113,False,81093.63200000014,147190.75200000036
