window,horizon,arm,n,mean_points,mean_dollars,ci90_lo,ci90_hi,min_detectable_effect_points
champion_2025_2026,1,real,989,3.730283114256825,74.6056622851365,-4.150063195146613,12.204979777553081,13.272023677512582
champion_2025_2026,1,control_location,722,7.030470914127424,140.60941828254846,-1.7183864265927977,16.077250692520774,15.854826259648622
champion_2025_2026,1,control_date,89,-26.651685393258425,-533.0337078651685,-54.92640449438202,-13.77303370786517,47.172269375127364
champion_2025_2026,3,real,987,1.2213779128672746,24.427558257345492,-7.802938196555218,14.671327254305977,22.622982512611514
champion_2025_2026,3,control_location,720,4.657638888888889,93.15277777777779,-8.913940972222223,24.343437499999997,28.37604524795903
champion_2025_2026,3,control_date,89,-25.72752808988764,-514.5505617977528,-80.19311797752809,-11.51544943820225,79.64329868562025
champion_2025_2026,6,real,985,-14.698223350253807,-293.96446700507613,-30.159098984771575,1.1864720812182656,31.54563397900313
champion_2025_2026,6,control_location,720,-20.292708333333334,-405.8541666666667,-40.51385416666667,3.988003472222218,36.20805136015504
champion_2025_2026,6,control_date,89,-60.497191011235955,-1209.943820224719,-150.99901685393257,-27.742415730337097,109.36809626420529
extended_2024_2026,1,real,1642,3.8019183922046285,76.03836784409256,-1.5884135200974419,9.586685444579775,9.165642994393489
extended_2024_2026,1,control_location,1288,4.8833462732919255,97.66692546583852,-0.9298233695652173,11.39032414596273,9.74599677295985
extended_2024_2026,1,control_date,153,-4.4640522875816995,-89.281045751634,-21.05580065359477,10.074346405228752,27.22272206061637
extended_2024_2026,3,real,1640,3.314481707317073,66.28963414634146,-3.5321189024390245,11.758849085365851,15.344633368919187
extended_2024_2026,3,control_location,1286,7.946345256609642,158.92690513219284,-0.51401632970451,19.057455287713836,16.602620092595604
extended_2024_2026,3,control_date,153,-5.300653594771242,-106.01307189542483,-20.592565359477124,17.17851307189542,43.43382224235553
extended_2024_2026,6,real,1638,-6.967032967032967,-139.34065934065933,-18.41076007326007,4.40042735042735,21.57217662291641
extended_2024_2026,6,control_location,1285,-2.292996108949416,-45.85992217898833,-14.647451361867704,10.014776264591434,23.397277358435485
extended_2024_2026,6,control_date,153,-30.83823529411765,-616.7647058823529,-46.36535947712418,-5.600735294117674,55.947705678530724
