band_id,bottom,top,times_seen,first_period,periods
0,16334.25,18607.0,2,2024-01,2024-01;2024-04
1,17262.75,19023.25,3,2024-02,2024-02;2024-03;2024-05
2,18339.75,21121.0,4,2024-06,2024-06;2024-07;2024-09;2025-03
3,16460.0,20044.25,2,2024-08,2024-08;2025-04
4,19678.75,22319.75,5,2024-10,2024-10;2024-11;2025-01;2025-02;2025-05
5,20940.0,22934.75,2,2024-12,2024-12;2025-06
6,22582.0,25250.0,4,2025-07,2025-07;2025-08;2025-09;2026-03
7,23666.0,27674.5,6,2025-10,2025-10;2025-11;2025-12;2026-01;2026-02;2026-04
8,27536.25,29782.0,1,2026-05,2026-05
