period,low,low_time,high,high_time,mean_close,range_pts,margin_pts,signal,band_id,repeat_count,trend
2024,16334.25,2024-01-05 08:31:00,22425.75,2024-12-16 23:28:00,19227.43,6091.5,961.4,NEW_RANGE,0,1,NEUTRAL
2025,16460.0,2025-04-06 19:10:00,26399.0,2025-10-29 23:49:00,22665.25,9939.0,1133.3,NEW_HIGH,1,1,HIGH_TREND
2026,22961.5,2026-03-30 20:23:00,29782.0,2026-05-14 12:12:00,25781.54,6820.5,1289.1,NEW_HIGH,2,1,HIGH_TREND
