pivot_time,pivot_price,kind,label,prior_ref,delta_pts,confirmed_time
2024-01-02 10:00:00,16696.0,low,FIRST,,,2024-01-02 22:00:00
2024-01-03 14:00:00,16542.75,low,LL,16696.0,-153.25,2024-01-04 02:00:00
2024-01-05 02:00:00,16385.5,low,LL,16542.75,-157.25,2024-01-05 14:00:00
2024-01-05 10:00:00,16488.5,high,FIRST,,,2024-01-07 22:00:00
2024-01-08 02:00:00,16424.25,low,HL,16385.5,38.75,2024-01-08 14:00:00
2024-01-08 18:00:00,16794.5,high,HH,16488.5,306.0,2024-01-09 06:00:00
2024-01-09 06:00:00,16705.0,low,HL,16424.25,280.75,2024-01-09 18:00:00
2024-01-09 10:00:00,16840.75,high,HH,16794.5,46.25,2024-01-09 22:00:00
2024-01-09 22:00:00,16812.75,low,HL,16705.0,107.75,2024-01-10 10:00:00
2024-01-10 22:00:00,17007.5,high,HH,16840.75,166.75,2024-01-11 10:00:00
2024-01-11 10:00:00,16933.75,low,HL,16812.75,121.0,2024-01-11 22:00:00
2024-01-12 02:00:00,16923.5,low,LL,16933.75,-10.25,2024-01-12 14:00:00
2024-01-12 06:00:00,16986.0,high,LH,17007.5,-21.5,2024-01-14 18:00:00
2024-01-14 22:00:00,17008.5,high,HH,16986.0,22.5,2024-01-15 10:00:00
2024-01-16 02:00:00,16845.75,low,LL,16923.5,-77.75,2024-01-16 14:00:00
2024-01-16 14:00:00,16978.0,high,LH,17008.5,-30.5,2024-01-17 02:00:00
2024-01-17 06:00:00,16707.0,low,LL,16845.75,-138.75,2024-01-17 18:00:00
2024-01-21 18:00:00,17549.75,high,HH,16978.0,571.75,2024-01-22 06:00:00
2024-01-23 02:00:00,17448.5,low,HL,16707.0,741.5,2024-01-23 14:00:00
2024-01-24 10:00:00,17714.75,high,HH,17549.75,165.0,2024-01-24 22:00:00
2024-01-24 18:00:00,17601.5,low,HL,17448.5,153.0,2024-01-25 06:00:00
2024-01-25 06:00:00,17668.5,high,LH,17714.75,-46.25,2024-01-25 18:00:00
2024-01-25 22:00:00,17499.0,low,LL,17601.5,-102.5,2024-01-26 10:00:00
2024-01-26 06:00:00,17548.75,high,LH,17668.5,-119.75,2024-01-28 18:00:00
2024-01-26 14:00:00,17504.75,low,HL,17499.0,5.75,2024-01-29 02:00:00
