rank,ticker,company,weight_pct,source_url,retrieved_utc
1,NVDA,Nvidia Corp,12.29,https://www.slickcharts.com/nasdaq100,2026-08-04T14:02:53.452373+00:00
2,AAPL,Apple Inc.,10.83,https://www.slickcharts.com/nasdaq100,2026-08-04T14:02:53.452373+00:00
3,MSFT,Microsoft Corp,8.82,https://www.slickcharts.com/nasdaq100,2026-08-04T14:02:53.452373+00:00
4,AMZN,Amazon.Com Inc,7.22,https://www.slickcharts.com/nasdaq100,2026-08-04T14:02:53.452373+00:00
5,GOOGL,Alphabet Inc. Class A Common Stock,5.72,https://www.slickcharts.com/nasdaq100,2026-08-04T14:02:53.452373+00:00
6,GOOG,Alphabet Inc. Class C Capital Stock,5.36,https://www.slickcharts.com/nasdaq100,2026-08-04T14:02:53.452373+00:00
7,AVGO,Broadcom Inc. Common Stock,4.72,https://www.slickcharts.com/nasdaq100,2026-08-04T14:02:53.452373+00:00
8,SPCX,Space Exploration Technologies Corp. Class A Common Stock,3.73,https://www.slickcharts.com/nasdaq100,2026-08-04T14:02:53.452373+00:00
9,META,"Meta Platforms, Inc. Class A Common Stock",3.6,https://www.slickcharts.com/nasdaq100,2026-08-04T14:02:53.452373+00:00
10,TSLA,"Tesla, Inc. Common Stock",3.07,https://www.slickcharts.com/nasdaq100,2026-08-04T14:02:53.452373+00:00
11,MU,"Micron Technology, Inc.",2.39,https://www.slickcharts.com/nasdaq100,2026-08-04T14:02:53.452373+00:00
12,WMT,Walmart Inc. Common Stock,2.11,https://www.slickcharts.com/nasdaq100,2026-08-04T14:02:53.452373+00:00
13,AMD,Advanced Micro Devices,2.02,https://www.slickcharts.com/nasdaq100,2026-08-04T14:02:53.452373+00:00
14,ASML,ASML Holding NV,1.58,https://www.slickcharts.com/nasdaq100,2026-08-04T14:02:53.452373+00:00
15,INTC,Intel Corp,1.19,https://www.slickcharts.com/nasdaq100,2026-08-04T14:02:53.452373+00:00
16,CSCO,"Cisco Systems, Inc. Common Stock (DE)",1.15,https://www.slickcharts.com/nasdaq100,2026-08-04T14:02:53.452373+00:00
17,AMAT,Applied Materials Inc,1.04,https://www.slickcharts.com/nasdaq100,2026-08-04T14:02:53.452373+00:00
18,COST,Costco Wholesale Corp,1.01,https://www.slickcharts.com/nasdaq100,2026-08-04T14:02:53.452373+00:00
19,LRCX,Lam Research Corp,0.94,https://www.slickcharts.com/nasdaq100,2026-08-04T14:02:53.452373+00:00
20,PLTR,Palantir Technologies Inc. Class A Common Stock,0.89,https://www.slickcharts.com/nasdaq100,2026-08-04T14:02:53.452373+00:00
21,NFLX,NetFlix Inc,0.74,https://www.slickcharts.com/nasdaq100,2026-08-04T14:02:53.452373+00:00
22,PANW,"Palo Alto Networks, Inc. Common Stock",0.72,https://www.slickcharts.com/nasdaq100,2026-08-04T14:02:53.452373+00:00
23,ARM,Arm Holdings plc American Depositary Shares,0.68,https://www.slickcharts.com/nasdaq100,2026-08-04T14:02:53.452373+00:00
24,TXN,Texas Instruments Incorporated,0.61,https://www.slickcharts.com/nasdaq100,2026-08-04T14:02:53.452373+00:00
25,KLAC,KLA Corporation Common Stock,0.61,https://www.slickcharts.com/nasdaq100,2026-08-04T14:02:53.452373+00:00
26,LIN,Linde plc Ordinary Share,0.54,https://www.slickcharts.com/nasdaq100,2026-08-04T14:02:53.452373+00:00
27,CRWD,"CrowdStrike Holdings, Inc. Class A Common Stock",0.52,https://www.slickcharts.com/nasdaq100,2026-08-04T14:02:53.452373+00:00
28,AMGN,Amgen Inc,0.5,https://www.slickcharts.com/nasdaq100,2026-08-04T14:02:53.452373+00:00
29,SNDK,Sandisk Corporation Common Stock,0.5,https://www.slickcharts.com/nasdaq100,2026-08-04T14:02:53.452373+00:00
30,STX,Seagate Technology Holdings PLC Ordinary Shares (Ireland),0.47,https://www.slickcharts.com/nasdaq100,2026-08-04T14:02:53.452373+00:00
31,MRVL,"Marvell Technology, Inc. Common Stock",0.47,https://www.slickcharts.com/nasdaq100,2026-08-04T14:02:53.452373+00:00
32,PEP,"PepsiCo, Inc.",0.46,https://www.slickcharts.com/nasdaq100,2026-08-04T14:02:53.452373+00:00
