layer,entry_time,exit_time,direction,entry_price,exit_price,exit_reason,pnl
L1,1736172000,1736181900,long,4.1525,4.151,END_OF_DAY,-37.5
L1,1736200800,1736215440,long,4.1445,4.1748254743127,TAKE_PROFIT_HARD,758.14
L1,1736229600,1736237640,short,4.1965,4.204571781633581,STOP_LOSS_HARD,-201.79
L1,1736265600,1736268300,long,4.178,4.1785,END_OF_DAY,12.5
L1,1736323200,1736326860,long,4.185,4.215325474312699,TAKE_PROFIT_HARD,758.14
L1,1736366400,1736374200,long,4.2605,4.2908254743127,TAKE_PROFIT_HARD,758.14
L1,1736474400,1736490720,long,4.3215,4.3405,TIME_CAP,475.0
L1,1736503200,1736503200,long,4.3325,4.324428218366419,STOP_LOSS_HARD,-201.79
L1,1736748000,1736751780,long,4.3045,4.29642821836642,STOP_LOSS_HARD,-201.79
L1,1736769600,1736786700,long,4.321,4.3255,END_OF_DAY,112.5
L1,1736834400,1736836620,long,4.3325,4.324428218366419,STOP_LOSS_HARD,-201.79
L1,1736863200,1736873040,short,4.3475,4.348,END_OF_DAY,-12.5
L1,1736884800,1736891520,long,4.3345,4.32642821836642,STOP_LOSS_HARD,-201.79
L1,1736906400,1736908560,short,4.338,4.34607178163358,STOP_LOSS_HARD,-201.79
L1,1736913600,1736913660,long,4.333,4.32492821836642,STOP_LOSS_HARD,-201.79
L1,1737115200,1737115680,long,4.369,4.3609282183664195,STOP_LOSS_HARD,-201.79
L1,1737324000,1737340860,long,4.331,4.3555,TIME_CAP,612.5
L1,1737424800,1737432000,long,4.29,4.28192821836642,STOP_LOSS_HARD,-201.79
L1,1737475200,1737477900,long,4.3355,4.3395,END_OF_DAY,100.0
L1,1737511200,1737518460,long,4.301,4.3313254743127,TAKE_PROFIT_HARD,758.14
L1,1737540000,1737544620,long,4.2945,4.286,STOP_LOSS_HARD,-212.5
L1,1737626400,1737628860,short,4.295,4.30307178163358,STOP_LOSS_HARD,-201.79
L1,1737712800,1737720000,long,4.3255,4.31742821836642,STOP_LOSS_HARD,-201.79
L1,1737979200,1737979920,long,4.2415,4.23342821836642,STOP_LOSS_HARD,-201.79
L1,1738015200,1738029780,long,4.253,4.24492821836642,STOP_LOSS_HARD,-201.79
L1,1738051200,1738051500,long,4.259,4.25092821836642,STOP_LOSS_HARD,-201.79
L1,1738065600,1738067760,long,4.2565,4.24842821836642,STOP_LOSS_HARD,-201.79
L1,1738533600,1738534380,long,4.194,4.18592821836642,STOP_LOSS_HARD,-201.79
L1,1739210400,1739211300,long,4.693,4.684928218366419,STOP_LOSS_HARD,-201.79
L1,1739217600,1739223120,long,4.6835,4.67542821836642,STOP_LOSS_HARD,-201.79
L1,1739224800,1739239260,long,4.665,4.65692821836642,STOP_LOSS_HARD,-201.79
L1,1739253600,1739257680,long,4.5925,4.58442821836642,STOP_LOSS_HARD,-201.79
L1,1739268000,1739278320,long,4.564,4.5943254743127,TAKE_PROFIT_HARD,758.14
L1,1739383200,1739392740,long,4.692,4.68392821836642,STOP_LOSS_HARD,-201.79
L1,1739419200,1739428980,long,4.694,4.7243254743127,TAKE_PROFIT_HARD,758.14
L1,1739455200,1739456100,short,4.7715,4.77957178163358,STOP_LOSS_HARD,-201.79
L1,1739476800,1739478720,long,4.771,4.8013254743127,TAKE_PROFIT_HARD,758.14
L1,1739498400,1739502960,long,4.797,4.827325474312699,TAKE_PROFIT_HARD,758.14
L1,1739512800,1739514660,long,4.78,4.77192821836642,STOP_LOSS_HARD,-201.79
L1,1739527200,1739527200,long,4.7175,4.70942821836642,STOP_LOSS_HARD,-201.79
L1,1739534400,1739534640,long,4.668,4.65992821836642,STOP_LOSS_HARD,-201.79
L1,1739728800,1739741640,long,4.6375,4.6678254743127,TAKE_PROFIT_HARD,758.14
L1,1739772000,1739773560,long,4.6155,4.60742821836642,STOP_LOSS_HARD,-201.79
L1,1739786400,1739787300,long,4.6045,4.59642821836642,STOP_LOSS_HARD,-201.79
L1,1739865600,1739866020,long,4.5885,4.58042821836642,STOP_LOSS_HARD,-201.79
L1,1739872800,1739873940,long,4.5585,4.55042821836642,STOP_LOSS_HARD,-201.79
L1,1739916000,1739916960,long,4.569,4.56092821836642,STOP_LOSS_HARD,-201.79
L1,1739944800,1739958240,short,4.6035,4.573174525687301,TAKE_PROFIT_HARD,758.14
L1,1739959200,1739962680,long,4.569,4.56092821836642,STOP_LOSS_HARD,-201.79
L1,1739966400,1739966520,long,4.56,4.551928218366419,STOP_LOSS_HARD,-201.79
L1,1739980800,1739983380,short,4.573,4.57,END_OF_DAY,75.0
L1,1740052800,1740069900,long,4.6025,4.612,END_OF_DAY,237.5
L1,1740110400,1740112500,long,4.5415,4.5718254743127,TAKE_PROFIT_HARD,758.14
L1,1740117600,1740118140,short,4.57,4.5780717816335805,STOP_LOSS_HARD,-201.79
L1,1740132000,1740132120,long,4.573,4.56492821836642,STOP_LOSS_HARD,-201.79
L1,1740477600,1740477660,long,4.563,4.5549282183664195,STOP_LOSS_HARD,-201.79
L1,1740549600,1740554940,long,4.685,4.676928218366419,STOP_LOSS_HARD,-201.79
L1,1740564000,1740566100,long,4.5885,4.6188254743126995,TAKE_PROFIT_HARD,758.14
L1,1740578400,1740583200,long,4.573,4.56492821836642,STOP_LOSS_HARD,-201.79
L1,1740600000,1740600060,long,4.574,4.56592821836642,STOP_LOSS_HARD,-201.79
L1,1740607200,1740612840,long,4.56,4.551928218366419,STOP_LOSS_HARD,-201.79
L1,1740650400,1740650400,long,4.61,4.60192821836642,STOP_LOSS_HARD,-201.79
L1,1740686400,1740689940,long,4.5805,4.5724282183664196,STOP_LOSS_HARD,-201.79
L1,1740693600,1740695880,long,4.571,4.5629282183664195,STOP_LOSS_HARD,-201.79
L1,1741010400,1741013460,long,4.6055,4.59742821836642,STOP_LOSS_HARD,-201.79
