Date,Scraped_At,dOpen,wOpen,mOpen,DIHD,DIHU,DILD,DILU,DRHD,DRHU,DRLD,DRLU,MIHD,MIHU,MILD,MILU,MRHD,MRHU,MRLD,MRLU,MTL1,MTL2,MTLD,MTLU,WIHD,WIHU,WILD,WILU,WRHD,WRHU,WRLD,WRLU,WTL1,WTL2,WTLD,WTLU,DTL1,DTL2,DTLD,DTLU,DTH1,DTH2,DTHD,DTHU,WTH1,WTH2,WTHD,WTHU,MTH1,MTH2,MTHD,MTHU
2025-01-15,2026-06-30 09:24:43,42810.0,42206.0,42935.0,42914.39170518,42943.9006815,42667.2540285,42696.76300482,43015.20192,43116.29724,42500.6466,42602.463,43587.036671,43722.642575,42451.337225,42586.943129,43952.5595,44296.8982,41531.0255,41954.3646,,,,,42376.69119344,42442.438012,41826.061588,41891.80840656,42677.44102,42816.72082,41570.37764,41732.02662,,,,,,,,,43346.33193,43487.26566,43266.65511,43636.76679,43330.7899,43774.37496,43161.54384,43901.41502,,,,
2025-01-16,2026-06-30 09:25:11,43482.0,42206.0,42935.0,43601.48403966,43631.3086755,43351.7027145,43381.52735034,43702.04736,43804.75692,43184.15396,43287.6078,43587.036671,43722.642575,42451.337225,42586.943129,43952.5595,44296.8982,41531.0255,41954.3646,,,,,42376.69119344,42442.438012,41826.061588,41891.80840656,42677.44102,42816.72082,41570.37764,41732.02662,,,,,,,,,,,,,43330.7899,43774.37496,43161.54384,43901.41502,,,,
2025-01-17,2026-06-30 09:25:36,43345.0,42206.0,42935.0,43448.6407785,43478.2391225,43200.7546475,43230.3529915,43547.40672,43649.75284,43035.13346,43138.2303,43587.036671,43722.642575,42451.337225,42586.943129,43952.5595,44296.8982,41531.0255,41954.3646,,,,,42376.69119344,42442.438012,41826.061588,41891.80840656,42677.44102,42816.72082,41570.37764,41732.02662,,,,,,,,,43882.63363,44025.31106,43952.5595,44296.8982,43330.7899,43774.37496,43161.54384,43901.41502,,,,
2025-01-20,2026-06-30 09:26:04,43681.0,43681.0,42935.0,43785.68721234,43817.003184500005,43523.4159455,43554.73191766,43902.87936,44006.06092,43340.12875,43443.95625,43587.036671,43722.642575,42451.337225,42586.943129,43952.5595,44296.8982,41531.0255,41954.3646,,,,,43857.65644744,43925.700962,43287.783638,43355.82815256,44168.91677,44313.06407,43023.16414,43190.46237,,,,,,,,,,,,,,,,,,,,
2025-01-21,2026-06-30 09:26:29,43884.0,43681.0,42935.0,44009.47264104,44042.433162,43733.428278,43766.38879896,44144.88192,44248.63224,43532.86193,43637.15115,43587.036671,43722.642575,42451.337225,42586.943129,43952.5595,44296.8982,41531.0255,41954.3646,,,,,43857.65644744,43925.700962,43287.783638,43355.82815256,44168.91677,44313.06407,43023.16414,43190.46237,,,,,43258.99318,43105.18849,43023.16414,43190.46237,44484.70818,44629.34316,44402.93886,44782.77054,,,,,,,,
2025-01-22,2026-06-30 09:26:51,44246.0,43681.0,42935.0,44341.77693468,44372.621839,44083.450861,44114.29576532,44450.14656,44554.61432,43907.40012,44012.5866,43587.036671,43722.642575,42451.337225,42586.943129,43952.5595,44296.8982,41531.0255,41954.3646,,,,,43857.65644744,43925.700962,43287.783638,43355.82815256,44168.91677,44313.06407,43023.16414,43190.46237,,,,,,,,,,,,,44845.09865,45304.18596,44669.93784,45435.66577,45342.7948,45853.29195,45205.83215,46235.8428
2025-01-23,2026-06-30 09:27:13,44362.0,43681.0,42935.0,44459.51509308,44489.127319,44211.512701,44241.12492692,44552.57088,44657.27936,44049.46633,44154.99315,43587.036671,43722.642575,42451.337225,42586.943129,43952.5595,44296.8982,41531.0255,41954.3646,,,,,43857.65644744,43925.700962,43287.783638,43355.82815256,44168.91677,44313.06407,43023.16414,43190.46237,,,,,,,,,44895.53552,45041.50624,44813.01104,45196.35056,44845.09865,45304.18596,44669.93784,45435.66577,45342.7948,45853.29195,45205.83215,46235.8428
2025-01-24,2026-06-30 09:27:41,44730.0,43681.0,42935.0,44830.12362438,44859.9111415,44580.6531685,44610.44068562,44923.10592,45028.68524,44418.0437,44524.4535,43587.036671,43722.642575,42451.337225,42586.943129,43952.5595,44296.8982,41531.0255,41954.3646,,,,,43857.65644744,43925.700962,43287.783638,43355.82815256,44168.91677,44313.06407,43023.16414,43190.46237,,,,,,,,,,,,,44845.09865,45304.18596,44669.93784,45435.66577,45342.7948,45853.29195,45205.83215,46235.8428
2025-01-27,2026-06-30 09:28:11,44475.0,44475.0,42935.0,44609.13589794,44642.0364845,44333.5934855,44366.49407206,44740.3488,44845.4986,44135.89822,44241.6321,43587.036671,43722.642575,42451.337225,42586.943129,43952.5595,44296.8982,41531.0255,41954.3646,,,,,44654.867574,44724.14895,44074.63605,44143.917426,44971.78575,45118.55325,43805.2065,43975.54575,,,,,43858.23572,43702.30046,43574.35358,43973.74332,45084.75895,45231.3449,45001.88665,45386.84185,,,,,45342.7948,45853.29195,45205.83215,46235.8428
2025-01-28,2026-06-30 09:29:15,44905.0,44475.0,42935.0,44964.34963188,44997.192149,44689.293551,44722.13606812,45092.80896,45198.78712,44493.54742,44600.1381,43587.036671,43722.642575,42451.337225,42586.943129,43952.5595,44296.8982,41531.0255,41954.3646,,,,,44654.867574,44724.14895,44074.63605,44143.917426,44971.78575,45118.55325,43805.2065,43975.54575,,,,,,,,,,,,,45660.25875,46127.691,45481.914,46261.56075,45342.7948,45853.29195,45205.83215,46235.8428
