Date,Scraped_At,dOpen,wOpen,mOpen,DIHD,DIHU,DILD,DILU,DRHD,DRHU,DRLD,DRLU,DTH1,DTH2,DTHD,DTHU,MIHD,MIHU,MILD,MILU,MRHD,MRHU,MRLD,MRLU,MTL1,MTL2,MTLD,MTLU,WIHD,WIHU,WILD,WILU,WRHD,WRHU,WRLD,WRLU,DTL1,DTL2,DTLD,DTLU,WTH1,WTH2,WTHD,WTHU,MTH1,MTH2,MTHD,MTHU,WTL1,WTL2,WTLD,WTLU
2024-12-31,2026-06-29 06:49:19,2620.0,2636.1,2673.8,2626.8802881240003,2628.7900007000003,2610.8864453,2612.796157876,2634.712143,2638.774538,2600.8104780000003,2605.5748740000004,2654.159221,2663.175117,2652.8962316,2662.2327133920003,2731.0892666080003,2740.4257484000004,2652.8962316,2662.2327133920003,2751.366938,2781.981948,2607.249118,2627.917592,2547.6768540000003,2515.5645160000004,2513.3185240000003,2550.778462,2659.306853628,2663.9345799,2620.5496461,2625.177372372,2676.801384,2687.899365,2589.467391,2608.315506,,,,,,,,,,,,,,,,
2025-01-01,2026-06-29 06:49:47,2620.0,2636.1,2673.8,2626.8802881240003,2628.7900007000003,2610.8864453,2612.796157876,2634.712143,2638.774538,2600.8104780000003,2605.5748740000004,2654.159221,2663.175117,2652.8962316,2662.2327133920003,2731.0892666080003,2740.4257484000004,2652.8962316,2662.2327133920003,2751.366938,2781.981948,2607.249118,2627.917592,2547.6768540000003,2515.5645160000004,2513.3185240000003,2550.778462,2659.306853628,2663.9345799,2620.5496461,2625.177372372,2676.801384,2687.899365,2589.467391,2608.315506,,,,,,,,,,,,,,,,
2025-01-02,2026-06-29 06:50:09,2641.0,2636.1,2641.0,2646.604753572,2648.5982881,2629.9089019,2631.902436428,2655.320178,2659.414348,2620.5496461,2625.177372372,2674.919366,2684.005782,2676.801384,2687.899365,2697.58648856,2706.808438,2620.5496461,2625.177372372,2717.61541,2747.85486,2575.26551,2595.68044,,,,,2659.306853628,2663.9345799,2620.5496461,2625.177372372,2676.801384,2687.899365,2589.467391,2608.315506,,,,,,,,,,,,,,,,
2025-01-03,2026-06-29 06:50:33,2671.1,2636.1,2641.0,2679.198047236,2681.1374393,2662.9556387,2664.895030764,2687.08671,2691.22986,2652.771051,2657.630633,,,,,2697.58648856,2706.808438,2620.5496461,2625.177372372,2717.61541,2747.85486,2575.26551,2595.68044,,,,,2659.306853628,2663.9345799,2620.5496461,2625.177372372,2676.801384,2687.899365,2589.467391,2608.315506,2636.029524,2624.120878,2617.445628,2641.743538,,,,,,,,,,,,
2025-01-06,2026-06-29 06:50:57,2652.8,2652.8,2641.0,2661.084914384,2663.0341652,2644.7599388,2646.709189616,2669.192904,2673.308464,2634.391116,2639.217028,,,,,2697.58648856,2706.808438,2620.352662,2629.5746114400004,2717.61541,2747.85486,2575.26551,2595.68044,,,,,2676.1538717440003,2680.8109152,2637.1511328000006,2641.8081762560005,2697.58648856,2706.808438,2605.8719680000004,2624.839488,2617.765584,2605.939448,2605.8719680000004,2624.839488,,,,,,,,,,,,
2025-01-07,2026-06-29 06:51:17,2647.1,2652.8,2641.0,2653.302959948,2655.2181179,2637.2635121,2639.178670052,2661.050217,2665.153222,2627.237844,2632.050652,2680.691699,2689.797723,2676.165158,2695.303691,2697.58648856,2706.808438,2620.352662,2629.5746114400004,2717.61541,2747.85486,2575.26551,2595.68044,,,,,2676.1538717440003,2680.8109152,2637.1511328000006,2641.8081762560005,2697.58648856,2706.808438,2605.8719680000004,2624.839488,,,,,,,,,,,,,,,,
2025-01-08,2026-06-29 06:51:39,2662.9,2652.8,2641.0,2671.028111348,2672.9235669,2655.1536711,2657.049126652,2678.441388,2682.5712080000003,2645.419077,2650.265191,2698.211236,2707.376772,2697.58648856,2706.808438,2697.58648856,2706.808438,2620.352662,2629.5746114400004,2717.61541,2747.85486,2575.26551,2595.68044,,,,,2676.1538717440003,2680.8109152,2637.1511328000006,2641.8081762560005,2697.58648856,2706.808438,2605.8719680000004,2624.839488,,,,,,,,,,,,,,,,
2025-01-09,2026-06-29 06:52:00,2679.9,2652.8,2641.0,2687.05866208,2688.974744,2671.011476,2672.92755792,2694.626235,2698.78101,2661.116535,2665.991405,,,,,2697.58648856,2706.808438,2620.352662,2629.5746114400004,2717.61541,2747.85486,2575.26551,2595.68044,,,,,2676.1538717440003,2680.8109152,2637.1511328000006,2641.8081762560005,2697.58648856,2706.808438,2605.8719680000004,2624.839488,,,,,,,,,,,,,,,,
2025-01-10,2026-06-29 06:52:25,2692.9,2652.8,2641.0,2700.3949551200003,2702.3202300000003,2684.270778,2686.19605288,2707.9963260000004,2712.1717160000003,2676.1538717440003,2680.8109152,2727.984322,2737.250994,2723.3779240000003,2742.854098,2697.58648856,2706.808438,2620.352662,2629.5746114400004,2717.61541,2747.85486,2575.26551,2595.68044,,,,,2676.1538717440003,2680.8109152,2637.1511328000006,2641.8081762560005,2697.58648856,2706.808438,2605.8719680000004,2624.839488,,,,,2746.0724480000003,2773.661568,2731.7473280000004,2791.435328,,,,,,,,
2025-01-13,2026-06-29 06:52:47,2716.8,2716.8,2641.0,2726.029376936,2728.1446938,2708.3135982,2710.428915064,2735.741778,2739.959948,2696.38614,2701.32562,,,,,2697.58648856,2706.808438,2620.352662,2629.5746114400004,2717.61541,2747.85486,2575.26551,2595.68044,,,,,2740.717294464,2745.4866912,2700.7735968,2705.5429935360003,2758.747392,2770.18512,2668.7398080000003,2688.164928,2679.36936,2667.26492,2668.7398080000003,2688.164928,,,,,,,,,,,,
2025-01-14,2026-06-29 06:53:08,2682.0,2716.8,2641.0,2692.1764737000003,2694.2397265000004,2674.8967315,2676.9599843,2701.4620710000004,2705.627386,2663.401608,2668.2806640000003,,,,,2697.58648856,2706.808438,2620.352662,2629.5746114400004,2717.61541,2747.85486,2575.26551,2595.68044,,,,,2740.717294464,2745.4866912,2700.7735968,2705.5429935360003,2758.747392,2770.18512,2668.7398080000003,2688.164928,,,,,,,,,,,,,,,,
2025-01-15,2026-06-29 06:53:31,2693.3,2716.8,2641.0,2700.702740276,2702.7207973,2683.8015127,2685.819569724,2709.403704,2713.581264,2672.839953,2677.736299,2729.402088,2738.673576,2724.793296,2744.279592,2697.58648856,2706.808438,2620.352662,2629.5746114400004,2717.61541,2747.85486,2575.26551,2595.68044,,,,,2740.717294464,2745.4866912,2700.7735968,2705.5429935360003,2758.747392,2770.18512,2668.7398080000003,2688.164928,,,,,,,,,,,,,,,,
2025-01-16,2026-06-29 06:53:53,2722.3,2716.8,2641.0,2731.389313332,2733.3774501,2714.7386679,2716.726804668,2739.561804,2743.785864,2704.234869,2709.188727,2759.782788,2769.157476,2758.747392,2770.18512,2697.58648856,2706.808438,2620.352662,2629.5746114400004,2717.61541,2747.85486,2575.26551,2595.68044,,,,,2740.717294464,2745.4866912,2700.7735968,2705.5429935360003,2758.747392,2770.18512,2668.7398080000003,2688.164928,,,,,,,,,2818.42238,2848.79388,2807.67351,2867.94113,,,,
2025-01-17,2026-06-29 06:54:14,2746.8,2716.8,2641.0,2753.49717954,2755.5388605,2736.3981015,2738.43978246,2762.180379,2766.439314,2725.396632,2730.389256,,,,,2697.58648856,2706.808438,2620.352662,2629.5746114400004,2717.61541,2747.85486,2575.26551,2595.68044,,,,,2740.717294464,2745.4866912,2700.7735968,2705.5429935360003,2758.747392,2770.18512,2668.7398080000003,2688.164928,,,,,,,,,2818.42238,2848.79388,2807.67351,2867.94113,,,,
2025-01-20,2026-06-29 06:54:36,2739.6,2739.6,2641.0,2744.80048208,2747.011732,2726.281264,2728.49251392,2755.545597,2759.794302,2713.375161,2718.345763,,,,,2697.58648856,2706.808438,2620.352662,2629.5746114400004,2717.61541,2747.85486,2575.26551,2595.68044,,,,,2763.718013808,2768.5274364,2723.4390996,2728.248522192,2781.899424,2793.43314,2697.58648856,2706.808438,,,,,,,,,2818.42238,2848.79388,2807.67351,2867.94113,,,,
2025-01-21,2026-06-29 06:54:57,2731.6,2739.6,2641.0,2740.97464372,2743.023653,2723.814191,2725.86320028,2749.815558,2754.055428,2712.679704,2717.6490320000003,2770.112226,2779.522002,2765.4346920000003,2785.211634,2697.58648856,2706.808438,2620.352662,2629.5746114400004,2717.61541,2747.85486,2575.26551,2595.68044,,,,,2763.718013808,2768.5274364,2723.4390996,2728.248522192,2781.899424,2793.43314,2697.58648856,2706.808438,,,,,,,,,2818.42238,2848.79388,2807.67351,2867.94113,,,,
2025-01-22,2026-06-29 06:55:19,2758.7,2739.6,2641.0,2765.720432608,2767.7290424000003,2748.8983256,2750.906935392,2773.942038,2778.219108,2738.312262,2743.328546,,,,,2697.58648856,2706.808438,2620.352662,2629.5746114400004,2717.61541,2747.85486,2575.26551,2595.68044,,,,,2763.718013808,2768.5274364,2723.4390996,2728.248522192,2781.899424,2793.43314,2697.58648856,2706.808438,,,,,,,,,2818.42238,2848.79388,2807.67351,2867.94113,,,,
2025-01-23,2026-06-29 06:55:42,2765.9,2739.6,2641.0,2772.701739892,2774.7183541,2755.8125959,2757.829210108,2780.978928,2785.266848,2745.167481,2750.196323,,,,,2697.58648856,2706.808438,2620.352662,2629.5746114400004,2717.61541,2747.85486,2575.26551,2595.68044,,,,,2763.718013808,2768.5274364,2723.4390996,2728.248522192,2781.899424,2793.43314,2697.58648856,2706.808438,2727.842844,2715.519418,2708.611668,2733.755878,,,,,2818.42238,2848.79388,2807.67351,2867.94113,,,,
