Date,Scraped_At,dOpen,wOpen,mOpen,DIHD,DIHU,DILD,DILU,DRHD,DRHU,DRLD,DRLU,MIHD,MIHU,MILD,MILU,MRHD,MRHU,MRLD,MRLU,WIHD,WIHU,WILD,WILU,WRHD,WRHU,WRLD,WRLU,DTH1,DTH2,DTHD,DTHU,WTH1,WTH2,WTHD,WTHU,DTL1,DTL2,DTLD,DTLU,MTH1,MTH2,MTHD,MTHU,WTL1,WTL2,WTLD,WTLU,MTL1,MTL2,MTLD,MTLU
2025-01-15,2026-06-29 10:40:28,78.03,76.54,71.85,78.2352010044,78.35602327,77.22331453,77.3441367956,78.946688,79.2012288,76.5916606,76.976289,74.100060348,74.7681159,68.50509509999999,69.173150652,75.722715,77.8415715,64.8065445,66.1688205,77.4343576536,77.70470918000001,75.17016362,75.4405151464,78.81706500000001,79.23956580000001,73.64602260000001,74.3754488,80.1327232,80.6621056,79.67751679999999,81.2836224,81.086476,82.0233256,80.661679,82.766529,,,,,83.92367399999999,89.152917,82.0749735,89.45181299999999,,,,,,,,
2025-01-16,2026-06-29 10:41:03,79.05,76.54,71.85,79.2832248018,79.40430256500001,78.269198535,78.3902762982,79.98812099999999,80.2460196,77.6442303,78.03414450000001,74.100060348,74.7681159,68.50509509999999,69.173150652,75.722715,77.8415715,64.8065445,66.1688205,77.4343576536,77.70470918000001,75.17016362,75.4405151464,78.81706500000001,79.23956580000001,73.64602260000001,74.3754488,,,,,81.086476,82.0233256,80.661679,82.766529,76.5486819,76.02142950000001,75.09873780000001,76.9449105,83.92367399999999,89.152917,82.0749735,89.45181299999999,,,,,,,,
2025-01-17,2026-06-29 10:41:30,77.91,76.54,71.85,78.16612982699999,78.285899475,77.163059025,77.282828673,78.86580000000001,79.12008,76.5424751,76.9268565,74.100060348,74.7681159,68.50509509999999,69.173150652,75.722715,77.8415715,64.8065445,66.1688205,77.4343576536,77.70470918000001,75.17016362,75.4405151464,78.81706500000001,79.23956580000001,73.64602260000001,74.3754488,,,,,81.086476,82.0233256,80.661679,82.766529,,,,,83.92367399999999,89.152917,82.0749735,89.45181299999999,,,,,,,,
2025-01-20,2026-06-29 10:41:57,77.57,77.57,71.85,77.811100626,77.93924005000001,76.73793295,76.86607237400001,78.613025,78.86649,76.18172970999998,76.4557193612,74.100060348,74.7681159,68.50509509999999,69.173150652,75.722715,77.8415715,64.8065445,66.1688205,78.613025,78.86649,76.18172970999998,76.4557193612,79.8777075,80.30589389999999,74.6370783,75.3763204,,,,,,,,,74.9484624,74.432232,74.100060348,74.7681159,83.92367399999999,89.152917,82.0749735,89.45181299999999,,,,,,,,
2025-01-21,2026-06-29 10:42:27,76.33,77.57,71.85,76.5824728098,76.69898596499999,75.606675135,75.7231882902,77.258151,77.5072476,75.0078875,75.3845625,74.100060348,74.7681159,68.50509509999999,69.173150652,75.722715,77.8415715,64.8065445,66.1688205,78.47639303879998,78.75038269,76.18172970999998,76.4557193612,79.8777075,80.30589389999999,74.6370783,75.3763204,,,,,,,,,,,,,83.92367399999999,89.152917,82.0749735,89.45181299999999,,,,,,,,
2025-01-22,2026-06-29 10:42:56,75.88,77.57,71.85,76.08011260200001,76.19938585000001,75.08119915,75.200472398,76.793045,77.040642,74.4471728,74.821032,74.100060348,74.7681159,68.50509509999999,69.173150652,75.722715,77.8415715,64.8065445,66.1688205,78.47639303879998,78.75038269,76.18172970999998,76.4557193612,79.8777075,80.30589389999999,74.6370783,75.3763204,,,,,,,,,,,,,83.92367399999999,89.152917,82.0749735,89.45181299999999,,,,,,,,
2025-01-23,2026-06-29 10:43:31,75.39,77.57,71.85,75.55709226779999,75.674017615,74.57784248499999,74.6947678322,76.247051,76.4928876,73.9651549,74.33659349999999,74.100060348,74.7681159,68.50509509999999,69.173150652,75.722715,77.8415715,64.8065445,66.1688205,78.47639303879998,78.75038269,76.18172970999998,76.4557193612,79.8777075,80.30589389999999,74.6370783,75.3763204,,,,,,,,,,,,,83.92367399999999,89.152917,82.0749735,89.45181299999999,72.11217479999999,68.9698141,68.5982538,73.18496789999999,,,,
2025-01-24,2026-06-29 10:43:58,74.3,77.57,71.85,74.50991018820001,74.62309018500001,73.562027715,73.6752077118,75.16517400000001,75.4075224,72.9814449,73.3479435,74.100060348,74.7681159,68.50509509999999,69.173150652,75.722715,77.8415715,64.8065445,66.1688205,78.47639303879998,78.75038269,76.18172970999998,76.4557193612,79.8777075,80.30589389999999,74.6370783,75.3763204,,,,,,,,,,,,,83.92367399999999,89.152917,82.0749735,89.45181299999999,72.11217479999999,68.9698141,68.5982538,73.18496789999999,,,,
2025-01-27,2026-06-29 10:44:24,74.54,74.54,71.85,74.64036235799999,74.76484015,73.59786084999999,73.722338642,75.42805999999999,75.671256,72.892911,73.25896499999999,74.100060348,74.7681159,68.50509509999999,69.173150652,75.722715,77.8415715,64.8065445,66.1688205,75.42805999999999,75.671256,73.20595762,73.4692448264,76.757565,77.1690258,71.72164260000001,72.4320088,,,,,,,,,71.864403,71.36941499999999,70.503186,72.236385,83.92367399999999,89.152917,82.0749735,89.45181299999999,,,,,,,,
2025-01-28,2026-06-29 10:44:51,73.15,74.54,71.85,73.3902326976,73.50146608,72.45865312,72.5698865024,74.032742,74.2714392,71.8895268,72.250542,74.100060348,74.7681159,68.50509509999999,69.173150652,75.722715,77.8415715,64.8065445,66.1688205,75.41098797360002,75.67427518000001,73.20595762,73.4692448264,76.757565,77.1690258,71.72164260000001,72.4320088,75.1449538,75.6413854,75.41098797360002,75.67427518000001,,,,,,,,,83.92367399999999,89.152917,82.0749735,89.45181299999999,,,,,,,,
